HEADER[~&~	~&~CTGRY_CD::VARCHAR~&~	~&~FIN_COA_CD::VARCHAR~&~	~&~FIN_OBJECT_CD::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~OBJ_ID::VARCHAR~&~	~&~ACTV_IND::VARCHAR~&~	~&~]HEADER
RECORD[~&~	~&~'EMPB'~&~	~&~'BA'~&~	~&~'5600'~&~	~&~'1'~&~	~&~'AR_CST_CTGRY_FIN_OBJ_CD_001'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'EMPB'~&~	~&~'BL'~&~	~&~'5600'~&~	~&~'1'~&~	~&~'AR_CST_CTGRY_FIN_OBJ_CD_002'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'EMPB'~&~	~&~'EA'~&~	~&~'5600'~&~	~&~'1'~&~	~&~'AR_CST_CTGRY_FIN_OBJ_CD_003'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'EMPB'~&~	~&~'IN'~&~	~&~'5600'~&~	~&~'1'~&~	~&~'AR_CST_CTGRY_FIN_OBJ_CD_004'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'EMPB'~&~	~&~'KO'~&~	~&~'5600'~&~	~&~'1'~&~	~&~'AR_CST_CTGRY_FIN_OBJ_CD_005'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'EMPB'~&~	~&~'NW'~&~	~&~'5600'~&~	~&~'1'~&~	~&~'AR_CST_CTGRY_FIN_OBJ_CD_006'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'EMPB'~&~	~&~'SB'~&~	~&~'5600'~&~	~&~'1'~&~	~&~'AR_CST_CTGRY_FIN_OBJ_CD_007'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'EMPB'~&~	~&~'SE'~&~	~&~'5600'~&~	~&~'1'~&~	~&~'AR_CST_CTGRY_FIN_OBJ_CD_008'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'EMPB'~&~	~&~'UA'~&~	~&~'5600'~&~	~&~'1'~&~	~&~'AR_CST_CTGRY_FIN_OBJ_CD_009'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'EQIP'~&~	~&~'BA'~&~	~&~'5200'~&~	~&~'1'~&~	~&~'AR_CST_CTGRY_FIN_OBJ_CD_010'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'EQIP'~&~	~&~'BL'~&~	~&~'5200'~&~	~&~'1'~&~	~&~'AR_CST_CTGRY_FIN_OBJ_CD_011'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'EQIP'~&~	~&~'EA'~&~	~&~'5200'~&~	~&~'1'~&~	~&~'AR_CST_CTGRY_FIN_OBJ_CD_012'~&~	~&~'Y'~&~	~&~]RECORD
