HEADER[~&~	~&~CUST_NBR::VARCHAR~&~	~&~CUST_ADDR_ID::DECIMAL~&~	~&~OBJ_ID::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~CUST_ADDR_NM::VARCHAR~&~	~&~CUST_LINE_1_ADDR::VARCHAR~&~	~&~CUST_LINE_2_ADDR::VARCHAR~&~	~&~CUST_CITY_NM::VARCHAR~&~	~&~CUST_STATE_CD::VARCHAR~&~	~&~CUST_ZIP_CD::VARCHAR~&~	~&~CUST_CNTRY_CD::VARCHAR~&~	~&~CUST_ADDR_INTL_PROV_NM::VARCHAR~&~	~&~CUST_INTL_MAIL_CD::VARCHAR~&~	~&~CUST_EMAIL_ADDR::VARCHAR~&~	~&~CUST_ADDR_TYPE_CD::VARCHAR~&~	~&~CUST_ADDR_END_DT::TIMESTAMP~&~	~&~INV_TMPLT_CD::VARCHAR~&~	~&~COPIES_TO_PRINT_QTY::DECIMAL~&~	~&~INV_TRNS_MTHD_CD::VARCHAR~&~	~&~ENV_TO_PRINT_QTY::DECIMAL~&~	~&~]HEADER
RECORD[~&~	~&~'3MC17500'~&~	~&~'1'~&~	~&~'48A7ED7FC035FC83E0404F8189D860FE'~&~	~&~'1'~&~	~&~'ENGEL COMPANY'~&~	~&~'100391 MAIN STREET'~&~	~&~NULL~&~	~&~'ST PAUL'~&~	~&~'MN'~&~	~&~'55144'~&~	~&~'US'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'P'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'3MC17500'~&~	~&~'2'~&~	~&~'48A7ED7FC08DFC83E0404F8189D860FE'~&~	~&~'1'~&~	~&~'ENGEL COMPANY'~&~	~&~'100479 MAIN STREET'~&~	~&~NULL~&~	~&~'ST PAUL'~&~	~&~'MN'~&~	~&~'55144'~&~	~&~'US'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'A'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'3MC17500'~&~	~&~'3'~&~	~&~'48A7ED7FC0D8FC83E0404F8189D860FE'~&~	~&~'1'~&~	~&~'ENGEL COMPANY'~&~	~&~'100554 MAIN STREET'~&~	~&~'BUILDING 291E'~&~	~&~'ST PAUL'~&~	~&~'MN'~&~	~&~'55133'~&~	~&~'US'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'A'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'3MC17500'~&~	~&~'4'~&~	~&~'48A7ED7FC21FFC83E0404F8189D860FE'~&~	~&~'1'~&~	~&~'ENGEL COMPANY'~&~	~&~'100881 MAIN STREET'~&~	~&~NULL~&~	~&~'COLUMBUS'~&~	~&~'OH'~&~	~&~'43230'~&~	~&~'US'~&~	~&~NULL~&~	~&~NULL~&~	~&~'customer@domain.com'~&~	~&~'A'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'40/21715'~&~	~&~'1'~&~	~&~'48A7ED7FC1F1FC83E0404F8189D860FE'~&~	~&~'1'~&~	~&~'STADLER CORPORATION'~&~	~&~'100835 MAIN STREET'~&~	~&~NULL~&~	~&~'CARMEL'~&~	~&~'IN'~&~	~&~'46032'~&~	~&~'US'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'P'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'AAR21716'~&~	~&~'1'~&~	~&~'48A7ED7FC1EEFC83E0404F8189D860FE'~&~	~&~'1'~&~	~&~'KEENEY CORPORATION'~&~	~&~'100832 MAIN STREET'~&~	~&~NULL~&~	~&~'WOOD DALE'~&~	~&~'IL'~&~	~&~'60191'~&~	~&~'US'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'P'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'ABB2'~&~	~&~'1'~&~	~&~'48A7ED7FBEAFFC83E0404F8189D860FE'~&~	~&~'1'~&~	~&~'WOODS CORPORATION'~&~	~&~'100001 MAIN STREET'~&~	~&~'SUITE 1W'~&~	~&~'NORTH CHICAGO'~&~	~&~'IL'~&~	~&~'60064'~&~	~&~'US'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'P'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'ABB2'~&~	~&~'3'~&~	~&~'48A7ED7FBEB0FC83E0404F8189D860FE'~&~	~&~'1'~&~	~&~'WOODS CORPORATION'~&~	~&~'100002 MAIN STREET'~&~	~&~NULL~&~	~&~'ABBOTT PARK'~&~	~&~'IL'~&~	~&~'60064-3537'~&~	~&~'US'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'A'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'ABB2'~&~	~&~'4'~&~	~&~'48A7ED7FBEB1FC83E0404F8189D860FE'~&~	~&~'1'~&~	~&~'WOODS CORPORATION'~&~	~&~'100003 MAIN STREET'~&~	~&~'SUITE 2W'~&~	~&~'ABBOTT PARK'~&~	~&~'IL'~&~	~&~'60064-3500'~&~	~&~'US'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'A'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'ABB2'~&~	~&~'5'~&~	~&~'48A7ED7FBFD0FC83E0404F8189D860FE'~&~	~&~'1'~&~	~&~'WOODS CORPORATION'~&~	~&~'100290 MAIN STREET'~&~	~&~'SUITE 150W'~&~	~&~'ABBOTT PARK'~&~	~&~'IL'~&~	~&~'60064-6149'~&~	~&~'US'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'A'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'ABB2'~&~	~&~'6'~&~	~&~'48A7ED7FC026FC83E0404F8189D860FE'~&~	~&~'1'~&~	~&~'WOODS CORPORATION'~&~	~&~'100376 MAIN STREET'~&~	~&~'SUITE 196W'~&~	~&~'ABBOT PARK'~&~	~&~'IL'~&~	~&~'60064'~&~	~&~'US'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'A'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'ABB2'~&~	~&~'7'~&~	~&~'48A7ED7FC04CFC83E0404F8189D860FE'~&~	~&~'1'~&~	~&~'WOODS CORPORATION'~&~	~&~'100414 MAIN STREET'~&~	~&~'SUITE 220W'~&~	~&~'ABBOTT PARK'~&~	~&~'IL'~&~	~&~'60064'~&~	~&~'US'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'A'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'ABE17378'~&~	~&~'1'~&~	~&~'48A7ED7FC003FC83E0404F8189D860FE'~&~	~&~'1'~&~	~&~'KNOTTS CORPORATION'~&~	~&~'100341 MAIN STREET'~&~	~&~NULL~&~	~&~'SCHAUMBURG'~&~	~&~'IL'~&~	~&~'60173'~&~	~&~'US'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'P'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'ABE17378'~&~	~&~'2'~&~	~&~'48A7ED7FC004FC83E0404F8189D860FE'~&~	~&~'1'~&~	~&~'KNOTTS CORPORATION'~&~	~&~'100342 MAIN STREET'~&~	~&~NULL~&~	~&~'NEW ALBANY'~&~	~&~'OH'~&~	~&~'43054'~&~	~&~'US'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'A'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'ABG20222'~&~	~&~'1'~&~	~&~'48A7ED7FC12EFC83E0404F8189D860FE'~&~	~&~'1'~&~	~&~'SHARMA CORPORATION'~&~	~&~'100640 MAIN STREET'~&~	~&~'SUITE 330S'~&~	~&~'INDIANAPOLIS'~&~	~&~'IN'~&~	~&~'46268'~&~	~&~'US'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'P'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'ACC17233'~&~	~&~'1'~&~	~&~'48A7ED7FBFDCFC83E0404F8189D860FE'~&~	~&~'1'~&~	~&~'DAVY CORPORATION'~&~	~&~'100302 MAIN STREET'~&~	~&~'SUITE 155D'~&~	~&~'HOUSTON'~&~	~&~'TX'~&~	~&~'77019'~&~	~&~'US'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'P'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'ACC17233'~&~	~&~'2'~&~	~&~'48A7ED7FC057FC83E0404F8189D860FE'~&~	~&~'1'~&~	~&~'DAVY CORPORATION'~&~	~&~'100425 MAIN STREET'~&~	~&~'SUITE 226D'~&~	~&~'SAN FRANCISCO'~&~	~&~'CA'~&~	~&~'94105'~&~	~&~'US'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'A'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'ACC17233'~&~	~&~'3'~&~	~&~'48A7ED7FC0C9FC83E0404F8189D860FE'~&~	~&~'1'~&~	~&~'DAVY CORPORATION'~&~	~&~'100539 MAIN STREET'~&~	~&~'FLOOR 282D'~&~	~&~'CHICAGO'~&~	~&~'IL'~&~	~&~'60601'~&~	~&~'US'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'A'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'ACC17233'~&~	~&~'4'~&~	~&~'48A7ED7FC14AFC83E0404F8189D860FE'~&~	~&~'1'~&~	~&~'DAVY CORPORATION'~&~	~&~'100668 MAIN STREET'~&~	~&~'SUITE 341D'~&~	~&~'RESTON'~&~	~&~'VA'~&~	~&~'20190'~&~	~&~'US'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'A'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'ACC17233'~&~	~&~'5'~&~	~&~'48A7ED7FC1EAFC83E0404F8189D860FE'~&~	~&~'1'~&~	~&~'DAVY CORPORATION'~&~	~&~'100828 MAIN STREET'~&~	~&~NULL~&~	~&~'CHICAGO'~&~	~&~'IL'~&~	~&~'60601'~&~	~&~'US'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'A'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'ACC23402'~&~	~&~'1'~&~	~&~'48A7ED7FC265FC83E0404F8189D860FE'~&~	~&~'1'~&~	~&~'NUNEZ CORPORATION'~&~	~&~'100951 MAIN STREET'~&~	~&~'SUITE 484N'~&~	~&~'SANTA MONICA'~&~	~&~'CA'~&~	~&~'90404'~&~	~&~'US'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'P'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'ACE21725'~&~	~&~'1'~&~	~&~'48A7ED7FC1FFFC83E0404F8189D860FE'~&~	~&~'1'~&~	~&~'KENDALL COMPANY'~&~	~&~'100849 MAIN STREET'~&~	~&~'SUITE 435K'~&~	~&~'INDIANAPOLIS'~&~	~&~'IN'~&~	~&~'46278'~&~	~&~'US'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'P'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'ACN17421'~&~	~&~'1'~&~	~&~'48A7ED7FC021FC83E0404F8189D860FE'~&~	~&~'1'~&~	~&~'LANTZ CORPORATION'~&~	~&~'100371 MAIN STREET'~&~	~&~'SUITE 192L'~&~	~&~'COVINGTON'~&~	~&~'KY'~&~	~&~'41011'~&~	~&~'US'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'P'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'ACN17421'~&~	~&~'2'~&~	~&~'48A7ED7FC119FC83E0404F8189D860FE'~&~	~&~'1'~&~	~&~'LANTZ CORPORATION'~&~	~&~'100619 MAIN STREET'~&~	~&~'SUITE 319L'~&~	~&~'GLENVIEW'~&~	~&~'IL'~&~	~&~'60025'~&~	~&~'US'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'A'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
