HEADER[~&~	~&~PERSON_UNVL_ID::VARCHAR~&~	~&~ORG_FIN_COA_CD::VARCHAR~&~	~&~ORG_CD::VARCHAR~&~	~&~FIN_COA_CD::VARCHAR~&~	~&~FUND_GRP_CD::VARCHAR~&~	~&~SUB_FUND_GRP_CD::VARCHAR~&~	~&~ACCOUNT_NBR::VARCHAR~&~	~&~SUB_ACCT_NBR::VARCHAR~&~	~&~INC_EXP_CD::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~ACLN_ANNL_BAL_AMT::DECIMAL~&~	~&~FIN_BEG_BAL_LN_AMT::DECIMAL~&~	~&~SUB_FUND_SORT_CD::VARCHAR~&~	~&~]HEADER
RECORD[~&~	~&~'1373005978'~&~	~&~'BL'~&~	~&~'ARSC'~&~	~&~'BL'~&~	~&~'CG'~&~	~&~'FEDERB'~&~	~&~'4631304'~&~	~&~'-----'~&~	~&~'X'~&~	~&~'1'~&~	~&~'1.00'~&~	~&~'0.00'~&~	~&~'14'~&~	~&~]RECORD
RECORD[~&~	~&~'1373005978'~&~	~&~'BL'~&~	~&~'ARSC'~&~	~&~'BL'~&~	~&~'CG'~&~	~&~'FEDERB'~&~	~&~'4631681'~&~	~&~'-----'~&~	~&~'X'~&~	~&~'1'~&~	~&~'1.00'~&~	~&~'0.00'~&~	~&~'14'~&~	~&~]RECORD
RECORD[~&~	~&~'1373005978'~&~	~&~'BL'~&~	~&~'ARSC'~&~	~&~'BL'~&~	~&~'CG'~&~	~&~'FEDERB'~&~	~&~'4631692'~&~	~&~'-----'~&~	~&~'X'~&~	~&~'1'~&~	~&~'1.00'~&~	~&~'0.00'~&~	~&~'14'~&~	~&~]RECORD
RECORD[~&~	~&~'1373005978'~&~	~&~'BL'~&~	~&~'ARSC'~&~	~&~'BL'~&~	~&~'CG'~&~	~&~'FEDERB'~&~	~&~'4631695'~&~	~&~'-----'~&~	~&~'X'~&~	~&~'1'~&~	~&~'1.00'~&~	~&~'0.00'~&~	~&~'14'~&~	~&~]RECORD
RECORD[~&~	~&~'1373005978'~&~	~&~'BL'~&~	~&~'ARSC'~&~	~&~'BL'~&~	~&~'CG'~&~	~&~'FEDERC'~&~	~&~'4631625'~&~	~&~'-----'~&~	~&~'X'~&~	~&~'1'~&~	~&~'1.00'~&~	~&~'0.00'~&~	~&~'14'~&~	~&~]RECORD
RECORD[~&~	~&~'1373005978'~&~	~&~'BL'~&~	~&~'ARSC'~&~	~&~'BL'~&~	~&~'CG'~&~	~&~'FEDERC'~&~	~&~'4631646'~&~	~&~'-----'~&~	~&~'X'~&~	~&~'1'~&~	~&~'1.00'~&~	~&~'0.00'~&~	~&~'14'~&~	~&~]RECORD
RECORD[~&~	~&~'1373005978'~&~	~&~'BL'~&~	~&~'ARSC'~&~	~&~'BL'~&~	~&~'CG'~&~	~&~'FEDERC'~&~	~&~'4631653'~&~	~&~'-----'~&~	~&~'X'~&~	~&~'1'~&~	~&~'1.00'~&~	~&~'0.00'~&~	~&~'14'~&~	~&~]RECORD
RECORD[~&~	~&~'1373005978'~&~	~&~'BL'~&~	~&~'ARSC'~&~	~&~'BL'~&~	~&~'CG'~&~	~&~'FEDERC'~&~	~&~'4631672'~&~	~&~'-----'~&~	~&~'X'~&~	~&~'1'~&~	~&~'26.00'~&~	~&~'0.00'~&~	~&~'14'~&~	~&~]RECORD
RECORD[~&~	~&~'1373005978'~&~	~&~'BL'~&~	~&~'ARSC'~&~	~&~'BL'~&~	~&~'CG'~&~	~&~'FEDERE'~&~	~&~'4631301'~&~	~&~'-----'~&~	~&~'X'~&~	~&~'1'~&~	~&~'1.00'~&~	~&~'0.00'~&~	~&~'14'~&~	~&~]RECORD
RECORD[~&~	~&~'1373005978'~&~	~&~'BL'~&~	~&~'ARSC'~&~	~&~'BL'~&~	~&~'CG'~&~	~&~'FEDERE'~&~	~&~'4631674'~&~	~&~'-----'~&~	~&~'X'~&~	~&~'1'~&~	~&~'1.00'~&~	~&~'0.00'~&~	~&~'14'~&~	~&~]RECORD
