HEADER[~&~	~&~PERSON_UNVL_ID::VARCHAR~&~	~&~FIN_COA_CD::VARCHAR~&~	~&~ORG_CD::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~RPTS_TO_FIN_COA_CD::VARCHAR~&~	~&~RPTS_TO_ORG_CD::VARCHAR~&~	~&~PULL_FLAG::DECIMAL~&~	~&~]HEADER
RECORD[~&~	~&~'3949401795'~&~	~&~'BA'~&~	~&~'ACAC'~&~	~&~'1'~&~	~&~'BA'~&~	~&~'PRGE'~&~	~&~'0'~&~	~&~]RECORD
RECORD[~&~	~&~'3949401795'~&~	~&~'BA'~&~	~&~'ACPR'~&~	~&~'1'~&~	~&~'BA'~&~	~&~'ACAC'~&~	~&~'0'~&~	~&~]RECORD
RECORD[~&~	~&~'3949401795'~&~	~&~'BA'~&~	~&~'ACSH'~&~	~&~'1'~&~	~&~'BA'~&~	~&~'HOUS'~&~	~&~'0'~&~	~&~]RECORD
RECORD[~&~	~&~'3949401795'~&~	~&~'BA'~&~	~&~'ACSS'~&~	~&~'1'~&~	~&~'BA'~&~	~&~'BKST'~&~	~&~'0'~&~	~&~]RECORD
RECORD[~&~	~&~'3949401795'~&~	~&~'BA'~&~	~&~'ADAF'~&~	~&~'1'~&~	~&~'BL'~&~	~&~'DBFA'~&~	~&~'0'~&~	~&~]RECORD
RECORD[~&~	~&~'3949401795'~&~	~&~'BA'~&~	~&~'ADAH'~&~	~&~'1'~&~	~&~'BA'~&~	~&~'APTS'~&~	~&~'0'~&~	~&~]RECORD
RECORD[~&~	~&~'3949401795'~&~	~&~'BA'~&~	~&~'ADAO'~&~	~&~'1'~&~	~&~'BA'~&~	~&~'ADAF'~&~	~&~'0'~&~	~&~]RECORD
RECORD[~&~	~&~'3949401795'~&~	~&~'BA'~&~	~&~'ADFE'~&~	~&~'1'~&~	~&~'BA'~&~	~&~'CAFE'~&~	~&~'0'~&~	~&~]RECORD
RECORD[~&~	~&~'3949401795'~&~	~&~'BA'~&~	~&~'ADGE'~&~	~&~'1'~&~	~&~'BA'~&~	~&~'CAGE'~&~	~&~'0'~&~	~&~]RECORD
RECORD[~&~	~&~'3949401795'~&~	~&~'BA'~&~	~&~'ADSH'~&~	~&~'1'~&~	~&~'BA'~&~	~&~'HOUS'~&~	~&~'0'~&~	~&~]RECORD
RECORD[~&~	~&~'3949401795'~&~	~&~'BA'~&~	~&~'APTS'~&~	~&~'1'~&~	~&~'BA'~&~	~&~'HALL'~&~	~&~'0'~&~	~&~]RECORD
RECORD[~&~	~&~'3949401795'~&~	~&~'BA'~&~	~&~'ASGE'~&~	~&~'1'~&~	~&~'BA'~&~	~&~'CAGE'~&~	~&~'0'~&~	~&~]RECORD
RECORD[~&~	~&~'3949401795'~&~	~&~'BA'~&~	~&~'ASSH'~&~	~&~'1'~&~	~&~'BA'~&~	~&~'ACSH'~&~	~&~'0'~&~	~&~]RECORD
RECORD[~&~	~&~'3949401795'~&~	~&~'BA'~&~	~&~'AUTM'~&~	~&~'1'~&~	~&~'BA'~&~	~&~'IMAU'~&~	~&~'0'~&~	~&~]RECORD
RECORD[~&~	~&~'3949401795'~&~	~&~'BA'~&~	~&~'AWSH'~&~	~&~'1'~&~	~&~'BA'~&~	~&~'ACSH'~&~	~&~'0'~&~	~&~]RECORD
RECORD[~&~	~&~'3949401795'~&~	~&~'BA'~&~	~&~'AXOP'~&~	~&~'1'~&~	~&~'BL'~&~	~&~'AXSV'~&~	~&~'0'~&~	~&~]RECORD
RECORD[~&~	~&~'3949401795'~&~	~&~'BA'~&~	~&~'BBAH'~&~	~&~'1'~&~	~&~'BA'~&~	~&~'APTS'~&~	~&~'0'~&~	~&~]RECORD
RECORD[~&~	~&~'3949401795'~&~	~&~'BA'~&~	~&~'BHDR'~&~	~&~'1'~&~	~&~'BA'~&~	~&~'CAFE'~&~	~&~'0'~&~	~&~]RECORD
RECORD[~&~	~&~'3949401795'~&~	~&~'BA'~&~	~&~'BKAD'~&~	~&~'1'~&~	~&~'BA'~&~	~&~'BKST'~&~	~&~'0'~&~	~&~]RECORD
RECORD[~&~	~&~'3949401795'~&~	~&~'BA'~&~	~&~'BKST'~&~	~&~'1'~&~	~&~'BA'~&~	~&~'AXOP'~&~	~&~'0'~&~	~&~]RECORD
RECORD[~&~	~&~'3949401795'~&~	~&~'BA'~&~	~&~'BLDM'~&~	~&~'1'~&~	~&~'BA'~&~	~&~'PHYP'~&~	~&~'0'~&~	~&~]RECORD
RECORD[~&~	~&~'3949401795'~&~	~&~'BA'~&~	~&~'BOOK'~&~	~&~'1'~&~	~&~'BA'~&~	~&~'BKST'~&~	~&~'0'~&~	~&~]RECORD
RECORD[~&~	~&~'3949401795'~&~	~&~'BA'~&~	~&~'BRAD'~&~	~&~'1'~&~	~&~'BL'~&~	~&~'RPAD'~&~	~&~'0'~&~	~&~]RECORD
RECORD[~&~	~&~'3949401795'~&~	~&~'BA'~&~	~&~'BRSH'~&~	~&~'1'~&~	~&~'BA'~&~	~&~'HOUS'~&~	~&~'0'~&~	~&~]RECORD
RECORD[~&~	~&~'3949401795'~&~	~&~'BA'~&~	~&~'BUDG'~&~	~&~'1'~&~	~&~'BL'~&~	~&~'BL'~&~	~&~'0'~&~	~&~]RECORD
RECORD[~&~	~&~'3949401795'~&~	~&~'BA'~&~	~&~'BUSS'~&~	~&~'1'~&~	~&~'BA'~&~	~&~'TRAN'~&~	~&~'0'~&~	~&~]RECORD
RECORD[~&~	~&~'3949401795'~&~	~&~'BA'~&~	~&~'BWAC'~&~	~&~'1'~&~	~&~'BA'~&~	~&~'ACAC'~&~	~&~'0'~&~	~&~]RECORD
RECORD[~&~	~&~'3949401795'~&~	~&~'BA'~&~	~&~'CAFE'~&~	~&~'1'~&~	~&~'BA'~&~	~&~'HALL'~&~	~&~'0'~&~	~&~]RECORD
RECORD[~&~	~&~'3949401795'~&~	~&~'BA'~&~	~&~'CAGE'~&~	~&~'1'~&~	~&~'BA'~&~	~&~'CENT'~&~	~&~'0'~&~	~&~]RECORD
RECORD[~&~	~&~'3949401795'~&~	~&~'BA'~&~	~&~'CAMD'~&~	~&~'1'~&~	~&~'BA'~&~	~&~'PHYP'~&~	~&~'0'~&~	~&~]RECORD
RECORD[~&~	~&~'3949401795'~&~	~&~'BA'~&~	~&~'CARD'~&~	~&~'1'~&~	~&~'BA'~&~	~&~'ACSS'~&~	~&~'0'~&~	~&~]RECORD
RECORD[~&~	~&~'3949401795'~&~	~&~'BA'~&~	~&~'CENT'~&~	~&~'1'~&~	~&~'BA'~&~	~&~'RPAS'~&~	~&~'0'~&~	~&~]RECORD
RECORD[~&~	~&~'3949401795'~&~	~&~'BA'~&~	~&~'CLER'~&~	~&~'1'~&~	~&~'BL'~&~	~&~'BL'~&~	~&~'0'~&~	~&~]RECORD
RECORD[~&~	~&~'3949401795'~&~	~&~'BA'~&~	~&~'CLSH'~&~	~&~'1'~&~	~&~'BA'~&~	~&~'HOUS'~&~	~&~'0'~&~	~&~]RECORD
RECORD[~&~	~&~'3949401795'~&~	~&~'BA'~&~	~&~'CNFD'~&~	~&~'1'~&~	~&~'BA'~&~	~&~'RPAS'~&~	~&~'0'~&~	~&~]RECORD
RECORD[~&~	~&~'3949401795'~&~	~&~'BA'~&~	~&~'CNFS'~&~	~&~'1'~&~	~&~'BA'~&~	~&~'CAGE'~&~	~&~'0'~&~	~&~]RECORD
RECORD[~&~	~&~'3949401795'~&~	~&~'BA'~&~	~&~'CODR'~&~	~&~'1'~&~	~&~'BA'~&~	~&~'CAFE'~&~	~&~'0'~&~	~&~]RECORD
RECORD[~&~	~&~'3949401795'~&~	~&~'BA'~&~	~&~'CODS'~&~	~&~'1'~&~	~&~'BA'~&~	~&~'BKST'~&~	~&~'0'~&~	~&~]RECORD
RECORD[~&~	~&~'3949401795'~&~	~&~'BA'~&~	~&~'COIN'~&~	~&~'1'~&~	~&~'BA'~&~	~&~'AXOP'~&~	~&~'0'~&~	~&~]RECORD
RECORD[~&~	~&~'3949401795'~&~	~&~'BA'~&~	~&~'COMM'~&~	~&~'1'~&~	~&~'BL'~&~	~&~'BCTS'~&~	~&~'0'~&~	~&~]RECORD
RECORD[~&~	~&~'3949401795'~&~	~&~'BA'~&~	~&~'CONF'~&~	~&~'1'~&~	~&~'BA'~&~	~&~'AXOP'~&~	~&~'0'~&~	~&~]RECORD
