HEADER[~&~	~&~CPTLAST_TYP_CD::VARCHAR~&~	~&~OBJ_ID::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~CPTLAST_TYP_DESC::VARCHAR~&~	~&~CPTLAST_DEPRLF_LMT::DECIMAL~&~	~&~CPTLAST_MOVING_CD::VARCHAR~&~	~&~CPTLAST_RQDBLDG_CD::VARCHAR~&~	~&~ROW_ACTV_IND::VARCHAR~&~	~&~]HEADER
RECORD[~&~	~&~'07000'~&~	~&~'44F39C473078409CE043814FD881409C'~&~	~&~'1'~&~	~&~'PHOTO COPIER SMALL (COPIES PER MONTH 1 - 49,999) FY 07 AHA REVIEW'~&~	~&~'3'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'07001'~&~	~&~'44F39C473079409CE043814FD881409C'~&~	~&~'1'~&~	~&~'PHOTO COPIER LARGE (COPIES PER MONTH 50,000) FY 07 AHA REVIEW'~&~	~&~'5'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'07002'~&~	~&~'44F39C47307A409CE043814FD881409C'~&~	~&~'1'~&~	~&~'FAX (FY 07 AHA REVIEW)'~&~	~&~'3'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'07003'~&~	~&~'44F39C47307C409CE043814FD881409C'~&~	~&~'1'~&~	~&~'MICROSCOPE (FY 07 AHA REVIEW)'~&~	~&~'7'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'07004'~&~	~&~'44F39C47307D409CE043814FD881409C'~&~	~&~'1'~&~	~&~'TELESCOPE (FY 07 AHA REVIEW)'~&~	~&~'10'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'07005'~&~	~&~'44F39C47307F409CE043814FD881409C'~&~	~&~'1'~&~	~&~'PIANO (FY 07 AHA REVIEW)'~&~	~&~'20'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'07006'~&~	~&~'44F39C47307E409CE043814FD881409C'~&~	~&~'1'~&~	~&~'ORGANS (FY 07 AHA REVIEW)'~&~	~&~'10'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'07007'~&~	~&~'44F39C4730CA409CE043814FD881409C'~&~	~&~'1'~&~	~&~'WASHING MACHINE COMMERCIAL SMALL (FY 07 AHA REVIEW)'~&~	~&~'10'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'07008'~&~	~&~'44F39C4730CB409CE043814FD881409C'~&~	~&~'1'~&~	~&~'WASHING MACHINE DOMESTIC (FY 07 AHA REVIEW)'~&~	~&~'8'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'07009'~&~	~&~'44F39C4730CC409CE043814FD881409C'~&~	~&~'1'~&~	~&~'WASHING MACHINE COMMERCIAL LARGE (FY 07 AHA REVIEW)'~&~	~&~'15'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'07108'~&~	~&~'44F39C4730BD409CE043814FD881409C'~&~	~&~'1'~&~	~&~'DESK, METAL OR WOOD, ALL (FY 07 AHA REVIEW)'~&~	~&~'20'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'07154'~&~	~&~'44F39C4730AF409CE043814FD881409C'~&~	~&~'1'~&~	~&~'BED, ELECTRICAL OR MANUAL (FY 07 AHA REVIEW)'~&~	~&~'7'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'07203'~&~	~&~'44F39C4730B6409CE043814FD881409C'~&~	~&~'1'~&~	~&~'CENTRIFUGE, BENCH MODEL (FY 07 AHA REVIEW)'~&~	~&~'7'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'07207'~&~	~&~'44F39C4730B2409CE043814FD881409C'~&~	~&~'1'~&~	~&~'CAMERA, STILL (FY 07 AHA REVIEW)'~&~	~&~'5'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'07210'~&~	~&~'44F39C4730B4409CE043814FD881409C'~&~	~&~'1'~&~	~&~'CASH REGISTER (FY 07 AHA REVIEW)'~&~	~&~'5'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'07211'~&~	~&~'44F39C473075409CE043814FD881409C'~&~	~&~'1'~&~	~&~'WORKSTATION (FURNITURE) FY 07 AHA REVIEW'~&~	~&~'10'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'07216'~&~	~&~'44F39C473067409CE043814FD881409C'~&~	~&~'1'~&~	~&~'PRINTER (FY 07 AHA REVIEW)'~&~	~&~'5'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'07219'~&~	~&~'44F39C4730C0409CE043814FD881409C'~&~	~&~'1'~&~	~&~'DISK DRIVES, CONTROLLERS (FY 07 AHA REVIEW)'~&~	~&~'5'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'07221'~&~	~&~'44F39C4730C4409CE043814FD881409C'~&~	~&~'1'~&~	~&~'DUPLICATOR (FY 07 AHA REVIEW)'~&~	~&~'5'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'07223'~&~	~&~'44F39C4730CD409CE043814FD881409C'~&~	~&~'1'~&~	~&~'SHAKING MACHINE (VORTEXER)  AHA REIVEW FY 07'~&~	~&~'8'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'07232'~&~	~&~'44F39C47306E409CE043814FD881409C'~&~	~&~'1'~&~	~&~'SCALES, ALL (FY 07 AHA REVIEW)'~&~	~&~'10'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'07236'~&~	~&~'44F39C4730B1409CE043814FD881409C'~&~	~&~'1'~&~	~&~'CAMERA, MOVIE OR TV (FY 07 AHA REVIEW)'~&~	~&~'5'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'07244'~&~	~&~'44F39C4730BA409CE043814FD881409C'~&~	~&~'1'~&~	~&~'CUTTER/SHREDDER, PAPER (FY 07 AHA REVIEW)'~&~	~&~'7'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'07253'~&~	~&~'44F39C47306B409CE043814FD881409C'~&~	~&~'1'~&~	~&~'RECORDER, TV VIDEO, CAMCORDER (FY 07 AHA REVIEW)'~&~	~&~'5'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'07309'~&~	~&~'44F39C4730AD409CE043814FD881409C'~&~	~&~'1'~&~	~&~'AUTOCLAVE (FY 07 AHA REVIEW )'~&~	~&~'10'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'07315'~&~	~&~'44F39C4730B0409CE043814FD881409C'~&~	~&~'1'~&~	~&~'BLOOD PRESSURE UNIT (FY 07 AHA REVIEW)'~&~	~&~'6'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'07316'~&~	~&~'44F39C4730AE409CE043814FD881409C'~&~	~&~'1'~&~	~&~'BATH, ALL LABORATORY /CIRCULATOR (FY 07 AHA REVIEW)'~&~	~&~'7'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'07320'~&~	~&~'44F39C473061409CE043814FD881409C'~&~	~&~'1'~&~	~&~'MONITOR, MEDICAL/SCIENTIFIC (FY 07 AHA REVIEW)'~&~	~&~'8'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'07321'~&~	~&~'44F39C4730B8409CE043814FD881409C'~&~	~&~'1'~&~	~&~'COUNTER, BLOOD CELL (FY 07 AHA REVIEW)'~&~	~&~'5'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'07322'~&~	~&~'44F39C4730AC409CE043814FD881409C'~&~	~&~'1'~&~	~&~'ANALYZER, BLOOD GAS (FY 07 AHA REVIEW)'~&~	~&~'5'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'07333'~&~	~&~'44F39C4730B5409CE043814FD881409C'~&~	~&~'1'~&~	~&~'CENTRIFUGE (FY 07 AHA REVIEW )'~&~	~&~'7'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'07334'~&~	~&~'44F39C473050409CE043814FD881409C'~&~	~&~'1'~&~	~&~'GAS CHROMATOGRAPH (FY 07 AHA REVIEW)'~&~	~&~'7'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'07337'~&~	~&~'44F39C4730B7409CE043814FD881409C'~&~	~&~'1'~&~	~&~'COLORIMETER (FY 07 AHA REVIEW)'~&~	~&~'7'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'07338'~&~	~&~'44F39C4730A9409CE043814FD881409C'~&~	~&~'1'~&~	~&~'AIR COMPRESSOR (FY 07 AHA REVIEW)'~&~	~&~'12'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'07339'~&~	~&~'44F39C473071409CE043814FD881409C'~&~	~&~'1'~&~	~&~'TESTER, CONDUCTIVITY (FY 07 AHA REVIEW)'~&~	~&~'5'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'07343'~&~	~&~'44F39C4730B9409CE043814FD881409C'~&~	~&~'1'~&~	~&~'CRYOSTAT (FY 07 AHA REVIEW)'~&~	~&~'7'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'07350'~&~	~&~'44F39C4730BB409CE043814FD881409C'~&~	~&~'1'~&~	~&~'DEFIBRILLATOR (FY 07 AHA REVIEW)'~&~	~&~'5'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'07351'~&~	~&~'44F39C4730BC409CE043814FD881409C'~&~	~&~'1'~&~	~&~'DENSITOMETER (FY 07 AHA REVIEW)'~&~	~&~'5'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'07357'~&~	~&~'44F39C4730C2409CE043814FD881409C'~&~	~&~'1'~&~	~&~'DISTILLING APPARATUS (FY 07 AHA REVIEW)'~&~	~&~'15'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'07360'~&~	~&~'44F39C4730C5409CE043814FD881409C'~&~	~&~'1'~&~	~&~'ELECTROCARDIOGRAPH (FY 07 AHA REVIEW)'~&~	~&~'7'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'07361'~&~	~&~'44F39C4730C6409CE043814FD881409C'~&~	~&~'1'~&~	~&~'ELECTROENCEPHALOGRAPH (FY 07 AHA REVIEW)'~&~	~&~'7'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'07362'~&~	~&~'44F39C4730C8409CE043814FD881409C'~&~	~&~'1'~&~	~&~'ELECTROMYOGRAPHY (FY 07 AHA REVIEW)'~&~	~&~'7'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'07363'~&~	~&~'44F39C4730C9409CE043814FD881409C'~&~	~&~'1'~&~	~&~'ELECTROPHORESIS UNIT (FY 07 AHA REVIEW)'~&~	~&~'7'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'07364'~&~	~&~'44F39C47304C409CE043814FD881409C'~&~	~&~'1'~&~	~&~'ELECTROSURGICAL UNIT (FY 07 AHA REVIEW)'~&~	~&~'7'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'07374'~&~	~&~'44F39C473054409CE043814FD881409C'~&~	~&~'1'~&~	~&~'HEMOGLBINOMETER (FY 07 AHA REVIEW)'~&~	~&~'7'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'07375'~&~	~&~'44F39C473053409CE043814FD881409C'~&~	~&~'1'~&~	~&~'HEMODIALYSIS UNIT (FY 07 AHA REVIEW)'~&~	~&~'5'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'07382'~&~	~&~'44F39C473056409CE043814FD881409C'~&~	~&~'1'~&~	~&~'ILLUMINATOR UNIT, MULTIFILM OR SINGLE (FY 07 AHA REVIEW)'~&~	~&~'10'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'07388'~&~	~&~'44F39C473057409CE043814FD881409C'~&~	~&~'1'~&~	~&~'INHALATOR (FY 07 AHA REVIEW)'~&~	~&~'10'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'07390'~&~	~&~'44F39C4730BF409CE043814FD881409C'~&~	~&~'1'~&~	~&~'KIDNEY DIALYZER (FY 07 AHA REVIEW)'~&~	~&~'5'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'07391'~&~	~&~'44F39C473058409CE043814FD881409C'~&~	~&~'1'~&~	~&~'KILN (FY 07 AHA REVIEW)'~&~	~&~'10'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'07399'~&~	~&~'44F39C47305A409CE043814FD881409C'~&~	~&~'1'~&~	~&~'LIFTER, PATIENT (FY 07 AHA REVIEW)'~&~	~&~'10'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'07405'~&~	~&~'44F39C47305F409CE043814FD881409C'~&~	~&~'1'~&~	~&~'MICROTOME (FY 07 AHA REVIEW)'~&~	~&~'7'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'07411'~&~	~&~'44F39C473062409CE043814FD881409C'~&~	~&~'1'~&~	~&~'OSMOMETER (FY 07 AHA REVIEW)'~&~	~&~'7'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'07414'~&~	~&~'44F39C473064409CE043814FD881409C'~&~	~&~'1'~&~	~&~'OVEN, LABORATORY (FY 07 AHA REVIEW)'~&~	~&~'10'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'07418'~&~	~&~'44F39C47304F409CE043814FD881409C'~&~	~&~'1'~&~	~&~'EQUIPMENT PATIENT MONITORING/AIDING (FY 07 AHA REVIEW)'~&~	~&~'7'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'07426'~&~	~&~'44F39C473065409CE043814FD881409C'~&~	~&~'1'~&~	~&~'POWER SUPPLY (FY 07 AHA REVIEW)'~&~	~&~'10'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'07428'~&~	~&~'44F39C473073409CE043814FD881409C'~&~	~&~'1'~&~	~&~'TIMER, AUTOMATED  (FY 07 AHA REVIEW)'~&~	~&~'8'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'07429'~&~	~&~'44F39C47304D409CE043814FD881409C'~&~	~&~'1'~&~	~&~'EQUIP., PULMONARY FUNCTION (FY 07 AHA REVIEW)'~&~	~&~'8'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'07437'~&~	~&~'44F39C47306D409CE043814FD881409C'~&~	~&~'1'~&~	~&~'REFRIGERATOR/FREEZERS, LAB TYPE (FY 07 AHA REVIEW)'~&~	~&~'10'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'07446'~&~	~&~'44F39C47305E409CE043814FD881409C'~&~	~&~'1'~&~	~&~'MACHINE, SHAKING (FY 07 AHA REVIEW)'~&~	~&~'8'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'07451'~&~	~&~'44F39C47306F409CE043814FD881409C'~&~	~&~'1'~&~	~&~'STRAINER, SLIDE LABORATORY (FY 07 AHA REVIEW)'~&~	~&~'7'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'Y'~&~	~&~]RECORD
