HEADER[~&~	~&~CG_AGENCY_NBR::VARCHAR~&~	~&~CG_AGENCY_ADDR_ID::DECIMAL~&~	~&~OBJ_ID::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~CG_AGENCY_ADDR_NM::VARCHAR~&~	~&~CG_AGENCY_LINE_1_ADDR::VARCHAR~&~	~&~CG_AGENCY_LINE_2_ADDR::VARCHAR~&~	~&~CG_AGENCY_LINE_3_ADDR::VARCHAR~&~	~&~CG_AGENCY_LINE_4_ADDR::VARCHAR~&~	~&~CG_AGENCY_CITY_NM::VARCHAR~&~	~&~CG_AGENCY_STATE_CD::VARCHAR~&~	~&~CG_AGENCY_ZIP_CD::VARCHAR~&~	~&~CG_AGENCY_CNTRY_CD::VARCHAR~&~	~&~CG_AGENCY_ADDR_INTL_PROV_NM::VARCHAR~&~	~&~CG_AGENCY_INTL_MAIL_CD::VARCHAR~&~	~&~CG_AGENCY_ADDR_TYPE_CD::VARCHAR~&~	~&~CG_AGENCY_ADDR_END_DT::TIMESTAMP~&~	~&~CNTCT_NM::VARCHAR~&~	~&~PHN_NBR::VARCHAR~&~	~&~FAX_NBR::VARCHAR~&~	~&~AGENCY_CNTCT_EMAIL_ADDR::VARCHAR~&~	~&~]HEADER
RECORD[~&~	~&~'55075'~&~	~&~'4'~&~	~&~'1eb78de8-e1a5-462c-a40c-dfc2336f8603'~&~	~&~'3'~&~	~&~'PRIMARY'~&~	~&~'123 MAIN ST'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'ANYTOWN'~&~	~&~'NE'~&~	~&~'12345'~&~	~&~'US'~&~	~&~NULL~&~	~&~NULL~&~	~&~'P'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'55076'~&~	~&~'5'~&~	~&~'6f494b90-ef43-4225-9b01-81cb632b152a'~&~	~&~'3'~&~	~&~'PRIMARY'~&~	~&~'123 SOUTH STREET'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'MYTOWN'~&~	~&~'NE'~&~	~&~'12345'~&~	~&~'US'~&~	~&~NULL~&~	~&~NULL~&~	~&~'P'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'55076'~&~	~&~'6'~&~	~&~'caeb7474-8524-4367-baad-51dc93440214'~&~	~&~'3'~&~	~&~'ALTERNATE'~&~	~&~'234 ALTERNATE'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'MYTOWN'~&~	~&~'NE'~&~	~&~'12345'~&~	~&~'US'~&~	~&~NULL~&~	~&~NULL~&~	~&~'A'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'55076'~&~	~&~'7'~&~	~&~'c1449fa6-e839-47b2-85ff-0fb68771cc42'~&~	~&~'3'~&~	~&~'ALTERNATE 2'~&~	~&~'123 ALTERNATE #2'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'MYTOWN'~&~	~&~'NE'~&~	~&~'12345'~&~	~&~'US'~&~	~&~NULL~&~	~&~NULL~&~	~&~'A'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'55076'~&~	~&~'8'~&~	~&~'809bb649-d41a-45b4-981e-2dff8f16c98b'~&~	~&~'3'~&~	~&~'TEMPORARY'~&~	~&~'TEMPORARY STREET'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'YOURTOWN'~&~	~&~'NE'~&~	~&~'12345'~&~	~&~'US'~&~	~&~NULL~&~	~&~NULL~&~	~&~'T'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'55078'~&~	~&~'10'~&~	~&~'7404f6df-87ff-40a1-8d15-3b43c53f74b2'~&~	~&~'6'~&~	~&~'PRIMARY'~&~	~&~'123 SOUTH STREET'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'MYTOWN'~&~	~&~'NE'~&~	~&~'12345'~&~	~&~'US'~&~	~&~NULL~&~	~&~NULL~&~	~&~'P'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'55078'~&~	~&~'11'~&~	~&~'e4883106-89cd-4c64-91a1-1eb80af1ea89'~&~	~&~'6'~&~	~&~'ALTERNATE'~&~	~&~'234 ALTERNATE'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'MYTOWN'~&~	~&~'NE'~&~	~&~'12345'~&~	~&~'US'~&~	~&~NULL~&~	~&~NULL~&~	~&~'A'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'55078'~&~	~&~'12'~&~	~&~'cc307011-9249-491e-aa48-71a43e8abd68'~&~	~&~'6'~&~	~&~'ALTERNATE 2'~&~	~&~'123 ALTERNATE #2'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'MYTOWN'~&~	~&~'NE'~&~	~&~'12345'~&~	~&~'US'~&~	~&~NULL~&~	~&~NULL~&~	~&~'A'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'55078'~&~	~&~'13'~&~	~&~'37defb81-ed05-45ac-b9a2-b5af7216d9ec'~&~	~&~'6'~&~	~&~'TEMPORARY'~&~	~&~'TEMPORARY STREET'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'YOURTOWN'~&~	~&~'NE'~&~	~&~'12345'~&~	~&~'US'~&~	~&~NULL~&~	~&~NULL~&~	~&~'T'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'55079'~&~	~&~'14'~&~	~&~'60450eca-9cf7-4539-92bc-09c48490e74f'~&~	~&~'9'~&~	~&~'PRIMARY'~&~	~&~'123 SOUTH STREET'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'MYTOWN'~&~	~&~'NE'~&~	~&~'12345'~&~	~&~'US'~&~	~&~NULL~&~	~&~NULL~&~	~&~'P'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
