HEADER[~&~	~&~CG_AGENCY_NBR::VARCHAR~&~	~&~OBJ_ID::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~CG_AGENCY_RPT_NM::VARCHAR~&~	~&~CG_AGENCY_FULL_NM::VARCHAR~&~	~&~CG_AGNCY_INDR_AMT::DECIMAL~&~	~&~CG_AGENCY_HIST_IND::VARCHAR~&~	~&~CG_AGNCY_IN_ST_IND::VARCHAR~&~	~&~CG_AGENCY_TYP_CD::VARCHAR~&~	~&~CG_RPTTO_AGNCY_NBR::VARCHAR~&~	~&~CAGE_NBR::VARCHAR~&~	~&~DODAC_NBR::VARCHAR~&~	~&~DUNS_NBR::VARCHAR~&~	~&~DUNS_PLUS_FOUR_NBR::VARCHAR~&~	~&~CUST_NBR::VARCHAR~&~	~&~CUST_TYP_CD::VARCHAR~&~	~&~CUST_CRTN_OPTN_CD::VARCHAR~&~	~&~CMPGN_ID::VARCHAR~&~	~&~STATE_AGENCY_IND::VARCHAR~&~	~&~]HEADER
RECORD[~&~	~&~'11500'~&~	~&~'0292B100447EBBDEE043814FD881BBDE'~&~	~&~'1'~&~	~&~'US DEPT OF DEFENSE'~&~	~&~'U.S. DEPARTMENT OF DEFENSE'~&~	~&~'0.00'~&~	~&~'N'~&~	~&~'N'~&~	~&~'F'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'N'~&~	~&~]RECORD
RECORD[~&~	~&~'11505'~&~	~&~'0292B100447FBBDEE043814FD881BBDE'~&~	~&~'1'~&~	~&~'US AIR FORCE'~&~	~&~'U.S. AIR FORCE'~&~	~&~'0.00'~&~	~&~'N'~&~	~&~'N'~&~	~&~'F'~&~	~&~'11500'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'N'~&~	~&~]RECORD
RECORD[~&~	~&~'11510'~&~	~&~'0292B1004480BBDEE043814FD881BBDE'~&~	~&~'1'~&~	~&~'UNITED STATES ARMY'~&~	~&~'U.S. ARMY'~&~	~&~'0.00'~&~	~&~'N'~&~	~&~'N'~&~	~&~'F'~&~	~&~'11500'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'N'~&~	~&~]RECORD
RECORD[~&~	~&~'11555'~&~	~&~'0292B1004481BBDEE043814FD881BBDE'~&~	~&~'1'~&~	~&~'US NAVY'~&~	~&~'U.S. NAVY'~&~	~&~'0.00'~&~	~&~'N'~&~	~&~'N'~&~	~&~'F'~&~	~&~'11500'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'N'~&~	~&~]RECORD
RECORD[~&~	~&~'12010'~&~	~&~'0292B1004482BBDEE043814FD881BBDE'~&~	~&~'1'~&~	~&~'US DHHS'~&~	~&~'U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES'~&~	~&~'0.00'~&~	~&~'N'~&~	~&~'N'~&~	~&~'F'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'N'~&~	~&~]RECORD
RECORD[~&~	~&~'12100'~&~	~&~'0292B1004483BBDEE043814FD881BBDE'~&~	~&~'1'~&~	~&~'US OFFICE OF EDUC'~&~	~&~'U.S. OFFICE OF EDUCATION'~&~	~&~'0.00'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'F'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'N'~&~	~&~]RECORD
RECORD[~&~	~&~'12110'~&~	~&~'0292B1004484BBDEE043814FD881BBDE'~&~	~&~'1'~&~	~&~'US DEPT OF EDUCATION'~&~	~&~'U.S. DEPARTMENT OF EDUCATION'~&~	~&~'0.00'~&~	~&~'N'~&~	~&~'N'~&~	~&~'F'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'N'~&~	~&~]RECORD
RECORD[~&~	~&~'12500'~&~	~&~'0292B1004485BBDEE043814FD881BBDE'~&~	~&~'1'~&~	~&~'NIH'~&~	~&~'NATIONAL INSTITUTES OF HEALTH'~&~	~&~'0.00'~&~	~&~'N'~&~	~&~'N'~&~	~&~'F'~&~	~&~'12010'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'N'~&~	~&~]RECORD
RECORD[~&~	~&~'12550'~&~	~&~'0292B1004486BBDEE043814FD881BBDE'~&~	~&~'1'~&~	~&~'NIH CONTRACT'~&~	~&~'NATIONAL INSTITUTES OF HEALTH CONTRACT'~&~	~&~'0.00'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'F'~&~	~&~'12500'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'N'~&~	~&~]RECORD
RECORD[~&~	~&~'12601'~&~	~&~'0292B1004487BBDEE043814FD881BBDE'~&~	~&~'1'~&~	~&~'NIH-NIA'~&~	~&~'NATIONAL INSTITUTE ON AGING'~&~	~&~'0.00'~&~	~&~'N'~&~	~&~'N'~&~	~&~'F'~&~	~&~'12500'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'N'~&~	~&~]RECORD
RECORD[~&~	~&~'12602'~&~	~&~'0292B1004488BBDEE043814FD881BBDE'~&~	~&~'1'~&~	~&~'NATL INST ALLIED HLTH'~&~	~&~'NATIONAL INSTITUTE OF ALLIED HEALTH'~&~	~&~'0.00'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'F'~&~	~&~'12500'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'N'~&~	~&~]RECORD
RECORD[~&~	~&~'12610'~&~	~&~'0292B1004489BBDEE043814FD881BBDE'~&~	~&~'1'~&~	~&~'NIH-NCI'~&~	~&~'NATIONAL CANCER INSTITUTE'~&~	~&~'0.00'~&~	~&~'N'~&~	~&~'N'~&~	~&~'F'~&~	~&~'12500'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'N'~&~	~&~]RECORD
RECORD[~&~	~&~'12615'~&~	~&~'0292B100448ABBDEE043814FD881BBDE'~&~	~&~'1'~&~	~&~'NIH-NIDCD'~&~	~&~'NATIONAL INSTITUTE ON DEAFNESS AND OTHER COMM. DIS'~&~	~&~'0.00'~&~	~&~'N'~&~	~&~'N'~&~	~&~'F'~&~	~&~'12500'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'N'~&~	~&~]RECORD
RECORD[~&~	~&~'12624'~&~	~&~'0292B100448BBBDEE043814FD881BBDE'~&~	~&~'1'~&~	~&~'NIH-NEI'~&~	~&~'NATIONAL EYE INSTITUTE'~&~	~&~'0.00'~&~	~&~'N'~&~	~&~'N'~&~	~&~'F'~&~	~&~'12500'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'N'~&~	~&~]RECORD
