HEADER[~&~	~&~CGPRPSL_NBR::DECIMAL~&~	~&~FIN_COA_CD::VARCHAR~&~	~&~ACCOUNT_NBR::VARCHAR~&~	~&~OBJ_ID::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~PERSON_UNVL_ID::VARCHAR~&~	~&~ROW_ACTV_IND::VARCHAR~&~	~&~FNL_BILLED_IND::VARCHAR~&~	~&~CURR_LST_BILLED_DT::TIMESTAMP~&~	~&~PREV_LST_BILLED_DT::TIMESTAMP~&~	~&~]HEADER
RECORD[~&~	~&~'11'~&~	~&~'BL'~&~	~&~'4624763'~&~	~&~'49D358CCEFE85F7AE0404F8189D8263A'~&~	~&~'1'~&~	~&~'5951409987'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'11'~&~	~&~'BL'~&~	~&~'5431400'~&~	~&~'49D358CCE9C15F7AE0404F8189D8263A'~&~	~&~'1'~&~	~&~'3880605325'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'37'~&~	~&~'BL'~&~	~&~'4031440'~&~	~&~'49D358CCE9C25F7AE0404F8189D8263A'~&~	~&~'1'~&~	~&~'3880605325'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'37'~&~	~&~'BL'~&~	~&~'4624765'~&~	~&~'49D358CCEFE95F7AE0404F8189D8263A'~&~	~&~'1'~&~	~&~'1959008511'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'50'~&~	~&~'BL'~&~	~&~'4131412'~&~	~&~'49D358CCE9C35F7AE0404F8189D8263A'~&~	~&~'1'~&~	~&~'3880605325'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'50'~&~	~&~'BL'~&~	~&~'4624766'~&~	~&~'49D358CCEFEA5F7AE0404F8189D8263A'~&~	~&~'1'~&~	~&~'4521601311'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'67'~&~	~&~'BL'~&~	~&~'4624769'~&~	~&~'49D358CCEFEB5F7AE0404F8189D8263A'~&~	~&~'1'~&~	~&~'4684100678'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'67'~&~	~&~'BL'~&~	~&~'4831400'~&~	~&~'49D358CCE9C45F7AE0404F8189D8263A'~&~	~&~'1'~&~	~&~'3880605325'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'73'~&~	~&~'BL'~&~	~&~'4624770'~&~	~&~'49D358CCEFEC5F7AE0404F8189D8263A'~&~	~&~'1'~&~	~&~'4446301330'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'73'~&~	~&~'BL'~&~	~&~'4631643'~&~	~&~'49D358CCE9C55F7AE0404F8189D8263A'~&~	~&~'1'~&~	~&~'3880605325'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'92'~&~	~&~'BL'~&~	~&~'4331410'~&~	~&~'49D358CCE9C65F7AE0404F8189D8263A'~&~	~&~'1'~&~	~&~'3880605325'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'92'~&~	~&~'BL'~&~	~&~'4624771'~&~	~&~'49D358CCEFED5F7AE0404F8189D8263A'~&~	~&~'1'~&~	~&~'5631302174'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'264'~&~	~&~'BL'~&~	~&~'4624620'~&~	~&~'49D358CCE9C75F7AE0404F8189D8263A'~&~	~&~'1'~&~	~&~'3880605325'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'264'~&~	~&~'BL'~&~	~&~'4624772'~&~	~&~'49D358CCEFEE5F7AE0404F8189D8263A'~&~	~&~'1'~&~	~&~'1959008511'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'271'~&~	~&~'BL'~&~	~&~'4624773'~&~	~&~'49D358CCEFEF5F7AE0404F8189D8263A'~&~	~&~'1'~&~	~&~'2691706557'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'271'~&~	~&~'BL'~&~	~&~'4894705'~&~	~&~'49D358CCE9C85F7AE0404F8189D8263A'~&~	~&~'1'~&~	~&~'3880605325'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'332'~&~	~&~'BL'~&~	~&~'4624774'~&~	~&~'49D358CCEFF05F7AE0404F8189D8263A'~&~	~&~'1'~&~	~&~'3334505644'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'332'~&~	~&~'BL'~&~	~&~'4831470'~&~	~&~'49D358CCE9C95F7AE0404F8189D8263A'~&~	~&~'1'~&~	~&~'3880605325'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'378'~&~	~&~'BL'~&~	~&~'4624775'~&~	~&~'49D358CCEFF15F7AE0404F8189D8263A'~&~	~&~'1'~&~	~&~'3889504703'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'378'~&~	~&~'BL'~&~	~&~'4831471'~&~	~&~'49D358CCE9CA5F7AE0404F8189D8263A'~&~	~&~'1'~&~	~&~'3880605325'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'458'~&~	~&~'BL'~&~	~&~'4624776'~&~	~&~'49D358CCEFF25F7AE0404F8189D8263A'~&~	~&~'1'~&~	~&~'4146202628'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'458'~&~	~&~'BL'~&~	~&~'4831472'~&~	~&~'49D358CCE9CB5F7AE0404F8189D8263A'~&~	~&~'1'~&~	~&~'3880605325'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
