HEADER[~&~	~&~CG_LTRCR_FNDGRP_CD::VARCHAR~&~	~&~OBJ_ID::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~LTRCR_FNDGRP_DESC::VARCHAR~&~	~&~ROW_ACTV_IND::VARCHAR~&~	~&~]HEADER
RECORD[~&~	~&~'CNCS'~&~	~&~'12D4ED2159FBEF34E043814FD881EF34'~&~	~&~'1'~&~	~&~'Corp. for Nat'l & Comm. Serv.'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'DHHS'~&~	~&~'12D4ED2159FCEF34E043814FD881EF34'~&~	~&~'1'~&~	~&~'United States Department of Health & Hum'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'DOC'~&~	~&~'12D4ED2159FDEF34E043814FD881EF34'~&~	~&~'1'~&~	~&~'United States Department of Commerce'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'DOEC'~&~	~&~'12D4ED2159FEEF34E043814FD881EF34'~&~	~&~'1'~&~	~&~'United States Department of Energy - Chi'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'DOEO'~&~	~&~'12D4ED2159FFEF34E043814FD881EF34'~&~	~&~'1'~&~	~&~'United States Department of Energy - Oak'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'DOJ'~&~	~&~'12D4ED215A00EF34E043814FD881EF34'~&~	~&~'1'~&~	~&~'United States Department of Justice'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'EPA'~&~	~&~'12D4ED215A01EF34E043814FD881EF34'~&~	~&~'1'~&~	~&~'United States Environmental Protection A'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'GSFC'~&~	~&~'12D4ED215A02EF34E043814FD881EF34'~&~	~&~'1'~&~	~&~'Goddard Space Flight Center'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'HRL'~&~	~&~'12D4ED215A24EF34E043814FD881EF34'~&~	~&~'1'~&~	~&~'Human Rights and Labor'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'HUD'~&~	~&~'12D4ED215A03EF34E043814FD881EF34'~&~	~&~'1'~&~	~&~'Housing and Urban Development'~&~	~&~'Y'~&~	~&~]RECORD
