HEADER[~&~	~&~CG_PRPSL_CLOSE_NBR::VARCHAR~&~	~&~OBJ_ID::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~CG_LAST_CLOSED_DT::TIMESTAMP~&~	~&~CGAWD_CLOSED_CNT::DECIMAL~&~	~&~CGPRPSL_CLOSED_CNT::DECIMAL~&~	~&~PERSON_USER_ID::VARCHAR~&~	~&~CG_USR_INITIATE_DT::TIMESTAMP~&~	~&~]HEADER
RECORD[~&~	~&~'0'~&~	~&~'237D10FAABABC0B0E043814FD881C0B0'~&~	~&~'1'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'1'~&~	~&~'237D10FAABACC0B0E043814FD881C0B0'~&~	~&~'1'~&~	~&~'199507310000000000'~&~	~&~'255'~&~	~&~'153'~&~	~&~'SPOLLARD'~&~	~&~'199509150000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'10'~&~	~&~'237D10FAABB5C0B0E043814FD881C0B0'~&~	~&~'1'~&~	~&~'199603310000000000'~&~	~&~'111'~&~	~&~'245'~&~	~&~'SPOLLARD'~&~	~&~'199604160000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'100'~&~	~&~'237D10FAAC0FC0B0E043814FD881C0B0'~&~	~&~'1'~&~	~&~'200303310000000000'~&~	~&~'158'~&~	~&~'267'~&~	~&~'ZTAN'~&~	~&~'200304220000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'101'~&~	~&~'237D10FAAC10C0B0E043814FD881C0B0'~&~	~&~'1'~&~	~&~'200304300000000000'~&~	~&~'170'~&~	~&~'276'~&~	~&~'ZTAN'~&~	~&~'200305220000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'102'~&~	~&~'237D10FAAC11C0B0E043814FD881C0B0'~&~	~&~'1'~&~	~&~'200305310000000000'~&~	~&~'200'~&~	~&~'363'~&~	~&~'EWORKMAN'~&~	~&~'200307020000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'103'~&~	~&~'237D10FAAC12C0B0E043814FD881C0B0'~&~	~&~'1'~&~	~&~'200306300000000000'~&~	~&~'184'~&~	~&~'311'~&~	~&~'EWORKMAN'~&~	~&~'200308010000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'104'~&~	~&~'237D10FAAC13C0B0E043814FD881C0B0'~&~	~&~'1'~&~	~&~'200307310000000000'~&~	~&~'326'~&~	~&~'335'~&~	~&~'EWORKMAN'~&~	~&~'200309030000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'105'~&~	~&~'237D10FAAC14C0B0E043814FD881C0B0'~&~	~&~'1'~&~	~&~'200308310000000000'~&~	~&~'196'~&~	~&~'228'~&~	~&~'EWORKMAN'~&~	~&~'200310140000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'106'~&~	~&~'237D10FAAC15C0B0E043814FD881C0B0'~&~	~&~'1'~&~	~&~'200308310000000000'~&~	~&~'0'~&~	~&~'2'~&~	~&~'MESCHICK'~&~	~&~'200310280000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'107'~&~	~&~'237D10FAAC16C0B0E043814FD881C0B0'~&~	~&~'1'~&~	~&~'200309300000000000'~&~	~&~'271'~&~	~&~'385'~&~	~&~'MESCHICK'~&~	~&~'200312150000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'108'~&~	~&~'237D10FAAC17C0B0E043814FD881C0B0'~&~	~&~'1'~&~	~&~'200310310000000000'~&~	~&~'179'~&~	~&~'278'~&~	~&~'MESCHICK'~&~	~&~'200312190000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'109'~&~	~&~'237D10FAAC18C0B0E043814FD881C0B0'~&~	~&~'1'~&~	~&~'200311300000000000'~&~	~&~'115'~&~	~&~'311'~&~	~&~'MESCHICK'~&~	~&~'200402060000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'11'~&~	~&~'237D10FAABB6C0B0E043814FD881C0B0'~&~	~&~'1'~&~	~&~'199604300000000000'~&~	~&~'116'~&~	~&~'216'~&~	~&~'SPOLLARD'~&~	~&~'199605170000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'110'~&~	~&~'237D10FAAC19C0B0E043814FD881C0B0'~&~	~&~'1'~&~	~&~'200311300000000000'~&~	~&~'0'~&~	~&~'4'~&~	~&~'MESCHICK'~&~	~&~'200402240000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'111'~&~	~&~'237D10FAAC1AC0B0E043814FD881C0B0'~&~	~&~'1'~&~	~&~'200412310000000000'~&~	~&~'176'~&~	~&~'255'~&~	~&~'MESCHICK'~&~	~&~'200402260000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'112'~&~	~&~'237D10FAAC1BC0B0E043814FD881C0B0'~&~	~&~'1'~&~	~&~'200401310000000000'~&~	~&~'173'~&~	~&~'417'~&~	~&~'MESCHICK'~&~	~&~'200403250000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'113'~&~	~&~'237D10FAAC1CC0B0E043814FD881C0B0'~&~	~&~'1'~&~	~&~'200402290000000000'~&~	~&~'141'~&~	~&~'364'~&~	~&~'MESCHICK'~&~	~&~'200404010000000000'~&~	~&~]RECORD
