HEADER[~&~	~&~FIN_COA_CD::VARCHAR~&~	~&~ORG_CD::VARCHAR~&~	~&~CGPRPSL_NBR::DECIMAL~&~	~&~OBJ_ID::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~CGPRPSL_PRMORG_IND::VARCHAR~&~	~&~ROW_ACTV_IND::VARCHAR~&~	~&~]HEADER
RECORD[~&~	~&~'BL'~&~	~&~'ARSD'~&~	~&~'80066'~&~	~&~'59bb0c94-1bf2-4e67-991a-4b702599e19a'~&~	~&~'13'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'BL'~&~	~&~'ARSD'~&~	~&~'80072'~&~	~&~'ae0ea223-3f8f-4846-ae6a-7587cc86ce29'~&~	~&~'7'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'BL'~&~	~&~'ARSD'~&~	~&~'80081'~&~	~&~'a6ceee2a-07e9-4306-810d-75b9a021a5f9'~&~	~&~'26'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'BL'~&~	~&~'ARSD'~&~	~&~'80086'~&~	~&~'3cd4c61b-6833-45c1-a908-067ffb494f2b'~&~	~&~'1'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'BL'~&~	~&~'BI'~&~	~&~'53673'~&~	~&~'12BF1921032A9D6CE043814FD8819D6C'~&~	~&~'1'~&~	~&~'N'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'BL'~&~	~&~'BI'~&~	~&~'72453'~&~	~&~'12BF192109249D6CE043814FD8819D6C'~&~	~&~'1'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'BL'~&~	~&~'CHEM'~&~	~&~'8063'~&~	~&~'12BF1921032B9D6CE043814FD8819D6C'~&~	~&~'1'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'BL'~&~	~&~'CHEM'~&~	~&~'80067'~&~	~&~'b68aab1c-ca32-4b8e-af72-1a63e210707d'~&~	~&~'9'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'BL'~&~	~&~'CHEM'~&~	~&~'80073'~&~	~&~'da9c29f4-e730-46db-a0bf-eea7dc9f2e9e'~&~	~&~'10'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'BL'~&~	~&~'CHEM'~&~	~&~'80082'~&~	~&~'0af93240-def8-4241-a503-86cad6fbef26'~&~	~&~'20'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~]RECORD
