HEADER[~&~	~&~PERSON_UNVL_ID::VARCHAR~&~	~&~CGPRPSL_NBR::DECIMAL~&~	~&~OBJ_ID::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~PRPSL_PRMPRJDR_IND::VARCHAR~&~	~&~PRPSL_PRJDRPRJ_TTL::VARCHAR~&~	~&~ROW_ACTV_IND::VARCHAR~&~	~&~]HEADER
RECORD[~&~	~&~'1137304513'~&~	~&~'7896'~&~	~&~'12BF19210D869D6CE043814FD8819D6C'~&~	~&~'1'~&~	~&~'Y'~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'1137304513'~&~	~&~'9373'~&~	~&~'12BF19210D879D6CE043814FD8819D6C'~&~	~&~'1'~&~	~&~'Y'~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'1137304513'~&~	~&~'9591'~&~	~&~'12BF19210D889D6CE043814FD8819D6C'~&~	~&~'1'~&~	~&~'Y'~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'1208309261'~&~	~&~'26746'~&~	~&~'12BF19210E339D6CE043814FD8819D6C'~&~	~&~'1'~&~	~&~'Y'~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'1208309261'~&~	~&~'29650'~&~	~&~'12BF19210E349D6CE043814FD8819D6C'~&~	~&~'1'~&~	~&~'N'~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'1208309261'~&~	~&~'32109'~&~	~&~'12BF19210E359D6CE043814FD8819D6C'~&~	~&~'1'~&~	~&~'N'~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'1208309261'~&~	~&~'80083'~&~	~&~'275ca46d-f061-40b4-85ea-b5853fafb09f'~&~	~&~'12'~&~	~&~'Y'~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'1210506984'~&~	~&~'25186'~&~	~&~'12BF19210C699D6CE043814FD8819D6C'~&~	~&~'1'~&~	~&~'Y'~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'1210908400'~&~	~&~'80067'~&~	~&~'66199345-33fb-4814-a3f5-46f6f269498a'~&~	~&~'9'~&~	~&~'Y'~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'1297209262'~&~	~&~'25393'~&~	~&~'12BF19210DC99D6CE043814FD8819D6C'~&~	~&~'1'~&~	~&~'Y'~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'1306901621'~&~	~&~'31854'~&~	~&~'12BF19210DB79D6CE043814FD8819D6C'~&~	~&~'1'~&~	~&~'Y'~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'1306901621'~&~	~&~'35556'~&~	~&~'12BF19210DB89D6CE043814FD8819D6C'~&~	~&~'1'~&~	~&~'Y'~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'1306901621'~&~	~&~'38431'~&~	~&~'12BF19210DB99D6CE043814FD8819D6C'~&~	~&~'1'~&~	~&~'Y'~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
