HEADER[~&~	~&~CG_SUBCNR_NBR::VARCHAR~&~	~&~OBJ_ID::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~CG_SUBCNR_NM::VARCHAR~&~	~&~CG_SUBCNR_LN1_ADDR::VARCHAR~&~	~&~CG_SUBCNR_LN2_ADDR::VARCHAR~&~	~&~CG_SUBCNR_CITY_NM::VARCHAR~&~	~&~CG_SUBCNR_ST_CD::VARCHAR~&~	~&~CG_SUBCNR_ZIP_CD::VARCHAR~&~	~&~CGSUBCNR_CNTRY_CD::VARCHAR~&~	~&~ROW_ACTV_IND::VARCHAR~&~	~&~]HEADER
RECORD[~&~	~&~'00003'~&~	~&~'0292B10044EBBBDEE043814FD881BBDE'~&~	~&~'1'~&~	~&~'PURDUE UNIVERSITY'~&~	~&~'1063 Hovde Hall, Rm 339'~&~	~&~NULL~&~	~&~'WEST LAFAYETTE'~&~	~&~'IN'~&~	~&~'47907'~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'00019'~&~	~&~'0292B10044ECBBDEE043814FD881BBDE'~&~	~&~'1'~&~	~&~'UNIVERSITY OF NOTRE DAME'~&~	~&~'Not Available'~&~	~&~NULL~&~	~&~'NOT AVAILABLE'~&~	~&~'--'~&~	~&~'0000000000'~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'00021'~&~	~&~'0292B10044EDBBDEE043814FD881BBDE'~&~	~&~'1'~&~	~&~'UNIVERSITY OF WISCONSIN-MADISON'~&~	~&~'750 University Ave'~&~	~&~NULL~&~	~&~'MADISON'~&~	~&~'WI'~&~	~&~'53706'~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'00022'~&~	~&~'0292B10044EEBBDEE043814FD881BBDE'~&~	~&~'1'~&~	~&~'UNIVERSITY OF MICHIGAN'~&~	~&~'2044 Wolverine Tower'~&~	~&~'3003 State Street'~&~	~&~'ANN ARBOR'~&~	~&~'MI'~&~	~&~'48109-1273'~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'00057'~&~	~&~'0292B10044EFBBDEE043814FD881BBDE'~&~	~&~'1'~&~	~&~'ARIZONA STATE UNIVERSITY'~&~	~&~'BOX 871603'~&~	~&~NULL~&~	~&~'TEMPE'~&~	~&~'AZ'~&~	~&~'85287-1603'~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'00070'~&~	~&~'0292B10044F0BBDEE043814FD881BBDE'~&~	~&~'1'~&~	~&~'UNIVERSITY OF HELSINKI'~&~	~&~'000'~&~	~&~' '~&~	~&~'HELSINKI'~&~	~&~' '~&~	~&~' '~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'00071'~&~	~&~'0292B10044F1BBDEE043814FD881BBDE'~&~	~&~'1'~&~	~&~'FREE UNIVERSITY'~&~	~&~'1081 BT'~&~	~&~' '~&~	~&~'NOT AVAILABLE'~&~	~&~' '~&~	~&~' '~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'00072'~&~	~&~'0292B10044F2BBDEE043814FD881BBDE'~&~	~&~'1'~&~	~&~'PENNSYLVANIA STATE UNIVERSITY'~&~	~&~'118 Barbara Building II'~&~	~&~' '~&~	~&~'UNIVERSITY PARK'~&~	~&~'PA'~&~	~&~'16802-1003'~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'00074'~&~	~&~'0292B10044F3BBDEE043814FD881BBDE'~&~	~&~'1'~&~	~&~'CHILDREN'S HOSPITAL OF PITTSBURGH'~&~	~&~'3705 5th Avenue'~&~	~&~'at De Soto Street'~&~	~&~'PITTSBURGH'~&~	~&~'PA'~&~	~&~'15213-2583'~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'00079'~&~	~&~'0292B10044F4BBDEE043814FD881BBDE'~&~	~&~'1'~&~	~&~'UNIVERSITY OF COLORADO'~&~	~&~'Ofc of Contracts & Grants'~&~	~&~'Campus Box 19'~&~	~&~'BOULDER'~&~	~&~'CO'~&~	~&~'80309-0019'~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
