HEADER[~&~	~&~ACCT_TYP_CD::VARCHAR~&~	~&~OBJ_ID::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~ACCT_TYP_NM::VARCHAR~&~	~&~ROW_ACTV_IND::VARCHAR~&~	~&~]HEADER
RECORD[~&~	~&~'DP'~&~	~&~'014F3DAF81DAA448E043814FD28EA448'~&~	~&~'1'~&~	~&~'DISTINGUISHED PROFESSORSHIP ACCOUNTS'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'DT'~&~	~&~'014F3DAF81DBA448E043814FD28EA448'~&~	~&~'1'~&~	~&~'DESKTOP COMPUTER ACCOUNTS'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'EM'~&~	~&~'35A5641EA0D191B6E043814FD88191B6'~&~	~&~'1'~&~	~&~'FINANCIAL AID IU/IUF ENDOWED MERIT-BASED'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'EN'~&~	~&~'35A5641EA0D091B6E043814FD88191B6'~&~	~&~'1'~&~	~&~'FINANCIAL AID IU/IUF ENDOWED NEED-BASED'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'FC'~&~	~&~'014F3DAF81DDA448E043814FD28EA448'~&~	~&~'1'~&~	~&~'FACULTY COMPUTER EQUIP REPLACEMENT ACCTs'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'FM'~&~	~&~'014F3DAF81EAA448E043814FD28EA448'~&~	~&~'1'~&~	~&~'FELLOWSHIP MATCH'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'FN'~&~	~&~'35A5641EA0CF91B6E043814FD88191B6'~&~	~&~'1'~&~	~&~'FINAID FEDERALLY FUNDED NEED-BASED'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'FR'~&~	~&~'014F3DAF81DEA448E043814FD28EA448'~&~	~&~'1'~&~	~&~'FEE REMISSION ACCOUNTS'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'GM'~&~	~&~'35A5641EA0CE91B6E043814FD88191B6'~&~	~&~'1'~&~	~&~'FINANCIAL AID GENERAL FUND MERIT-BASED'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'GN'~&~	~&~'35A5641EA0CD91B6E043814FD88191B6'~&~	~&~'1'~&~	~&~'FINANCIAL AID GENERAL FUND NEED-BASED'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'GS'~&~	~&~'014F3DAF81DFA448E043814FD28EA448'~&~	~&~'1'~&~	~&~'GRAD FEE SCHOLARSHIPS'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'MM'~&~	~&~'35A5641EA0CC91B6E043814FD88191B6'~&~	~&~'1'~&~	~&~'FINANCIAL AID IU-IUF MATCH MERIT-BASED'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'MN'~&~	~&~'35A5641EA0CB91B6E043814FD88191B6'~&~	~&~'1'~&~	~&~'FINANCIAL AID IU-IUF MATCH NEED-BASED'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'ND'~&~	~&~'014F3DAF81EBA448E043814FD28EA448'~&~	~&~'1'~&~	~&~'C~G - Not Deferred Revenue Accounts'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'PM'~&~	~&~'35A5641EA0CA91B6E043814FD88191B6'~&~	~&~'1'~&~	~&~'FINAID PRIVATE/EXTERNAL MERIT-BASED'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'PN'~&~	~&~'35A5641EA0C991B6E043814FD88191B6'~&~	~&~'1'~&~	~&~'FINAID PRIVATE/EXTERNAL NEED-BASED'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'R7'~&~	~&~'35A5641EA0D291B6E043814FD88191B6'~&~	~&~'1'~&~	~&~'RENEWAL AND REPL FY07 SPECIAL FUNDING'~&~	~&~'Y'~&~	~&~]RECORD
