HEADER[~&~	~&~FIN_COA_CD::VARCHAR~&~	~&~ACCOUNT_NBR::VARCHAR~&~	~&~OBJ_ID::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~CAMPUS_DESC::VARCHAR~&~	~&~ORG_DESC::VARCHAR~&~	~&~RC_DESC::VARCHAR~&~	~&~CAMPUS_CD::VARCHAR~&~	~&~BLDG_CD::VARCHAR~&~	~&~]HEADER
RECORD[~&~	~&~'BA'~&~	~&~'9012025'~&~	~&~'0C4EE51FD9632018E043814FD8812018'~&~	~&~'1'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'BL'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'BA'~&~	~&~'9019993'~&~	~&~'0C4EE51FD9672018E043814FD8812018'~&~	~&~'1'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'BL'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'BA'~&~	~&~'9019995'~&~	~&~'0C4EE51FD9582018E043814FD8812018'~&~	~&~'1'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'BL'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'BA'~&~	~&~'9019996'~&~	~&~'0C4EE51FD95F2018E043814FD8812018'~&~	~&~'1'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'BL'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'BA'~&~	~&~'9020174'~&~	~&~'0C4EE51FD9622018E043814FD8812018'~&~	~&~'1'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'BL'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'BA'~&~	~&~'9020175'~&~	~&~'0C4EE51FD9592018E043814FD8812018'~&~	~&~'1'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'BL'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'BA'~&~	~&~'9020204'~&~	~&~'0C4EE51FD9602018E043814FD8812018'~&~	~&~'1'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'BL'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'BA'~&~	~&~'9020224'~&~	~&~'0C4EE51FD95E2018E043814FD8812018'~&~	~&~'1'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'BL'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'BA'~&~	~&~'9020391'~&~	~&~'0C4EE51FD9652018E043814FD8812018'~&~	~&~'1'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'BL'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'BA'~&~	~&~'9020650'~&~	~&~'0C4EE51FD95A2018E043814FD8812018'~&~	~&~'1'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'BL'~&~	~&~NULL~&~	~&~]RECORD
