HEADER[~&~	~&~FIN_HGH_ED_FUNC_CD::VARCHAR~&~	~&~OBJ_ID::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~FIN_HGH_ED_FUNC_NM::VARCHAR~&~	~&~FIN_UBO_FUNC_CD::VARCHAR~&~	~&~FIN_AICPA_FUNC_CD::VARCHAR~&~	~&~FIN_FED_FUNC_CD::VARCHAR~&~	~&~ROW_ACTV_IND::VARCHAR~&~	~&~]HEADER
RECORD[~&~	~&~'AA'~&~	~&~'014F3DAF81ECA448E043814FD28EA448'~&~	~&~'1'~&~	~&~'ACADEMIC ADMINISTRATION'~&~	~&~'AA'~&~	~&~'AS'~&~	~&~'IUR'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'AAOI'~&~	~&~'014F3DAF81EDA448E043814FD28EA448'~&~	~&~'1'~&~	~&~'ACADEMIC ADMIN. OTHER INSTITUTIONAL ACTI'~&~	~&~'AA'~&~	~&~'AS'~&~	~&~'OIA'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'AC'~&~	~&~'014F3DAF81EEA448E043814FD28EA448'~&~	~&~'1'~&~	~&~'ACADEMIC COMPUTING'~&~	~&~'AC'~&~	~&~'AS'~&~	~&~'OIA'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'AD'~&~	~&~'014F3DAF81EFA448E043814FD28EA448'~&~	~&~'1'~&~	~&~'ACADEMIC DEVELOPMENT'~&~	~&~'AD'~&~	~&~'AS'~&~	~&~'IUR'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'AUX'~&~	~&~'014F3DAF81F0A448E043814FD28EA448'~&~	~&~'1'~&~	~&~'AUXILIARY & SERVICES'~&~	~&~'AUX'~&~	~&~'AUX'~&~	~&~'OIA'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'AVS'~&~	~&~'014F3DAF81F1A448E043814FD28EA448'~&~	~&~'1'~&~	~&~'AUDIO VISUAL SERVICES'~&~	~&~'AVS'~&~	~&~'AS'~&~	~&~'OIA'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'BS'~&~	~&~'014F3DAF81F2A448E043814FD28EA448'~&~	~&~'1'~&~	~&~'BALANCE SHEET ACCOUNTS'~&~	~&~'IS'~&~	~&~'IS'~&~	~&~'GA'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'CS'~&~	~&~'014F3DAF81F3A448E043814FD28EA448'~&~	~&~'1'~&~	~&~'COMMUNITY SERVICES'~&~	~&~'CS'~&~	~&~'PS'~&~	~&~'OIA'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'CSSR'~&~	~&~'014F3DAF81F4A448E043814FD28EA448'~&~	~&~'1'~&~	~&~'COMMUNITY SERVICES-SPONSORED PROGRAMS'~&~	~&~'CS'~&~	~&~'PS'~&~	~&~'SPS'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'DR'~&~	~&~'309958D8D0E9011CE043814FD881011C'~&~	~&~'1'~&~	~&~'DEPARTMENTAL RESEARCH'~&~	~&~'IN'~&~	~&~'IN'~&~	~&~'IUR'~&~	~&~'Y'~&~	~&~]RECORD
