HEADER[~&~	~&~CA_ICR_ACCT_GNRTD_ID::DECIMAL~&~	~&~OBJ_ID::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~FIN_COA_CD::VARCHAR~&~	~&~ACCOUNT_NBR::VARCHAR~&~	~&~ICR_FIN_COA_CD::VARCHAR~&~	~&~ICR_FIN_ACCT_NBR::VARCHAR~&~	~&~ACLN_PCT::VARCHAR~&~	~&~DOBJ_MAINT_CD_ACTV_IND::VARCHAR~&~	~&~]HEADER
RECORD[~&~	~&~'10000'~&~	~&~'AF204E1BF1DF9BC4E040007F0100096E'~&~	~&~'1'~&~	~&~'BL'~&~	~&~'0211608'~&~	~&~'BL'~&~	~&~'1023287'~&~	~&~'100'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'10001'~&~	~&~'AF204E1BF1E09BC4E040007F0100096E'~&~	~&~'1'~&~	~&~'BL'~&~	~&~'0211609'~&~	~&~'BL'~&~	~&~'1023287'~&~	~&~'100'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'10002'~&~	~&~'AF204E1BF1E19BC4E040007F0100096E'~&~	~&~'1'~&~	~&~'BL'~&~	~&~'0211801'~&~	~&~'BL'~&~	~&~'1023287'~&~	~&~'100'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'10003'~&~	~&~'AF204E1BF1E29BC4E040007F0100096E'~&~	~&~'1'~&~	~&~'BL'~&~	~&~'0211802'~&~	~&~'BL'~&~	~&~'1023287'~&~	~&~'100'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'10004'~&~	~&~'AF204E1BF1E39BC4E040007F0100096E'~&~	~&~'1'~&~	~&~'BL'~&~	~&~'0211803'~&~	~&~'BL'~&~	~&~'1023287'~&~	~&~'100'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'10005'~&~	~&~'AF204E1BF1E49BC4E040007F0100096E'~&~	~&~'1'~&~	~&~'BL'~&~	~&~'0211804'~&~	~&~'BL'~&~	~&~'1023287'~&~	~&~'100'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'10006'~&~	~&~'AF204E1BF1E59BC4E040007F0100096E'~&~	~&~'1'~&~	~&~'BL'~&~	~&~'0211805'~&~	~&~'BL'~&~	~&~'1023287'~&~	~&~'100'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'10007'~&~	~&~'AF204E1BF1E69BC4E040007F0100096E'~&~	~&~'1'~&~	~&~'BL'~&~	~&~'0211806'~&~	~&~'BL'~&~	~&~'1023287'~&~	~&~'100'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'10008'~&~	~&~'AF204E1BF1E79BC4E040007F0100096E'~&~	~&~'1'~&~	~&~'BL'~&~	~&~'0211807'~&~	~&~'BL'~&~	~&~'1023287'~&~	~&~'100'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'10009'~&~	~&~'AF204E1BF1E89BC4E040007F0100096E'~&~	~&~'1'~&~	~&~'BL'~&~	~&~'0211808'~&~	~&~'BL'~&~	~&~'1023287'~&~	~&~'100'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'10010'~&~	~&~'AF204E1BF1E99BC4E040007F0100096E'~&~	~&~'1'~&~	~&~'BL'~&~	~&~'0211809'~&~	~&~'BL'~&~	~&~'1023287'~&~	~&~'100'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'10011'~&~	~&~'AF204E1BF1EA9BC4E040007F0100096E'~&~	~&~'1'~&~	~&~'BL'~&~	~&~'1020087'~&~	~&~'BL'~&~	~&~'1031400'~&~	~&~'100'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'10012'~&~	~&~'AF204E1BF1EB9BC4E040007F0100096E'~&~	~&~'1'~&~	~&~'BL'~&~	~&~'1021887'~&~	~&~'BL'~&~	~&~'1031400'~&~	~&~'100'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'10013'~&~	~&~'AF204E1BF1EC9BC4E040007F0100096E'~&~	~&~'1'~&~	~&~'BL'~&~	~&~'0211201'~&~	~&~'BL'~&~	~&~'1023287'~&~	~&~'100'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'10014'~&~	~&~'AF204E1BF1ED9BC4E040007F0100096E'~&~	~&~'1'~&~	~&~'BL'~&~	~&~'0211202'~&~	~&~'BL'~&~	~&~'1023287'~&~	~&~'100'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'10015'~&~	~&~'AF204E1BF1EE9BC4E040007F0100096E'~&~	~&~'1'~&~	~&~'BL'~&~	~&~'0211203'~&~	~&~'BL'~&~	~&~'1023287'~&~	~&~'100'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'10016'~&~	~&~'AF204E1BF1EF9BC4E040007F0100096E'~&~	~&~'1'~&~	~&~'BL'~&~	~&~'0211204'~&~	~&~'BL'~&~	~&~'1023287'~&~	~&~'100'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'10017'~&~	~&~'AF204E1BF1F09BC4E040007F0100096E'~&~	~&~'1'~&~	~&~'BL'~&~	~&~'0211205'~&~	~&~'BL'~&~	~&~'1023287'~&~	~&~'100'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'10018'~&~	~&~'AF204E1BF1F19BC4E040007F0100096E'~&~	~&~'1'~&~	~&~'BL'~&~	~&~'0211206'~&~	~&~'BL'~&~	~&~'1023287'~&~	~&~'100'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'10019'~&~	~&~'AF204E1BF1F29BC4E040007F0100096E'~&~	~&~'1'~&~	~&~'BL'~&~	~&~'0211207'~&~	~&~'BL'~&~	~&~'1023287'~&~	~&~'100'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'10020'~&~	~&~'AF204E1BF1F39BC4E040007F0100096E'~&~	~&~'1'~&~	~&~'BL'~&~	~&~'0211208'~&~	~&~'BL'~&~	~&~'1023287'~&~	~&~'100'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'10021'~&~	~&~'AF204E1BF1F49BC4E040007F0100096E'~&~	~&~'1'~&~	~&~'BL'~&~	~&~'0211209'~&~	~&~'BL'~&~	~&~'1023287'~&~	~&~'100'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'10022'~&~	~&~'AF204E1BF1F59BC4E040007F0100096E'~&~	~&~'1'~&~	~&~'BL'~&~	~&~'0211401'~&~	~&~'BL'~&~	~&~'1023287'~&~	~&~'100'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'10023'~&~	~&~'AF204E1BF1F69BC4E040007F0100096E'~&~	~&~'1'~&~	~&~'BL'~&~	~&~'0211402'~&~	~&~'BL'~&~	~&~'1023287'~&~	~&~'100'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'10024'~&~	~&~'AF204E1BF1F79BC4E040007F0100096E'~&~	~&~'1'~&~	~&~'BL'~&~	~&~'0211403'~&~	~&~'BL'~&~	~&~'1023287'~&~	~&~'100'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'10025'~&~	~&~'AF204E1BF1F89BC4E040007F0100096E'~&~	~&~'1'~&~	~&~'BL'~&~	~&~'0211404'~&~	~&~'BL'~&~	~&~'1023287'~&~	~&~'100'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'10026'~&~	~&~'AF204E1BF1F99BC4E040007F0100096E'~&~	~&~'1'~&~	~&~'BL'~&~	~&~'0211405'~&~	~&~'BL'~&~	~&~'1023287'~&~	~&~'100'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'10027'~&~	~&~'AF204E1BF1FA9BC4E040007F0100096E'~&~	~&~'1'~&~	~&~'BL'~&~	~&~'0211406'~&~	~&~'BL'~&~	~&~'1023287'~&~	~&~'100'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'10028'~&~	~&~'AF204E1BF1FB9BC4E040007F0100096E'~&~	~&~'1'~&~	~&~'BL'~&~	~&~'0211407'~&~	~&~'BL'~&~	~&~'1023287'~&~	~&~'100'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'10029'~&~	~&~'AF204E1BF1FC9BC4E040007F0100096E'~&~	~&~'1'~&~	~&~'BL'~&~	~&~'0211408'~&~	~&~'BL'~&~	~&~'1023287'~&~	~&~'100'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'10030'~&~	~&~'AF204E1BF1FD9BC4E040007F0100096E'~&~	~&~'1'~&~	~&~'BL'~&~	~&~'0211409'~&~	~&~'BL'~&~	~&~'1023287'~&~	~&~'100'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'10031'~&~	~&~'AF204E1BF1FE9BC4E040007F0100096E'~&~	~&~'1'~&~	~&~'BL'~&~	~&~'0211601'~&~	~&~'BL'~&~	~&~'1023287'~&~	~&~'100'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'10032'~&~	~&~'AF204E1BF1FF9BC4E040007F0100096E'~&~	~&~'1'~&~	~&~'BL'~&~	~&~'0211602'~&~	~&~'BL'~&~	~&~'1023287'~&~	~&~'100'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'10033'~&~	~&~'AF204E1BF2009BC4E040007F0100096E'~&~	~&~'1'~&~	~&~'BL'~&~	~&~'0211603'~&~	~&~'BL'~&~	~&~'1023287'~&~	~&~'100'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'10034'~&~	~&~'AF204E1BF2019BC4E040007F0100096E'~&~	~&~'1'~&~	~&~'BL'~&~	~&~'0211604'~&~	~&~'BL'~&~	~&~'1023287'~&~	~&~'100'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'10035'~&~	~&~'AF204E1BF2029BC4E040007F0100096E'~&~	~&~'1'~&~	~&~'BL'~&~	~&~'0211605'~&~	~&~'BL'~&~	~&~'1023287'~&~	~&~'100'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'10036'~&~	~&~'AF204E1BF2039BC4E040007F0100096E'~&~	~&~'1'~&~	~&~'BL'~&~	~&~'0211606'~&~	~&~'BL'~&~	~&~'1023287'~&~	~&~'100'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'10037'~&~	~&~'AF204E1BF2049BC4E040007F0100096E'~&~	~&~'1'~&~	~&~'BL'~&~	~&~'0211607'~&~	~&~'BL'~&~	~&~'1023287'~&~	~&~'100'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'10038'~&~	~&~'AF204E1BF2059BC4E040007F0100096E'~&~	~&~'1'~&~	~&~'BL'~&~	~&~'2231499'~&~	~&~'BL'~&~	~&~'1031400'~&~	~&~'100'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'10039'~&~	~&~'AF204E1BF2069BC4E040007F0100096E'~&~	~&~'1'~&~	~&~'BL'~&~	~&~'2124740'~&~	~&~'BL'~&~	~&~'2124740'~&~	~&~'100'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'10040'~&~	~&~'AF204E1BF2079BC4E040007F0100096E'~&~	~&~'1'~&~	~&~'BL'~&~	~&~'2324705'~&~	~&~'BL'~&~	~&~'1023287'~&~	~&~'100'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'10041'~&~	~&~'AF204E1BF2089BC4E040007F0100096E'~&~	~&~'1'~&~	~&~'BL'~&~	~&~'2631476'~&~	~&~'BL'~&~	~&~'2631476'~&~	~&~'100'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'10042'~&~	~&~'AF204E1BF2099BC4E040007F0100096E'~&~	~&~'1'~&~	~&~'BL'~&~	~&~'2324609'~&~	~&~'BL'~&~	~&~'1023287'~&~	~&~'100'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'10043'~&~	~&~'AF204E1BF20A9BC4E040007F0100096E'~&~	~&~'1'~&~	~&~'BL'~&~	~&~'2324704'~&~	~&~'BL'~&~	~&~'1023287'~&~	~&~'100'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'10044'~&~	~&~'AF204E1BF20B9BC4E040007F0100096E'~&~	~&~'1'~&~	~&~'BL'~&~	~&~'4024401'~&~	~&~'BL'~&~	~&~'1023287'~&~	~&~'100'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'10045'~&~	~&~'AF204E1BF20C9BC4E040007F0100096E'~&~	~&~'1'~&~	~&~'BL'~&~	~&~'4024402'~&~	~&~'BL'~&~	~&~'1023287'~&~	~&~'100'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'10046'~&~	~&~'AF204E1BF20D9BC4E040007F0100096E'~&~	~&~'1'~&~	~&~'BL'~&~	~&~'4024403'~&~	~&~'BL'~&~	~&~'1023287'~&~	~&~'100'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'10047'~&~	~&~'AF204E1BF20E9BC4E040007F0100096E'~&~	~&~'1'~&~	~&~'BL'~&~	~&~'4024404'~&~	~&~'BL'~&~	~&~'1023287'~&~	~&~'100'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'10048'~&~	~&~'AF204E1BF20F9BC4E040007F0100096E'~&~	~&~'1'~&~	~&~'BL'~&~	~&~'4024405'~&~	~&~'BL'~&~	~&~'1023287'~&~	~&~'100'~&~	~&~'Y'~&~	~&~]RECORD
