HEADER[~&~	~&~UNIV_FISCAL_YR::DECIMAL~&~	~&~FIN_SERIES_ID::VARCHAR~&~	~&~AWRD_ICR_ENTRY_NBR::DECIMAL~&~	~&~OBJ_ID::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~FIN_COA_CD::VARCHAR~&~	~&~ACCOUNT_NBR::VARCHAR~&~	~&~SUB_ACCT_NBR::VARCHAR~&~	~&~FIN_OBJECT_CD::VARCHAR~&~	~&~FIN_SUB_OBJ_CD::VARCHAR~&~	~&~TRN_DEBIT_CRDT_CD::VARCHAR~&~	~&~AWRD_ICR_RATE_PCT::DECIMAL~&~	~&~ACCT_ICR_RATE_ACTV_IND::VARCHAR~&~	~&~]HEADER
RECORD[~&~	~&~'2009'~&~	~&~'000'~&~	~&~'1'~&~	~&~'82E474DA-CD8F-0324-AF18-F436D5EBA754'~&~	~&~'1'~&~	~&~'@'~&~	~&~'@'~&~	~&~'@'~&~	~&~'5500'~&~	~&~'---'~&~	~&~'D'~&~	~&~'0.000'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'000'~&~	~&~'2'~&~	~&~'1BB0C24F-EE06-3DAC-7CEB-D88A46285BA5'~&~	~&~'1'~&~	~&~'#'~&~	~&~'#'~&~	~&~'-----'~&~	~&~'1803'~&~	~&~'---'~&~	~&~'C'~&~	~&~'0.000'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'001'~&~	~&~'1'~&~	~&~'18D91228-2BCE-8E10-7A96-38C521E91307'~&~	~&~'1'~&~	~&~'@'~&~	~&~'@'~&~	~&~'@'~&~	~&~'5500'~&~	~&~'---'~&~	~&~'D'~&~	~&~'3.130'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'001'~&~	~&~'2'~&~	~&~'2278F543-D2F3-8A70-E023-1730ED5583F1'~&~	~&~'1'~&~	~&~'#'~&~	~&~'#'~&~	~&~'-----'~&~	~&~'1803'~&~	~&~'---'~&~	~&~'C'~&~	~&~'3.130'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'002'~&~	~&~'1'~&~	~&~'0F8B69E0-3FD7-FBE5-52AE-D77E543DAC0D'~&~	~&~'1'~&~	~&~'@'~&~	~&~'@'~&~	~&~'@'~&~	~&~'5500'~&~	~&~'---'~&~	~&~'D'~&~	~&~'3.800'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'002'~&~	~&~'2'~&~	~&~'163C52B4-8E4C-ED65-1DE8-58CFEBFAE6A9'~&~	~&~'1'~&~	~&~'#'~&~	~&~'#'~&~	~&~'-----'~&~	~&~'1803'~&~	~&~'---'~&~	~&~'C'~&~	~&~'2.000'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'002'~&~	~&~'3'~&~	~&~'0B496D9C-481E-29E1-76B0-3D9ED3CF1CF0'~&~	~&~'1'~&~	~&~'BL'~&~	~&~'1031400'~&~	~&~'-----'~&~	~&~'1803'~&~	~&~'---'~&~	~&~'C'~&~	~&~'1.800'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'003'~&~	~&~'1'~&~	~&~'ECB90EA3-40F8-9287-B453-C438B0CD871F'~&~	~&~'1'~&~	~&~'@'~&~	~&~'@'~&~	~&~'@'~&~	~&~'5500'~&~	~&~'---'~&~	~&~'D'~&~	~&~'4.000'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'003'~&~	~&~'2'~&~	~&~'BB2E0600-4898-032E-4F87-373FA04BE87F'~&~	~&~'1'~&~	~&~'#'~&~	~&~'#'~&~	~&~'-----'~&~	~&~'1803'~&~	~&~'---'~&~	~&~'C'~&~	~&~'4.000'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'004'~&~	~&~'1'~&~	~&~'58540C26-40FF-6F8F-662D-05B3EE3FDDA9'~&~	~&~'1'~&~	~&~'@'~&~	~&~'@'~&~	~&~'@'~&~	~&~'5500'~&~	~&~'---'~&~	~&~'D'~&~	~&~'4.920'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'004'~&~	~&~'2'~&~	~&~'887F0A97-5D30-2883-7550-D683EDB80EEB'~&~	~&~'1'~&~	~&~'#'~&~	~&~'#'~&~	~&~'-----'~&~	~&~'1803'~&~	~&~'---'~&~	~&~'C'~&~	~&~'4.920'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'005'~&~	~&~'1'~&~	~&~'6DE9DEBA-D480-AEFC-5F85-3032499AF08F'~&~	~&~'1'~&~	~&~'@'~&~	~&~'@'~&~	~&~'@'~&~	~&~'5500'~&~	~&~'---'~&~	~&~'D'~&~	~&~'5.000'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'005'~&~	~&~'2'~&~	~&~'1F81F0E5-6A10-6A8A-2378-B46C8978C44F'~&~	~&~'1'~&~	~&~'#'~&~	~&~'#'~&~	~&~'-----'~&~	~&~'1803'~&~	~&~'---'~&~	~&~'C'~&~	~&~'5.000'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'006'~&~	~&~'1'~&~	~&~'5DBE51F1-2967-C9B7-FFBA-4A47B47448EE'~&~	~&~'1'~&~	~&~'@'~&~	~&~'@'~&~	~&~'@'~&~	~&~'5500'~&~	~&~'---'~&~	~&~'D'~&~	~&~'5.280'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'006'~&~	~&~'2'~&~	~&~'8DEC188A-2933-9F70-CDB8-57AE185988EC'~&~	~&~'1'~&~	~&~'#'~&~	~&~'#'~&~	~&~'-----'~&~	~&~'1803'~&~	~&~'---'~&~	~&~'C'~&~	~&~'5.280'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'007'~&~	~&~'1'~&~	~&~'6B2D2089-A837-1FE1-4B0E-EEAACB98845E'~&~	~&~'1'~&~	~&~'@'~&~	~&~'@'~&~	~&~'@'~&~	~&~'5500'~&~	~&~'---'~&~	~&~'D'~&~	~&~'5.540'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'007'~&~	~&~'2'~&~	~&~'CFF969C5-7DD8-8F3E-FBA2-4EB876AD62F5'~&~	~&~'1'~&~	~&~'#'~&~	~&~'#'~&~	~&~'-----'~&~	~&~'1803'~&~	~&~'---'~&~	~&~'C'~&~	~&~'5.540'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'008'~&~	~&~'1'~&~	~&~'09813408-5D54-CFD1-A431-A5BDB35D0A04'~&~	~&~'1'~&~	~&~'@'~&~	~&~'@'~&~	~&~'@'~&~	~&~'5500'~&~	~&~'---'~&~	~&~'D'~&~	~&~'6.000'~&~	~&~'Y'~&~	~&~]RECORD
