HEADER[~&~	~&~UNIV_FISCAL_YR::DECIMAL~&~	~&~FIN_SERIES_ID::VARCHAR~&~	~&~OBJ_ID::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~ROW_ACTV_IND::VARCHAR~&~	~&~]HEADER
RECORD[~&~	~&~'2009'~&~	~&~'000'~&~	~&~'5022FF727E41BF60E0404F8189D82B82'~&~	~&~'1'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'001'~&~	~&~'5022FF727E42BF60E0404F8189D82B82'~&~	~&~'1'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'002'~&~	~&~'5022FF727E43BF60E0404F8189D82B82'~&~	~&~'1'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'003'~&~	~&~'5022FF727E44BF60E0404F8189D82B82'~&~	~&~'1'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'004'~&~	~&~'5022FF727E45BF60E0404F8189D82B82'~&~	~&~'1'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'005'~&~	~&~'5022FF727E46BF60E0404F8189D82B82'~&~	~&~'1'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'006'~&~	~&~'5022FF727E47BF60E0404F8189D82B82'~&~	~&~'1'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'007'~&~	~&~'5022FF727E48BF60E0404F8189D82B82'~&~	~&~'1'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'008'~&~	~&~'5022FF727E49BF60E0404F8189D82B82'~&~	~&~'1'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'009'~&~	~&~'5022FF727E4ABF60E0404F8189D82B82'~&~	~&~'1'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'010'~&~	~&~'5022FF727E4BBF60E0404F8189D82B82'~&~	~&~'1'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'011'~&~	~&~'5022FF727E4CBF60E0404F8189D82B82'~&~	~&~'1'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'012'~&~	~&~'5022FF727E4DBF60E0404F8189D82B82'~&~	~&~'1'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'013'~&~	~&~'5022FF727E4EBF60E0404F8189D82B82'~&~	~&~'1'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'014'~&~	~&~'5022FF727E4FBF60E0404F8189D82B82'~&~	~&~'1'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'015'~&~	~&~'5022FF727E50BF60E0404F8189D82B82'~&~	~&~'1'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'016'~&~	~&~'5022FF727E51BF60E0404F8189D82B82'~&~	~&~'1'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'017'~&~	~&~'5022FF727E52BF60E0404F8189D82B82'~&~	~&~'1'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'018'~&~	~&~'5022FF727E53BF60E0404F8189D82B82'~&~	~&~'1'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'019'~&~	~&~'5022FF727E54BF60E0404F8189D82B82'~&~	~&~'1'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'020'~&~	~&~'5022FF727E55BF60E0404F8189D82B82'~&~	~&~'1'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'021'~&~	~&~'5022FF727E56BF60E0404F8189D82B82'~&~	~&~'1'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'022'~&~	~&~'5022FF727E57BF60E0404F8189D82B82'~&~	~&~'1'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'023'~&~	~&~'5022FF727E58BF60E0404F8189D82B82'~&~	~&~'1'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'024'~&~	~&~'5022FF727E59BF60E0404F8189D82B82'~&~	~&~'1'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'025'~&~	~&~'5022FF727E5ABF60E0404F8189D82B82'~&~	~&~'1'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'026'~&~	~&~'5022FF727E5BBF60E0404F8189D82B82'~&~	~&~'1'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'027'~&~	~&~'5022FF727E5CBF60E0404F8189D82B82'~&~	~&~'1'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'028'~&~	~&~'5022FF727E5DBF60E0404F8189D82B82'~&~	~&~'1'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'029'~&~	~&~'5022FF727E5EBF60E0404F8189D82B82'~&~	~&~'1'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'030'~&~	~&~'5022FF727E5FBF60E0404F8189D82B82'~&~	~&~'1'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'031'~&~	~&~'5022FF727E60BF60E0404F8189D82B82'~&~	~&~'1'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'032'~&~	~&~'5022FF727E61BF60E0404F8189D82B82'~&~	~&~'1'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'033'~&~	~&~'5022FF727E62BF60E0404F8189D82B82'~&~	~&~'1'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'034'~&~	~&~'5022FF727E63BF60E0404F8189D82B82'~&~	~&~'1'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'035'~&~	~&~'5022FF727E64BF60E0404F8189D82B82'~&~	~&~'1'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'036'~&~	~&~'5022FF727E65BF60E0404F8189D82B82'~&~	~&~'1'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'037'~&~	~&~'5022FF727E66BF60E0404F8189D82B82'~&~	~&~'1'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'038'~&~	~&~'5022FF727E67BF60E0404F8189D82B82'~&~	~&~'1'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'039'~&~	~&~'5022FF727E68BF60E0404F8189D82B82'~&~	~&~'1'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'040'~&~	~&~'5022FF727E69BF60E0404F8189D82B82'~&~	~&~'1'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'041'~&~	~&~'5022FF727E6ABF60E0404F8189D82B82'~&~	~&~'1'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'042'~&~	~&~'5022FF727E6BBF60E0404F8189D82B82'~&~	~&~'1'~&~	~&~'Y'~&~	~&~]RECORD
