HEADER[~&~	~&~FIN_COA_CD::VARCHAR~&~	~&~FIN_CONS_OBJ_CD::VARCHAR~&~	~&~OBJ_ID::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~FIN_CONS_OBJ_NM::VARCHAR~&~	~&~FIN_CONOBJ_SHRT_NM::VARCHAR~&~	~&~FIN_CONOBJ_ACTV_CD::VARCHAR~&~	~&~FIN_REPORT_SORT_CD::VARCHAR~&~	~&~]HEADER
RECORD[~&~	~&~'BA'~&~	~&~'ASEX'~&~	~&~'014F3DAF7384A448E043814FD28EA448'~&~	~&~'1'~&~	~&~'ASSESSMENTS-EXPENDITURES'~&~	~&~'ASSESS-EXP'~&~	~&~'Y'~&~	~&~'13'~&~	~&~]RECORD
RECORD[~&~	~&~'BA'~&~	~&~'ASRE'~&~	~&~'014F3DAF7385A448E043814FD28EA448'~&~	~&~'1'~&~	~&~'ASSESSMENTS-REVENUE'~&~	~&~'ASSESS-REV'~&~	~&~'Y'~&~	~&~'05'~&~	~&~]RECORD
RECORD[~&~	~&~'BA'~&~	~&~'ASST'~&~	~&~'014F3DAF7386A448E043814FD28EA448'~&~	~&~'1'~&~	~&~'ASSETS'~&~	~&~'ASSETS'~&~	~&~'Y'~&~	~&~'16'~&~	~&~]RECORD
RECORD[~&~	~&~'BA'~&~	~&~'CMPN'~&~	~&~'014F3DAF7387A448E043814FD28EA448'~&~	~&~'1'~&~	~&~'COMPENSATION'~&~	~&~'COMPENS'~&~	~&~'Y'~&~	~&~'07'~&~	~&~]RECORD
RECORD[~&~	~&~'BA'~&~	~&~'CPTL'~&~	~&~'014F3DAF7388A448E043814FD28EA448'~&~	~&~'1'~&~	~&~'CAPITAL'~&~	~&~'CAPITAL'~&~	~&~'Y'~&~	~&~'11'~&~	~&~]RECORD
RECORD[~&~	~&~'BA'~&~	~&~'FDBL'~&~	~&~'014F3DAF7389A448E043814FD28EA448'~&~	~&~'1'~&~	~&~'FUND BALANCE'~&~	~&~'FUND BAL'~&~	~&~'Y'~&~	~&~'18'~&~	~&~]RECORD
RECORD[~&~	~&~'BA'~&~	~&~'GENX'~&~	~&~'014F3DAF738AA448E043814FD28EA448'~&~	~&~'1'~&~	~&~'GENERAL EXPENSE'~&~	~&~'GEN EXP'~&~	~&~'Y'~&~	~&~'09'~&~	~&~]RECORD
RECORD[~&~	~&~'BA'~&~	~&~'IDEX'~&~	~&~'014F3DAF738BA448E043814FD28EA448'~&~	~&~'1'~&~	~&~'INDIRECT COST RECOVERY EXPENSE'~&~	~&~'IND COST EXP'~&~	~&~'Y'~&~	~&~'12'~&~	~&~]RECORD
RECORD[~&~	~&~'BA'~&~	~&~'IDIN'~&~	~&~'014F3DAF738CA448E043814FD28EA448'~&~	~&~'1'~&~	~&~'INDIRECT COST RECOVERY INCOME'~&~	~&~'IND COST INC'~&~	~&~'Y'~&~	~&~'04'~&~	~&~]RECORD
RECORD[~&~	~&~'BA'~&~	~&~'LIAB'~&~	~&~'014F3DAF738DA448E043814FD28EA448'~&~	~&~'1'~&~	~&~'LIABILITIES'~&~	~&~'LIABILITIES'~&~	~&~'Y'~&~	~&~'17'~&~	~&~]RECORD
