HEADER[~&~	~&~FIN_COA_CD::VARCHAR~&~	~&~ORG_CD::VARCHAR~&~	~&~OBJ_ID::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~DESCRSHORT::VARCHAR~&~	~&~COMPANY::VARCHAR~&~	~&~SETID_LOCATION::VARCHAR~&~	~&~LOCATION::VARCHAR~&~	~&~TAX_LOCATION_CD::VARCHAR~&~	~&~MANAGER_UNVL_ID::VARCHAR~&~	~&~MANAGER_POSN::VARCHAR~&~	~&~BUDGET_YR_END_DT::DECIMAL~&~	~&~BUDGET_LVL::VARCHAR~&~	~&~GL_EXPENSE::VARCHAR~&~	~&~EEO4_FUNCTION::VARCHAR~&~	~&~ACCIDENT_INS::VARCHAR~&~	~&~SI_ACCIDENT_NUM::VARCHAR~&~	~&~HAZARD::VARCHAR~&~	~&~ESTABID::VARCHAR~&~	~&~RISKCD::VARCHAR~&~	~&~FTE_EDIT_INDC::VARCHAR~&~	~&~DEPT_TENURE_FLG::VARCHAR~&~	~&~TL_DISTRIB_INFO::VARCHAR~&~	~&~USE_BUDGETS::VARCHAR~&~	~&~USE_ENCUMBRANCES::VARCHAR~&~	~&~USE_DISTRIBUTION::VARCHAR~&~	~&~BUDGET_DEPTID::VARCHAR~&~	~&~DIST_PRORATE_OPTN::VARCHAR~&~	~&~HP_STATS_DEPT_CD::VARCHAR~&~	~&~HP_STATS_FACULTY::VARCHAR~&~	~&~ACCOUNTING_OWNER::VARCHAR~&~	~&~COUNTRY_GRP::VARCHAR~&~	~&~IU_ORG_MAIL_DRP_CD::VARCHAR~&~	~&~IU_ORG_ADDRESS_2::VARCHAR~&~	~&~IU_ORG_ADDRESS_3::VARCHAR~&~	~&~IU_CAMPUS_CD::VARCHAR~&~	~&~IU_CAMPUS_BLDG::VARCHAR~&~	~&~IU_CAMPUS_ROOM::VARCHAR~&~	~&~IU_POSN_ALLOW_FL::VARCHAR~&~	~&~IU_TENURE_ALLOW_FL::VARCHAR~&~	~&~IU_TITLE_ALLOW_FL::VARCHAR~&~	~&~IU_OCC_UN_ALLOW_FL::VARCHAR~&~	~&~ORG_FSCL_APRVR_UID::VARCHAR~&~	~&~LAST_UPDATE_DATE::TIMESTAMP~&~	~&~]HEADER
RECORD[~&~	~&~'BA'~&~	~&~'ASDR'~&~	~&~'11400DC3F385041EE043814FD881041E'~&~	~&~'1'~&~	~&~'BA-ASDR'~&~	~&~'IU'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'BL'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'1057554000000'~&~	~&~]RECORD
RECORD[~&~	~&~'BA'~&~	~&~'AUTM'~&~	~&~'11400DC3EE36041EE043814FD881041E'~&~	~&~'1'~&~	~&~'BA-AUTM'~&~	~&~'IU'~&~	~&~'IUBLA'~&~	~&~'BL'~&~	~&~'BL'~&~	~&~'2642509031'~&~	~&~NULL~&~	~&~'630'~&~	~&~'D'~&~	~&~NULL~&~	~&~'15'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'IU'~&~	~&~NULL~&~	~&~'N'~&~	~&~'N'~&~	~&~'N'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'BA-AUTM'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'BL'~&~	~&~NULL~&~	~&~NULL~&~	~&~'Y'~&~	~&~'N'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~'2642509031'~&~	~&~'1092200400000'~&~	~&~]RECORD
RECORD[~&~	~&~'BA'~&~	~&~'BHDR'~&~	~&~'11400DC3F391041EE043814FD881041E'~&~	~&~'1'~&~	~&~'BA-BHDR'~&~	~&~'IU'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'BL'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'1063861200000'~&~	~&~]RECORD
RECORD[~&~	~&~'BA'~&~	~&~'BKST'~&~	~&~'11400DC3EE37041EE043814FD881041E'~&~	~&~'1'~&~	~&~'BA-BKST'~&~	~&~'IU'~&~	~&~'IUBLA'~&~	~&~'BL'~&~	~&~'BL'~&~	~&~'3246604444'~&~	~&~NULL~&~	~&~'630'~&~	~&~'D'~&~	~&~NULL~&~	~&~'15'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'IU'~&~	~&~NULL~&~	~&~'N'~&~	~&~'N'~&~	~&~'N'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'BA-BKST'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'BL'~&~	~&~NULL~&~	~&~NULL~&~	~&~'Y'~&~	~&~'N'~&~	~&~'N'~&~	~&~'Y'~&~	~&~'6219307217'~&~	~&~'1107147600000'~&~	~&~]RECORD
RECORD[~&~	~&~'BA'~&~	~&~'BRAD'~&~	~&~'11400DC3EE38041EE043814FD881041E'~&~	~&~'1'~&~	~&~'BA-BRAD'~&~	~&~'IU'~&~	~&~'IUBLA'~&~	~&~'BL'~&~	~&~'BL'~&~	~&~'4507204997'~&~	~&~NULL~&~	~&~'630'~&~	~&~'D'~&~	~&~NULL~&~	~&~'15'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'IU'~&~	~&~NULL~&~	~&~'N'~&~	~&~'N'~&~	~&~'N'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'BA-BRAD'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'BRADFORD WOODS'~&~	~&~NULL~&~	~&~'BL'~&~	~&~NULL~&~	~&~NULL~&~	~&~'Y'~&~	~&~'N'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~'5009908085'~&~	~&~'1101963600000'~&~	~&~]RECORD
RECORD[~&~	~&~'BA'~&~	~&~'BRFD'~&~	~&~'11400DC3F387041EE043814FD881041E'~&~	~&~'1'~&~	~&~'BA-BRFD'~&~	~&~'IU'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'BL'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'1057554000000'~&~	~&~]RECORD
RECORD[~&~	~&~'BA'~&~	~&~'BUSS'~&~	~&~'11400DC3F376041EE043814FD881041E'~&~	~&~'1'~&~	~&~'BA-BUSS'~&~	~&~'IU'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'5598104606'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'BL'~&~	~&~NULL~&~	~&~NULL~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~'Y'~&~	~&~'5598104606'~&~	~&~'1065675600000'~&~	~&~]RECORD
RECORD[~&~	~&~'BA'~&~	~&~'CAGE'~&~	~&~'11400DC3F367041EE043814FD881041E'~&~	~&~'1'~&~	~&~'BA-CAGE'~&~	~&~'IU'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'BL'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'1048136400000'~&~	~&~]RECORD
RECORD[~&~	~&~'BA'~&~	~&~'CARD'~&~	~&~'11400DC3F3A5041EE043814FD881041E'~&~	~&~'1'~&~	~&~'BA-CARD'~&~	~&~'IU'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'BL'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'1073365200000'~&~	~&~]RECORD
RECORD[~&~	~&~'BA'~&~	~&~'CONF'~&~	~&~'11400DC3EE39041EE043814FD881041E'~&~	~&~'1'~&~	~&~'BA-CONF'~&~	~&~'IU'~&~	~&~'IUBLA'~&~	~&~'BL'~&~	~&~'BL'~&~	~&~'5384207659'~&~	~&~NULL~&~	~&~'630'~&~	~&~'D'~&~	~&~NULL~&~	~&~'15'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'IU'~&~	~&~NULL~&~	~&~'N'~&~	~&~'N'~&~	~&~'N'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'BA-CONF'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'BL'~&~	~&~NULL~&~	~&~NULL~&~	~&~'Y'~&~	~&~'N'~&~	~&~'N'~&~	~&~'Y'~&~	~&~'1701107778'~&~	~&~'1092114000000'~&~	~&~]RECORD
