HEADER[~&~	~&~UNIV_FISCAL_YR::DECIMAL~&~	~&~FIN_COA_CD::VARCHAR~&~	~&~ORG_CD::VARCHAR~&~	~&~ORG_RVRSN_CTGRY_CD::VARCHAR~&~	~&~OBJ_ID::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~ORG_RVRSN_CD::VARCHAR~&~	~&~ORG_RVRSN_OBJ_CD::VARCHAR~&~	~&~ACTV_IND::VARCHAR~&~	~&~]HEADER
RECORD[~&~	~&~'2009'~&~	~&~'BL'~&~	~&~'BUDG'~&~	~&~'C01'~&~	~&~'F21A85C2-61AE-C04D-52E7-6C87032B9E16'~&~	~&~'2'~&~	~&~'R2'~&~	~&~'7277'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BL'~&~	~&~'BUDG'~&~	~&~'C02'~&~	~&~'62D311DE-36B6-2DBA-E51B-53BCB2BCA7C5'~&~	~&~'2'~&~	~&~'R2'~&~	~&~'7277'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BL'~&~	~&~'BUDG'~&~	~&~'C03'~&~	~&~'959E3335-E09C-06A8-2162-4D9CA0E4B61B'~&~	~&~'2'~&~	~&~'R2'~&~	~&~'7277'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BL'~&~	~&~'BUDG'~&~	~&~'C04'~&~	~&~'99F02F1D-EDDE-2807-9661-4D156A7597C1'~&~	~&~'2'~&~	~&~'R2'~&~	~&~'7277'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BL'~&~	~&~'BUDG'~&~	~&~'C05'~&~	~&~'6CA99494-2BFC-C9D3-A63F-C8F9EC725A5E'~&~	~&~'2'~&~	~&~'R2'~&~	~&~'7277'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BL'~&~	~&~'BUDG'~&~	~&~'C06'~&~	~&~'67DFFFAE-518B-3AE5-D24D-AD196A5A2888'~&~	~&~'2'~&~	~&~'R2'~&~	~&~'7277'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BL'~&~	~&~'BUDG'~&~	~&~'C07'~&~	~&~'E29F2CEC-8EC4-43F9-FA4A-2B25DF12A87F'~&~	~&~'2'~&~	~&~'R2'~&~	~&~'7277'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BL'~&~	~&~'BUDG'~&~	~&~'C08'~&~	~&~'16054869-2136-2702-8490-EAFB7D3D12D6'~&~	~&~'2'~&~	~&~'R2'~&~	~&~'7277'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BL'~&~	~&~'BUDG'~&~	~&~'C09'~&~	~&~'71ABC231-B4CD-AC54-D026-A511E40B0914'~&~	~&~'2'~&~	~&~'R2'~&~	~&~'7277'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BL'~&~	~&~'BUDG'~&~	~&~'C10'~&~	~&~'B70BC4E7-D4C8-D9D8-C2BD-97600ED97AB5'~&~	~&~'2'~&~	~&~'R2'~&~	~&~'7277'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BL'~&~	~&~'BUDG'~&~	~&~'C11'~&~	~&~'9E79AAA1-65C5-DDCE-9ACD-F62F2352BAB8'~&~	~&~'2'~&~	~&~'R2'~&~	~&~'7277'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BL'~&~	~&~'PSY'~&~	~&~'C01'~&~	~&~'BCA1CC24-2805-CF62-1A0B-C51DAB328A7E'~&~	~&~'2'~&~	~&~'N2'~&~	~&~'3000'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BL'~&~	~&~'PSY'~&~	~&~'C02'~&~	~&~'8EAE0E77-88FE-1A2A-EE6F-427659CCE96A'~&~	~&~'2'~&~	~&~'R2'~&~	~&~'7277'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BL'~&~	~&~'PSY'~&~	~&~'C03'~&~	~&~'C14C2B2E-B134-CDE7-E2B2-85D811223685'~&~	~&~'2'~&~	~&~'N1'~&~	~&~'5800'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BL'~&~	~&~'PSY'~&~	~&~'C04'~&~	~&~'531009D4-A855-6C97-EABD-150378A9AE1F'~&~	~&~'2'~&~	~&~'N1'~&~	~&~'7000'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BL'~&~	~&~'PSY'~&~	~&~'C05'~&~	~&~'752D6AE4-FE9D-5A34-6462-95299A1C0C2D'~&~	~&~'2'~&~	~&~'N1'~&~	~&~'7900'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BL'~&~	~&~'PSY'~&~	~&~'C06'~&~	~&~'38E753B3-DADF-1E84-0AC3-E7BEAEAB17A1'~&~	~&~'2'~&~	~&~'R2'~&~	~&~'5199'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BL'~&~	~&~'PSY'~&~	~&~'C07'~&~	~&~'89FE01C1-AAB2-0ED7-C9DF-0B3E75D8D34D'~&~	~&~'2'~&~	~&~'R2'~&~	~&~'1699'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BL'~&~	~&~'PSY'~&~	~&~'C08'~&~	~&~'79BE6A9A-0FC5-EB4F-EB84-1E5D169AA9B5'~&~	~&~'2'~&~	~&~'N1'~&~	~&~'6000'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BL'~&~	~&~'PSY'~&~	~&~'C09'~&~	~&~'6A8D7AEE-BFF5-6178-509E-07FD92A80349'~&~	~&~'2'~&~	~&~'N1'~&~	~&~'5000'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BL'~&~	~&~'PSY'~&~	~&~'C10'~&~	~&~'0DEB8246-9021-AC1A-287A-DBE31272898D'~&~	~&~'2'~&~	~&~'N1'~&~	~&~'7900'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BL'~&~	~&~'PSY'~&~	~&~'C11'~&~	~&~'D59F8393-D2CF-4424-5637-A91E89EDB9FF'~&~	~&~'2'~&~	~&~'R2'~&~	~&~'1800'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'EA'~&~	~&~'AADV'~&~	~&~'C01'~&~	~&~'0E65075B-C841-C0F8-85C4-7D379AB1BAA6'~&~	~&~'2'~&~	~&~'R2'~&~	~&~'3000'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'EA'~&~	~&~'AADV'~&~	~&~'C03'~&~	~&~'073D1232-6D07-2206-94B0-2CE374DB6F83'~&~	~&~'2'~&~	~&~'R2'~&~	~&~'5880'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'EA'~&~	~&~'AADV'~&~	~&~'C04'~&~	~&~'E5888E4B-385C-F308-58D4-5F6D2DF0A462'~&~	~&~'2'~&~	~&~'R1'~&~	~&~'7000'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'EA'~&~	~&~'AADV'~&~	~&~'C05'~&~	~&~'70D16FF9-A5E7-05D1-34D2-F40AD535620C'~&~	~&~'2'~&~	~&~'R2'~&~	~&~'7900'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'EA'~&~	~&~'AADV'~&~	~&~'C06'~&~	~&~'C826DAFD-3248-95F6-30C2-B482146D0659'~&~	~&~'2'~&~	~&~'R2'~&~	~&~'9900'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'EA'~&~	~&~'AADV'~&~	~&~'C07'~&~	~&~'790BB41C-6D43-5177-8D17-EBF2F365C0AD'~&~	~&~'2'~&~	~&~'R2'~&~	~&~'9915'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'EA'~&~	~&~'AADV'~&~	~&~'C08'~&~	~&~'C748E3E5-33A1-5ACC-04EB-8412047438DE'~&~	~&~'2'~&~	~&~'R1'~&~	~&~'6000'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'EA'~&~	~&~'AADV'~&~	~&~'C09'~&~	~&~'AEE329B0-05EF-C2C9-9DB1-F6E6A7D63D55'~&~	~&~'2'~&~	~&~'R1'~&~	~&~'5000'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'EA'~&~	~&~'AADV'~&~	~&~'C10'~&~	~&~'1AE68802-5651-82CD-3CF1-9CE166E5C03C'~&~	~&~'2'~&~	~&~'R2'~&~	~&~'7900'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'EA'~&~	~&~'AADV'~&~	~&~'C11'~&~	~&~'6DE1D6C1-7F1A-1DC4-E841-F597CB3C9A69'~&~	~&~'2'~&~	~&~'R2'~&~	~&~'1800'~&~	~&~'Y'~&~	~&~]RECORD
