HEADER[~&~	~&~FIN_COA_CD::VARCHAR~&~	~&~ACCOUNT_NBR::VARCHAR~&~	~&~OBJ_ID::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~ACCOUNT_NM::VARCHAR~&~	~&~ACCT_FSC_OFC_UID::VARCHAR~&~	~&~ACCT_SPVSR_UNVL_ID::VARCHAR~&~	~&~ACCT_MGR_UNVL_ID::VARCHAR~&~	~&~ORG_CD::VARCHAR~&~	~&~ACCT_TYP_CD::VARCHAR~&~	~&~ACCT_PHYS_CMP_CD::VARCHAR~&~	~&~SUB_FUND_GRP_CD::VARCHAR~&~	~&~ACCT_FRNG_BNFT_CD::VARCHAR~&~	~&~FIN_HGH_ED_FUNC_CD::VARCHAR~&~	~&~ACCT_RSTRC_STAT_CD::VARCHAR~&~	~&~ACCT_RSTRC_STAT_DT::TIMESTAMP~&~	~&~ACCT_CITY_NM::VARCHAR~&~	~&~ACCT_STATE_CD::VARCHAR~&~	~&~ACCT_STREET_ADDR::VARCHAR~&~	~&~ACCT_ZIP_CD::VARCHAR~&~	~&~RPTS_TO_FIN_COA_CD::VARCHAR~&~	~&~RPTS_TO_ACCT_NBR::VARCHAR~&~	~&~ACCT_CREATE_DT::TIMESTAMP~&~	~&~ACCT_EFFECT_DT::TIMESTAMP~&~	~&~ACCT_EXPIRATION_DT::TIMESTAMP~&~	~&~CONT_FIN_COA_CD::VARCHAR~&~	~&~CONT_ACCOUNT_NBR::VARCHAR~&~	~&~ENDOW_FIN_COA_CD::VARCHAR~&~	~&~ENDOW_ACCOUNT_NBR::VARCHAR~&~	~&~CONTR_CTRL_FCOA_CD::VARCHAR~&~	~&~CONTR_CTRLACCT_NBR::VARCHAR~&~	~&~INCOME_FIN_COA_CD::VARCHAR~&~	~&~INCOME_ACCOUNT_NBR::VARCHAR~&~	~&~ACCT_ICR_TYP_CD::VARCHAR~&~	~&~AC_CSTM_ICREXCL_CD::VARCHAR~&~	~&~FIN_SERIES_ID::VARCHAR~&~	~&~ICR_FIN_COA_CD::VARCHAR~&~	~&~ICR_ACCOUNT_NBR::VARCHAR~&~	~&~ACCT_IN_FP_CD::VARCHAR~&~	~&~BDGT_REC_LVL_CD::VARCHAR~&~	~&~ACCT_SF_CD::VARCHAR~&~	~&~ACCT_PND_SF_CD::VARCHAR~&~	~&~FIN_EXT_ENC_SF_CD::VARCHAR~&~	~&~FIN_INT_ENC_SF_CD::VARCHAR~&~	~&~FIN_PRE_ENC_SF_CD::VARCHAR~&~	~&~FIN_OBJ_PRSCTRL_CD::VARCHAR~&~	~&~CG_CFDA_NBR::VARCHAR~&~	~&~ACCT_OFF_CMP_IND::VARCHAR~&~	~&~ACCT_CLOSED_IND::VARCHAR~&~	~&~]HEADER
RECORD[~&~	~&~'BA'~&~	~&~'6044900'~&~	~&~'014C92B069D1A16EE043814FD881A16E'~&~	~&~'1'~&~	~&~'PARKING OPERATION'~&~	~&~'3771403079'~&~	~&~'4219606069'~&~	~&~'3771403079'~&~	~&~'PARK'~&~	~&~'RA'~&~	~&~'BL'~&~	~&~'AUXENT'~&~	~&~'Y'~&~	~&~'AUX'~&~	~&~'U'~&~	~&~NULL~&~	~&~'BLOOMINGTON'~&~	~&~'IN'~&~	~&~'Franklin Hall 006'~&~	~&~'47405'~&~	~&~'BL'~&~	~&~NULL~&~	~&~'205045200000'~&~	~&~'205045200000'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'BA'~&~	~&~'6044900'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'N'~&~	~&~'O'~&~	~&~'N'~&~	~&~'N'~&~	~&~'N'~&~	~&~'N'~&~	~&~'N'~&~	~&~'N'~&~	~&~NULL~&~	~&~'N'~&~	~&~'N'~&~	~&~]RECORD
RECORD[~&~	~&~'BA'~&~	~&~'6044901'~&~	~&~'014C92B069D2A16EE043814FD881A16E'~&~	~&~'1'~&~	~&~'PARKING OPERATION SUB'~&~	~&~'3771403079'~&~	~&~'4219606069'~&~	~&~'3771403079'~&~	~&~'PARK'~&~	~&~'RA'~&~	~&~'BL'~&~	~&~'AUXENT'~&~	~&~'Y'~&~	~&~'AUX'~&~	~&~'U'~&~	~&~NULL~&~	~&~'BLOOMINGTON'~&~	~&~'IN'~&~	~&~'FRANKLIN HALL 006'~&~	~&~'47405'~&~	~&~'BA'~&~	~&~'6044900'~&~	~&~'205045200000'~&~	~&~'205045200000'~&~	~&~'920264400000'~&~	~&~'BA'~&~	~&~'6044900'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'BA'~&~	~&~'6044901'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'N'~&~	~&~'O'~&~	~&~'N'~&~	~&~'N'~&~	~&~'N'~&~	~&~'N'~&~	~&~'N'~&~	~&~'N'~&~	~&~NULL~&~	~&~'N'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'BA'~&~	~&~'6044906'~&~	~&~'014C92B069D3A16EE043814FD881A16E'~&~	~&~'1'~&~	~&~'PARKING OPERATION ENFORCE'~&~	~&~'3771403079'~&~	~&~'4219606069'~&~	~&~'3771403079'~&~	~&~'PARK'~&~	~&~'RA'~&~	~&~'BL'~&~	~&~'AUXENT'~&~	~&~'Y'~&~	~&~'AUX'~&~	~&~'U'~&~	~&~NULL~&~	~&~'BLOOMINGTON'~&~	~&~'IN'~&~	~&~'Franklin Hall 006'~&~	~&~'47405'~&~	~&~'BL'~&~	~&~NULL~&~	~&~'274683600000'~&~	~&~'274683600000'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'BA'~&~	~&~'6044906'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'N'~&~	~&~'O'~&~	~&~'N'~&~	~&~'N'~&~	~&~'N'~&~	~&~'N'~&~	~&~'N'~&~	~&~'N'~&~	~&~NULL~&~	~&~'N'~&~	~&~'N'~&~	~&~]RECORD
RECORD[~&~	~&~'BA'~&~	~&~'6044909'~&~	~&~'014C92B069D4A16EE043814FD881A16E'~&~	~&~'1'~&~	~&~'PARKING-CAR POOL PROGRAM'~&~	~&~'3771403079'~&~	~&~'4219606069'~&~	~&~'3771403079'~&~	~&~'PARK'~&~	~&~'RA'~&~	~&~'BL'~&~	~&~'AUXENT'~&~	~&~'Y'~&~	~&~'AUX'~&~	~&~'U'~&~	~&~NULL~&~	~&~'BLOOMINGTON'~&~	~&~'IN'~&~	~&~'FRANKLIN HALL 006'~&~	~&~'47405'~&~	~&~'BL'~&~	~&~NULL~&~	~&~'756104400000'~&~	~&~'753512400000'~&~	~&~'1086584400000'~&~	~&~'BA'~&~	~&~'6044900'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'BA'~&~	~&~'6044909'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'N'~&~	~&~'O'~&~	~&~'N'~&~	~&~'N'~&~	~&~'N'~&~	~&~'N'~&~	~&~'N'~&~	~&~'N'~&~	~&~NULL~&~	~&~'N'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'BA'~&~	~&~'6044913'~&~	~&~'014C92B069D5A16EE043814FD881A16E'~&~	~&~'1'~&~	~&~'PARKING-4TH AND DUNN'~&~	~&~'3771403079'~&~	~&~'4219606069'~&~	~&~'3771403079'~&~	~&~'PARK'~&~	~&~'RA'~&~	~&~'BL'~&~	~&~'AUXENT'~&~	~&~'Y'~&~	~&~'AUX'~&~	~&~'U'~&~	~&~NULL~&~	~&~'BLOOMINGTON'~&~	~&~'IN'~&~	~&~'FRANKLIN HALL 006'~&~	~&~'47405'~&~	~&~'BL'~&~	~&~NULL~&~	~&~'680245200000'~&~	~&~'680245200000'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'BA'~&~	~&~'6044913'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'N'~&~	~&~'O'~&~	~&~'N'~&~	~&~'N'~&~	~&~'N'~&~	~&~'N'~&~	~&~'N'~&~	~&~'N'~&~	~&~NULL~&~	~&~'N'~&~	~&~'N'~&~	~&~]RECORD
RECORD[~&~	~&~'BA'~&~	~&~'9012025'~&~	~&~'014C92B06C07A16EE043814FD881A16E'~&~	~&~'1'~&~	~&~'BAND PRACTICE PARKING LOT IMPROVE'~&~	~&~'6090605470'~&~	~&~'3895100501'~&~	~&~'6090605470'~&~	~&~'PARK'~&~	~&~'NA'~&~	~&~'BL'~&~	~&~'PFCMR'~&~	~&~'Y'~&~	~&~'NA'~&~	~&~'U'~&~	~&~NULL~&~	~&~'BLOOMINGTON'~&~	~&~'IN'~&~	~&~'CARMICHAEL CENTER'~&~	~&~'47408'~&~	~&~NULL~&~	~&~NULL~&~	~&~'1053061200000'~&~	~&~'1053061200000'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'BA'~&~	~&~'9012025'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'N'~&~	~&~'O'~&~	~&~'N'~&~	~&~'N'~&~	~&~'N'~&~	~&~'N'~&~	~&~'N'~&~	~&~'N'~&~	~&~NULL~&~	~&~'N'~&~	~&~'N'~&~	~&~]RECORD
RECORD[~&~	~&~'BA'~&~	~&~'9019993'~&~	~&~'014C92B06C41A16EE043814FD881A16E'~&~	~&~'1'~&~	~&~'EIGENMAN HALL PARKING GARAGE'~&~	~&~'6090605470'~&~	~&~'3895100501'~&~	~&~'6090605470'~&~	~&~'PARK'~&~	~&~'NA'~&~	~&~'BL'~&~	~&~'PFCMR'~&~	~&~'Y'~&~	~&~'NA'~&~	~&~'N'~&~	~&~NULL~&~	~&~'BLOOMINGTON'~&~	~&~'IN'~&~	~&~'CARMICHAEL CENTER'~&~	~&~'47408'~&~	~&~NULL~&~	~&~NULL~&~	~&~'1106888400000'~&~	~&~'1106888400000'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'BA'~&~	~&~'9019993'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'N'~&~	~&~'O'~&~	~&~'N'~&~	~&~'N'~&~	~&~'N'~&~	~&~'N'~&~	~&~'N'~&~	~&~'N'~&~	~&~NULL~&~	~&~'N'~&~	~&~'N'~&~	~&~]RECORD
RECORD[~&~	~&~'BA'~&~	~&~'9019995'~&~	~&~'014C92B06C22A16EE043814FD881A16E'~&~	~&~'1'~&~	~&~'ASSEMBLY HALL SOUTH PARKING LOT'~&~	~&~'6090605470'~&~	~&~'3895100501'~&~	~&~'6090605470'~&~	~&~'PARK'~&~	~&~'NA'~&~	~&~'BL'~&~	~&~'PFCMR'~&~	~&~'Y'~&~	~&~'NA'~&~	~&~'U'~&~	~&~NULL~&~	~&~'BLOOMINGTON'~&~	~&~'IN'~&~	~&~'CARMICHAEL CENTER'~&~	~&~'47408'~&~	~&~NULL~&~	~&~NULL~&~	~&~'1076562000000'~&~	~&~'1076562000000'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'BA'~&~	~&~'9019995'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'N'~&~	~&~'O'~&~	~&~'N'~&~	~&~'N'~&~	~&~'N'~&~	~&~'N'~&~	~&~'N'~&~	~&~'N'~&~	~&~NULL~&~	~&~'N'~&~	~&~'N'~&~	~&~]RECORD
RECORD[~&~	~&~'BA'~&~	~&~'9019996'~&~	~&~'014C92B06C08A16EE043814FD881A16E'~&~	~&~'1'~&~	~&~'ALUMNI PARKING AREA IMPROVEMENTS'~&~	~&~'6090605470'~&~	~&~'3895100501'~&~	~&~'6090605470'~&~	~&~'PARK'~&~	~&~'NA'~&~	~&~'BL'~&~	~&~'PFCMR'~&~	~&~'Y'~&~	~&~'NA'~&~	~&~'U'~&~	~&~NULL~&~	~&~'BLOOMINGTON'~&~	~&~'IN'~&~	~&~'CARMICHAEL CENTER'~&~	~&~'47408'~&~	~&~NULL~&~	~&~NULL~&~	~&~'1055394000000'~&~	~&~'1055394000000'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'BA'~&~	~&~'9019996'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'N'~&~	~&~'O'~&~	~&~'N'~&~	~&~'N'~&~	~&~'N'~&~	~&~'N'~&~	~&~'N'~&~	~&~'N'~&~	~&~NULL~&~	~&~'N'~&~	~&~'N'~&~	~&~]RECORD
RECORD[~&~	~&~'BA'~&~	~&~'9020174'~&~	~&~'014C92B06BF6A16EE043814FD881A16E'~&~	~&~'1'~&~	~&~'CAMPUS PARKING LOTS RESTORATION'~&~	~&~'6090605470'~&~	~&~'3895100501'~&~	~&~'6090605470'~&~	~&~'PARK'~&~	~&~'NA'~&~	~&~'BL'~&~	~&~'PFCMR'~&~	~&~'Y'~&~	~&~'NA'~&~	~&~'U'~&~	~&~NULL~&~	~&~'BLOOMINGTON'~&~	~&~'IN'~&~	~&~'CARMICHAEL CENTER'~&~	~&~'47408'~&~	~&~NULL~&~	~&~NULL~&~	~&~'1040014800000'~&~	~&~'1040014800000'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'BA'~&~	~&~'9020174'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'N'~&~	~&~'O'~&~	~&~'N'~&~	~&~'N'~&~	~&~'N'~&~	~&~'N'~&~	~&~'N'~&~	~&~'N'~&~	~&~NULL~&~	~&~'N'~&~	~&~'N'~&~	~&~]RECORD
