HEADER[~&~	~&~FIN_COA_CD::VARCHAR~&~	~&~ORG_CD::VARCHAR~&~	~&~OBJ_ID::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~ORG_MGR_UNVL_ID::VARCHAR~&~	~&~ORG_NM::VARCHAR~&~	~&~RC_CD::VARCHAR~&~	~&~ORG_PHYS_CMP_CD::VARCHAR~&~	~&~ORG_TYP_CD::VARCHAR~&~	~&~ORG_DFLT_ACCT_NBR::VARCHAR~&~	~&~ORG_LN1_ADDR::VARCHAR~&~	~&~ORG_LN2_ADDR::VARCHAR~&~	~&~ORG_CITY_NM::VARCHAR~&~	~&~ORG_STATE_CD::VARCHAR~&~	~&~ORG_ZIP_CD::VARCHAR~&~	~&~ORG_CNTRY_CD::VARCHAR~&~	~&~ORG_BEGIN_DT::TIMESTAMP~&~	~&~ORG_END_DT::TIMESTAMP~&~	~&~RPTS_TO_FIN_COA_CD::VARCHAR~&~	~&~RPTS_TO_ORG_CD::VARCHAR~&~	~&~ORG_ACTIVE_CD::VARCHAR~&~	~&~ORG_IN_FP_CD::VARCHAR~&~	~&~ORG_PLNT_ACCT_NBR::VARCHAR~&~	~&~CMP_PLNT_ACCT_NBR::VARCHAR~&~	~&~ORG_PLNT_COA_CD::VARCHAR~&~	~&~CMP_PLNT_COA_CD::VARCHAR~&~	~&~]HEADER
RECORD[~&~	~&~'BA'~&~	~&~'ABDR'~&~	~&~'014F3DAF755AA448E043814FD28EA448'~&~	~&~'1'~&~	~&~'4075208273'~&~	~&~'AMBROSIA CATERING'~&~	~&~'80'~&~	~&~'BL'~&~	~&~'O'~&~	~&~'6030824'~&~	~&~'801 N. JORDAN'~&~	~&~NULL~&~	~&~'BLOOMINGTON'~&~	~&~'IN'~&~	~&~'47405'~&~	~&~'US'~&~	~&~'209802060000000000'~&~	~&~'200210150000000000'~&~	~&~'BA'~&~	~&~'CAFE'~&~	~&~'N'~&~	~&~'N'~&~	~&~'9530824'~&~	~&~'9530824'~&~	~&~'BA'~&~	~&~'BA'~&~	~&~]RECORD
RECORD[~&~	~&~'BA'~&~	~&~'ACAC'~&~	~&~'014F3DAF755BA448E043814FD28EA448'~&~	~&~'1'~&~	~&~'4075208273'~&~	~&~'RPAS ACADEMIC SUPPORT'~&~	~&~'80'~&~	~&~'BL'~&~	~&~'O'~&~	~&~'6047500'~&~	~&~'801 N. JORDAN AVE.'~&~	~&~NULL~&~	~&~'BLOOMINGTON'~&~	~&~'IN'~&~	~&~'47405'~&~	~&~'US'~&~	~&~'200004170000000000'~&~	~&~NULL~&~	~&~'BA'~&~	~&~'PRGE'~&~	~&~'Y'~&~	~&~'N'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'BA'~&~	~&~'ACPR'~&~	~&~'014F3DAF755CA448E043814FD28EA448'~&~	~&~'1'~&~	~&~'3584609748'~&~	~&~'ACADEMIC PROGRAMS'~&~	~&~'80'~&~	~&~'BL'~&~	~&~'O'~&~	~&~'6047500'~&~	~&~'801 N. JORDAN'~&~	~&~NULL~&~	~&~'BLOOMINGTON'~&~	~&~'IN'~&~	~&~'47405'~&~	~&~'US'~&~	~&~'200209190000000000'~&~	~&~NULL~&~	~&~'BA'~&~	~&~'ACAC'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'9547500'~&~	~&~'9547500'~&~	~&~'BA'~&~	~&~'BA'~&~	~&~]RECORD
RECORD[~&~	~&~'BA'~&~	~&~'ACSH'~&~	~&~'014F3DAF755DA448E043814FD28EA448'~&~	~&~'1'~&~	~&~'4075208273'~&~	~&~'ASHTON CENTER'~&~	~&~'80'~&~	~&~'BL'~&~	~&~'O'~&~	~&~'6030533'~&~	~&~'801 N. JORDAN AVE.'~&~	~&~NULL~&~	~&~'BLOOMINGTON'~&~	~&~'IN'~&~	~&~'47405'~&~	~&~'US'~&~	~&~'209904060000000000'~&~	~&~NULL~&~	~&~'BA'~&~	~&~'HOUS'~&~	~&~'Y'~&~	~&~'N'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'BA'~&~	~&~'ACSS'~&~	~&~'014F3DAF8052A448E043814FD28EA448'~&~	~&~'1'~&~	~&~'5653408083'~&~	~&~'ACCESS SERVICES'~&~	~&~'80'~&~	~&~'BL'~&~	~&~'O'~&~	~&~'6026000'~&~	~&~'2715 E. 10TH'~&~	~&~NULL~&~	~&~'BLOOMINGTON'~&~	~&~'IN'~&~	~&~'47405'~&~	~&~'US'~&~	~&~'200108070000000000'~&~	~&~NULL~&~	~&~'BA'~&~	~&~'BKST'~&~	~&~'Y'~&~	~&~'N'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'BA'~&~	~&~'ADAC'~&~	~&~'014F3DAF755EA448E043814FD28EA448'~&~	~&~'1'~&~	~&~'4075208273'~&~	~&~'RPAS THOMAS I ATKINS CENTER'~&~	~&~'80'~&~	~&~'BL'~&~	~&~'O'~&~	~&~'6031227'~&~	~&~'801 N. JORDAN'~&~	~&~NULL~&~	~&~'BLOOMINGTON'~&~	~&~'IN'~&~	~&~'47405'~&~	~&~'US'~&~	~&~'209802060000000000'~&~	~&~'200210150000000000'~&~	~&~'BA'~&~	~&~'ACAC'~&~	~&~'N'~&~	~&~'N'~&~	~&~'9547504'~&~	~&~'9547504'~&~	~&~'BA'~&~	~&~'BA'~&~	~&~]RECORD
RECORD[~&~	~&~'BA'~&~	~&~'ADAF'~&~	~&~'014F3DAF755FA448E043814FD28EA448'~&~	~&~'1'~&~	~&~'2539200452'~&~	~&~'ADMINISTRATIVE AFFAIRS - BLOOMINGTON'~&~	~&~'80'~&~	~&~'BL'~&~	~&~'O'~&~	~&~'6020000'~&~	~&~'801 N. JORDAN AVE.'~&~	~&~NULL~&~	~&~'BLOOMINGTON'~&~	~&~'IN'~&~	~&~'47405'~&~	~&~'US'~&~	~&~'200002100000000000'~&~	~&~NULL~&~	~&~'BL'~&~	~&~'DBFA'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'9521500'~&~	~&~'9521500'~&~	~&~'BA'~&~	~&~'BA'~&~	~&~]RECORD
RECORD[~&~	~&~'BA'~&~	~&~'ADAH'~&~	~&~'014F3DAF7560A448E043814FD28EA448'~&~	~&~'1'~&~	~&~'3584609748'~&~	~&~'APARTMENT HOUSING ADMINISTRATION'~&~	~&~'80'~&~	~&~'BL'~&~	~&~'O'~&~	~&~'6033000'~&~	~&~'801 N. JORDAN'~&~	~&~NULL~&~	~&~'BLOOMINGTON'~&~	~&~'IN'~&~	~&~'47405'~&~	~&~'US'~&~	~&~'200209190000000000'~&~	~&~NULL~&~	~&~'BA'~&~	~&~'APTS'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'9530700'~&~	~&~'9530700'~&~	~&~'BA'~&~	~&~'BA'~&~	~&~]RECORD
RECORD[~&~	~&~'BA'~&~	~&~'ADAO'~&~	~&~'014F3DAF7561A448E043814FD28EA448'~&~	~&~'1'~&~	~&~'2539200452'~&~	~&~'ADMINISTRATIVE AFFAIRS - BLMGTN OPERATIN'~&~	~&~'80'~&~	~&~'BL'~&~	~&~'O'~&~	~&~'6020000'~&~	~&~'801 N. JORDAN AVE.'~&~	~&~NULL~&~	~&~'BLOOMINGTON'~&~	~&~'IN'~&~	~&~'47405'~&~	~&~'US'~&~	~&~'200002110000000000'~&~	~&~NULL~&~	~&~'BA'~&~	~&~'ADAF'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'9521500'~&~	~&~'9521500'~&~	~&~'BA'~&~	~&~'BA'~&~	~&~]RECORD
RECORD[~&~	~&~'BA'~&~	~&~'ADFE'~&~	~&~'014F3DAF7562A448E043814FD28EA448'~&~	~&~'1'~&~	~&~'3584609748'~&~	~&~'DINING HALLS ADMINISTRATION'~&~	~&~'80'~&~	~&~'BL'~&~	~&~'O'~&~	~&~'6032529'~&~	~&~'801 N. JORDAN'~&~	~&~NULL~&~	~&~'BLOOMINGTON'~&~	~&~'IN'~&~	~&~'47405'~&~	~&~'US'~&~	~&~'200209190000000000'~&~	~&~NULL~&~	~&~'BA'~&~	~&~'CAFE'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'9530400'~&~	~&~'9530400'~&~	~&~'BA'~&~	~&~'BA'~&~	~&~]RECORD
