HEADER[~&~	~&~SUB_FUND_GRP_CD::VARCHAR~&~	~&~OBJ_ID::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~FUND_GRP_CD::VARCHAR~&~	~&~SUB_FUND_GRP_DESC::VARCHAR~&~	~&~SUBFUNDGRP_ACTV_CD::VARCHAR~&~	~&~SUB_FUNDGRP_TYP_CD::VARCHAR~&~	~&~FIN_REPORT_SORT_CD::VARCHAR~&~	~&~SUB_FUND_GRP_WAGE_IND::VARCHAR~&~	~&~FND_GRP_BA_RSTR_LVL_CD::VARCHAR~&~	~&~ACCT_RSTRC_STAT_CD::VARCHAR~&~	~&~]HEADER
RECORD[~&~	~&~'AUXAMB'~&~	~&~'015D880780746C10E043814FD8816C10'~&~	~&~'1'~&~	~&~'AE'~&~	~&~'AUXILIARY AMBULATORY SERVICES'~&~	~&~'Y'~&~	~&~'A'~&~	~&~'21'~&~	~&~'Y'~&~	~&~'N'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'AUXCOM'~&~	~&~'015D880780756C10E043814FD8816C10'~&~	~&~'1'~&~	~&~'AE'~&~	~&~'AUXILIARY COMPUTER SERVICES'~&~	~&~'Y'~&~	~&~'I'~&~	~&~'23'~&~	~&~'Y'~&~	~&~'N'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'AUXHOS'~&~	~&~'015D880780776C10E043814FD8816C10'~&~	~&~'1'~&~	~&~'AE'~&~	~&~'AUXILIARY HOSPITALS'~&~	~&~'Y'~&~	~&~'A'~&~	~&~'22'~&~	~&~'Y'~&~	~&~'N'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'AUXSER'~&~	~&~'015D880780786C10E043814FD8816C10'~&~	~&~'1'~&~	~&~'AE'~&~	~&~'AUXILIARY SERVICE FUNDS'~&~	~&~'Y'~&~	~&~'I'~&~	~&~'24'~&~	~&~'Y'~&~	~&~'N'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'COMMEB'~&~	~&~'015D8807807B6C10E043814FD8816C10'~&~	~&~'1'~&~	~&~'CG'~&~	~&~'COMMERCIAL/FOR PROFIT'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'15'~&~	~&~'Y'~&~	~&~'N'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'COMMEC'~&~	~&~'015D8807807C6C10E043814FD8816C10'~&~	~&~'1'~&~	~&~'CG'~&~	~&~'COMMERCIAL/FOR PROFIT'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'15'~&~	~&~'Y'~&~	~&~'N'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'COMMED'~&~	~&~'015D8807807D6C10E043814FD8816C10'~&~	~&~'1'~&~	~&~'CG'~&~	~&~'COMMERCIAL/FOR PROFIT'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'15'~&~	~&~'Y'~&~	~&~'N'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'COMMEE'~&~	~&~'015D8807807E6C10E043814FD8816C10'~&~	~&~'1'~&~	~&~'CG'~&~	~&~'COMMERCIAL/FOR PROFIT'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'15'~&~	~&~'Y'~&~	~&~'N'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'COMMEF'~&~	~&~'015D8807807F6C10E043814FD8816C10'~&~	~&~'1'~&~	~&~'CG'~&~	~&~'COMMERCIAL/FOR PROFIT'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'15'~&~	~&~'Y'~&~	~&~'N'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'COMMEG'~&~	~&~'015D880780806C10E043814FD8816C10'~&~	~&~'1'~&~	~&~'CG'~&~	~&~'COMMERCIAL/FOR PROFIT'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'15'~&~	~&~'Y'~&~	~&~'N'~&~	~&~NULL~&~	~&~]RECORD
