HEADER[~&~	~&~UNIV_FISCAL_YR::DECIMAL~&~	~&~FIN_COA_CD::VARCHAR~&~	~&~ACCOUNT_NBR::VARCHAR~&~	~&~FIN_OBJECT_CD::VARCHAR~&~	~&~FIN_SUB_OBJ_CD::VARCHAR~&~	~&~OBJ_ID::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~FIN_SUB_OBJ_CD_NM::VARCHAR~&~	~&~FIN_SUBOBJ_SHRT_NM::VARCHAR~&~	~&~FIN_SUBOBJ_ACTV_CD::VARCHAR~&~	~&~]HEADER
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'6044900'~&~	~&~'1466'~&~	~&~'001'~&~	~&~'E063099E-4332-B43D-35CC-6231743502F6'~&~	~&~'1'~&~	~&~'employee parking decal'~&~	~&~'employ park'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'6044900'~&~	~&~'1598'~&~	~&~'RE'~&~	~&~'0B579372-681C-140F-0FC2-1CBA3AD3826D'~&~	~&~'1'~&~	~&~'REGISTER ERROR'~&~	~&~'REGISTER ERR'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'6044900'~&~	~&~'1598'~&~	~&~'RV'~&~	~&~'5958E92A-3C93-482D-219D-0BFE889F8A4C'~&~	~&~'1'~&~	~&~'REVERSE TRANSACTIONS'~&~	~&~'REVERSETRANS'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'6044900'~&~	~&~'1599'~&~	~&~'BLT'~&~	~&~'2D569F32-AC56-A6ED-5CD1-E21E90E6CFCD'~&~	~&~'1'~&~	~&~'BROOKE TODD CASH DRAWER'~&~	~&~'BLT CASH DWR'~&~	~&~'N'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'6044900'~&~	~&~'1599'~&~	~&~'D'~&~	~&~'DD7D916A-99C0-EC33-F95B-944FD71859FC'~&~	~&~'1'~&~	~&~'RSP D PERMIT'~&~	~&~'RSP D Permit'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'6044900'~&~	~&~'1599'~&~	~&~'DLK'~&~	~&~'287DC431-AE90-84BA-6F06-3FF797E35D9D'~&~	~&~'1'~&~	~&~'DANIELLE KEENE CASH DRAWER'~&~	~&~'DLK CASH DWR'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'6044900'~&~	~&~'1599'~&~	~&~'JLS'~&~	~&~'F5C145DA-F8C4-34EC-F1D2-ACE9CC23B09A'~&~	~&~'1'~&~	~&~'JENNIFER SMITH CASH DRAWER'~&~	~&~'JLS CASH DWR'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'6044900'~&~	~&~'1599'~&~	~&~'KAB'~&~	~&~'5FDFDF56-D092-3AC8-76E1-6DB737886D5D'~&~	~&~'1'~&~	~&~'KRISTEN BRAWTHEN CASH DRAWER'~&~	~&~'KAB CASH DWR'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'6044900'~&~	~&~'1599'~&~	~&~'KJT'~&~	~&~'B11F36E1-9952-B13E-A627-D95153583C4C'~&~	~&~'1'~&~	~&~'KAMI TAYLOR CASH DRAWER'~&~	~&~'KJT CASH DWR'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'6044900'~&~	~&~'1599'~&~	~&~'KSR'~&~	~&~'B85E9A05-EE41-0F88-8950-7B8E26A005DE'~&~	~&~'1'~&~	~&~'KAREN RUCKREIGAL CASH DRAWER'~&~	~&~'KSR CASH DWR'~&~	~&~'N'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'6044900'~&~	~&~'1599'~&~	~&~'LCC'~&~	~&~'0CDC7D1D-F7B8-479E-CD77-D7AA52F3B9F8'~&~	~&~'1'~&~	~&~'LINDA COLEMAN CASH DRAWER'~&~	~&~'LCC CASH DWR'~&~	~&~'N'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'6044900'~&~	~&~'1599'~&~	~&~'LCD'~&~	~&~'6CFDA3FA-5E95-FF51-BCC4-2693BF5D1EF7'~&~	~&~'1'~&~	~&~'LINDA DAVIS CASH DRAWER'~&~	~&~'LCD CASH DWR'~&~	~&~'N'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'6044900'~&~	~&~'1599'~&~	~&~'LLB'~&~	~&~'1D22DDD5-F57A-A4F1-1AEF-61B17D30BF65'~&~	~&~'1'~&~	~&~'LORI BEASLEY CASH DRAWER'~&~	~&~'LLB CASH DWR'~&~	~&~'N'~&~	~&~]RECORD
