HEADER[~&~	~&~FDOC_NBR::VARCHAR~&~	~&~FDOC_TYP_CD::VARCHAR~&~	~&~OBJ_ID::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~FDOC_50_CENT_AMT::DECIMAL~&~	~&~FDOC_25_CENT_AMT::DECIMAL~&~	~&~FDOC_10_CENT_AMT::DECIMAL~&~	~&~FDOC_5_CENT_AMT::DECIMAL~&~	~&~FDOC_1_CENT_AMT::DECIMAL~&~	~&~FDOC_OTHR_CENT_AMT::DECIMAL~&~	~&~FDOC_100_CENT_AMT::DECIMAL~&~	~&~CSHR_STAT_CD::VARCHAR~&~	~&~]HEADER
RECORD[~&~	~&~'AA4870404'~&~	~&~'CD'~&~	~&~'14034DEF1D8A4D8CE043814FD8814D8C'~&~	~&~'1'~&~	~&~NULL~&~	~&~'1.50'~&~	~&~'3.40'~&~	~&~'0.90'~&~	~&~'0.17'~&~	~&~NULL~&~	~&~'1.00'~&~	~&~'X'~&~	~&~]RECORD
RECORD[~&~	~&~'AA4870404'~&~	~&~'CR'~&~	~&~'14034DEF1D8B4D8CE043814FD8814D8C'~&~	~&~'1'~&~	~&~NULL~&~	~&~'1.50'~&~	~&~'3.40'~&~	~&~'0.90'~&~	~&~'0.17'~&~	~&~NULL~&~	~&~'1.00'~&~	~&~'R'~&~	~&~]RECORD
RECORD[~&~	~&~'AB2632004'~&~	~&~'CD'~&~	~&~'14034DEF18CE4D8CE043814FD8814D8C'~&~	~&~'1'~&~	~&~NULL~&~	~&~'1.00'~&~	~&~'0.80'~&~	~&~'0.35'~&~	~&~'0.10'~&~	~&~NULL~&~	~&~'2.00'~&~	~&~'X'~&~	~&~]RECORD
RECORD[~&~	~&~'AB2632004'~&~	~&~'CR'~&~	~&~'14034DEF18CF4D8CE043814FD8814D8C'~&~	~&~'1'~&~	~&~NULL~&~	~&~'1.00'~&~	~&~'0.80'~&~	~&~'0.35'~&~	~&~'0.10'~&~	~&~NULL~&~	~&~'2.00'~&~	~&~'R'~&~	~&~]RECORD
RECORD[~&~	~&~'AC1322404'~&~	~&~'CD'~&~	~&~'14034DEF1CB24D8CE043814FD8814D8C'~&~	~&~'1'~&~	~&~NULL~&~	~&~'11.50'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'X'~&~	~&~]RECORD
RECORD[~&~	~&~'AC1322404'~&~	~&~'CR'~&~	~&~'14034DEF1CB34D8CE043814FD8814D8C'~&~	~&~'1'~&~	~&~NULL~&~	~&~'11.50'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'R'~&~	~&~]RECORD
RECORD[~&~	~&~'AD6131804'~&~	~&~'CD'~&~	~&~'14034DEF1F2C4D8CE043814FD8814D8C'~&~	~&~'1'~&~	~&~NULL~&~	~&~'0.25'~&~	~&~'2.60'~&~	~&~'0.60'~&~	~&~'0.04'~&~	~&~NULL~&~	~&~NULL~&~	~&~'X'~&~	~&~]RECORD
RECORD[~&~	~&~'AD6131804'~&~	~&~'CR'~&~	~&~'14034DEF1F2D4D8CE043814FD8814D8C'~&~	~&~'1'~&~	~&~NULL~&~	~&~'0.25'~&~	~&~'2.60'~&~	~&~'0.60'~&~	~&~'0.04'~&~	~&~NULL~&~	~&~NULL~&~	~&~'R'~&~	~&~]RECORD
RECORD[~&~	~&~'AD6868604'~&~	~&~'CD'~&~	~&~'14034DEF17BA4D8CE043814FD8814D8C'~&~	~&~'1'~&~	~&~NULL~&~	~&~'1.00'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'X'~&~	~&~]RECORD
RECORD[~&~	~&~'AD6868604'~&~	~&~'CR'~&~	~&~'14034DEF17BB4D8CE043814FD8814D8C'~&~	~&~'1'~&~	~&~NULL~&~	~&~'1.00'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'R'~&~	~&~]RECORD
RECORD[~&~	~&~'AE2229804'~&~	~&~'CD'~&~	~&~'14034DEF19064D8CE043814FD8814D8C'~&~	~&~'1'~&~	~&~NULL~&~	~&~'1.00'~&~	~&~'1.00'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'X'~&~	~&~]RECORD
RECORD[~&~	~&~'AE2229804'~&~	~&~'CR'~&~	~&~'14034DEF19074D8CE043814FD8814D8C'~&~	~&~'1'~&~	~&~NULL~&~	~&~'1.00'~&~	~&~'1.00'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'R'~&~	~&~]RECORD
RECORD[~&~	~&~'AF4860704'~&~	~&~'CD'~&~	~&~'14034DEF1F7D4D8CE043814FD8814D8C'~&~	~&~'1'~&~	~&~NULL~&~	~&~'1.75'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'X'~&~	~&~]RECORD
RECORD[~&~	~&~'AF4860704'~&~	~&~'CR'~&~	~&~'14034DEF1F7E4D8CE043814FD8814D8C'~&~	~&~'1'~&~	~&~NULL~&~	~&~'1.75'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'R'~&~	~&~]RECORD
RECORD[~&~	~&~'AG4585904'~&~	~&~'CD'~&~	~&~'14034DEF1DA44D8CE043814FD8814D8C'~&~	~&~'1'~&~	~&~NULL~&~	~&~'0.75'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'X'~&~	~&~]RECORD
RECORD[~&~	~&~'AG4585904'~&~	~&~'CR'~&~	~&~'14034DEF1DA54D8CE043814FD8814D8C'~&~	~&~'1'~&~	~&~NULL~&~	~&~'0.75'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'R'~&~	~&~]RECORD
RECORD[~&~	~&~'AG5101804'~&~	~&~'CD'~&~	~&~'14034DEF1AB14D8CE043814FD8814D8C'~&~	~&~'1'~&~	~&~NULL~&~	~&~'0.75'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'X'~&~	~&~]RECORD
RECORD[~&~	~&~'AG5101804'~&~	~&~'CR'~&~	~&~'14034DEF1AB24D8CE043814FD8814D8C'~&~	~&~'1'~&~	~&~NULL~&~	~&~'0.75'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'R'~&~	~&~]RECORD
