HEADER[~&~	~&~FDOC_NBR::VARCHAR~&~	~&~FDOC_TYP_CD::VARCHAR~&~	~&~OBJ_ID::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~FDOC_100_DLR_AMT::DECIMAL~&~	~&~FDOC_50_DLR_AMT::DECIMAL~&~	~&~FDOC_20_DLR_AMT::DECIMAL~&~	~&~FDOC_10_DLR_AMT::DECIMAL~&~	~&~FDOC_5_DLR_AMT::DECIMAL~&~	~&~FDOC_2_DLR_AMT::DECIMAL~&~	~&~FDOC_1_DLR_AMT::DECIMAL~&~	~&~FDOC_OTHR_DLR_AMT::DECIMAL~&~	~&~CSHR_STAT_CD::VARCHAR~&~	~&~]HEADER
RECORD[~&~	~&~'AA4377704'~&~	~&~'CD'~&~	~&~'13EDF61011C34072E043814FD8814072'~&~	~&~'1'~&~	~&~NULL~&~	~&~NULL~&~	~&~'240.00'~&~	~&~NULL~&~	~&~'5.00'~&~	~&~NULL~&~	~&~'2.00'~&~	~&~NULL~&~	~&~'X'~&~	~&~]RECORD
RECORD[~&~	~&~'AA4377704'~&~	~&~'CR'~&~	~&~'13EDF61011C44072E043814FD8814072'~&~	~&~'1'~&~	~&~NULL~&~	~&~NULL~&~	~&~'240.00'~&~	~&~NULL~&~	~&~'5.00'~&~	~&~NULL~&~	~&~'2.00'~&~	~&~NULL~&~	~&~'R'~&~	~&~]RECORD
RECORD[~&~	~&~'AA4870404'~&~	~&~'CD'~&~	~&~'13EDF61010394072E043814FD8814072'~&~	~&~'1'~&~	~&~'100.00'~&~	~&~NULL~&~	~&~'1560.00'~&~	~&~'230.00'~&~	~&~'110.00'~&~	~&~NULL~&~	~&~'72.00'~&~	~&~NULL~&~	~&~'X'~&~	~&~]RECORD
RECORD[~&~	~&~'AA4870404'~&~	~&~'CR'~&~	~&~'13EDF610103A4072E043814FD8814072'~&~	~&~'1'~&~	~&~'100.00'~&~	~&~NULL~&~	~&~'1560.00'~&~	~&~'230.00'~&~	~&~'110.00'~&~	~&~NULL~&~	~&~'72.00'~&~	~&~NULL~&~	~&~'R'~&~	~&~]RECORD
RECORD[~&~	~&~'AB2632004'~&~	~&~'CD'~&~	~&~'13EDF6100DED4072E043814FD8814072'~&~	~&~'1'~&~	~&~'100.00'~&~	~&~NULL~&~	~&~'1320.00'~&~	~&~'110.00'~&~	~&~'90.00'~&~	~&~NULL~&~	~&~'109.00'~&~	~&~NULL~&~	~&~'X'~&~	~&~]RECORD
RECORD[~&~	~&~'AB2632004'~&~	~&~'CR'~&~	~&~'13EDF6100DEE4072E043814FD8814072'~&~	~&~'1'~&~	~&~'100.00'~&~	~&~NULL~&~	~&~'1320.00'~&~	~&~'110.00'~&~	~&~'90.00'~&~	~&~NULL~&~	~&~'109.00'~&~	~&~NULL~&~	~&~'R'~&~	~&~]RECORD
RECORD[~&~	~&~'AB2760104'~&~	~&~'CD'~&~	~&~'13EDF61012124072E043814FD8814072'~&~	~&~'1'~&~	~&~NULL~&~	~&~NULL~&~	~&~'60.00'~&~	~&~NULL~&~	~&~'5.00'~&~	~&~NULL~&~	~&~'3.00'~&~	~&~NULL~&~	~&~'X'~&~	~&~]RECORD
RECORD[~&~	~&~'AB2760104'~&~	~&~'CR'~&~	~&~'13EDF61012134072E043814FD8814072'~&~	~&~'1'~&~	~&~NULL~&~	~&~NULL~&~	~&~'60.00'~&~	~&~NULL~&~	~&~'5.00'~&~	~&~NULL~&~	~&~'3.00'~&~	~&~NULL~&~	~&~'R'~&~	~&~]RECORD
RECORD[~&~	~&~'AC1322404'~&~	~&~'CD'~&~	~&~'13EDF6100F984072E043814FD8814072'~&~	~&~'1'~&~	~&~NULL~&~	~&~NULL~&~	~&~'80.00'~&~	~&~'20.00'~&~	~&~'30.00'~&~	~&~NULL~&~	~&~'48.00'~&~	~&~NULL~&~	~&~'X'~&~	~&~]RECORD
RECORD[~&~	~&~'AC1322404'~&~	~&~'CR'~&~	~&~'13EDF6100F994072E043814FD8814072'~&~	~&~'1'~&~	~&~NULL~&~	~&~NULL~&~	~&~'80.00'~&~	~&~'20.00'~&~	~&~'30.00'~&~	~&~NULL~&~	~&~'48.00'~&~	~&~NULL~&~	~&~'R'~&~	~&~]RECORD
