HEADER[~&~	~&~DV_EXP_CD::VARCHAR~&~	~&~OBJ_ID::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~DV_EXP_NM::VARCHAR~&~	~&~DV_EXP_PRPY_IND::CHAR~&~	~&~ROW_ACTV_IND::VARCHAR~&~	~&~]HEADER
RECORD[~&~	~&~'A'~&~	~&~'058AB8145A459D3CE043814FD8819D3C'~&~	~&~'1'~&~	~&~'AIRFARE'~&~	~&~'N'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'AL'~&~	~&~'BD96AA2416475898E040540A5EFD3A74'~&~	~&~'1'~&~	~&~'Alcohol'~&~	~&~'N'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'EL'~&~	~&~'BD96AA2416465898E040540A5EFD3A74'~&~	~&~'1'~&~	~&~'Light refreshments'~&~	~&~'N'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'HB'~&~	~&~'BD96AA24163B5898E040540A5EFD3A74'~&~	~&~'1'~&~	~&~'Breakfast'~&~	~&~'N'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'HD'~&~	~&~'BD96AA24163D5898E040540A5EFD3A74'~&~	~&~'1'~&~	~&~'Dinner'~&~	~&~'N'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'HL'~&~	~&~'BD96AA24163C5898E040540A5EFD3A74'~&~	~&~'1'~&~	~&~'Lunch'~&~	~&~'N'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'L'~&~	~&~'058AB8145A469D3CE043814FD8819D3C'~&~	~&~'1'~&~	~&~'LODGING'~&~	~&~'N'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'M'~&~	~&~'058AB8145A479D3CE043814FD8819D3C'~&~	~&~'1'~&~	~&~'MOVING EQUIPMENT'~&~	~&~'N'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'MD'~&~	~&~'BD96AA2416435898E040540A5EFD3A74'~&~	~&~'1'~&~	~&~'Domestic storage over 30d'~&~	~&~'N'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'MF'~&~	~&~'BD96AA2416415898E040540A5EFD3A74'~&~	~&~'1'~&~	~&~'Final move meals'~&~	~&~'N'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'MH'~&~	~&~'BD96AA24163E5898E040540A5EFD3A74'~&~	~&~'1'~&~	~&~'House hunting costs'~&~	~&~'N'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'MI'~&~	~&~'BD96AA2416445898E040540A5EFD3A74'~&~	~&~'1'~&~	~&~'International storage'~&~	~&~'N'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'ML'~&~	~&~'BD96AA2416405898E040540A5EFD3A74'~&~	~&~'1'~&~	~&~'Living allowances'~&~	~&~'N'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'MM'~&~	~&~'BD96AA2416425898E040540A5EFD3A74'~&~	~&~'1'~&~	~&~'Mileage allowed per mile'~&~	~&~'N'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'MO'~&~	~&~'BD96AA2416455898E040540A5EFD3A74'~&~	~&~'1'~&~	~&~'Misc. Expense'~&~	~&~'N'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'MT'~&~	~&~'BD96AA24163F5898E040540A5EFD3A74'~&~	~&~'1'~&~	~&~'Temporary living'~&~	~&~'N'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'O'~&~	~&~'058AB8145A489D3CE043814FD8819D3C'~&~	~&~'1'~&~	~&~'OTHER'~&~	~&~'N'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'PA'~&~	~&~'40516E35-53E5-35AF-B920-242BFDDC6736'~&~	~&~'2'~&~	~&~'PREPAID AIRFARE'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'PC'~&~	~&~'058AB8145A4A9D3CE043814FD8819D3C'~&~	~&~'1'~&~	~&~'CONFERENCE REGISTRATION'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'PL'~&~	~&~'058AB8145A4B9D3CE043814FD8819D3C'~&~	~&~'1'~&~	~&~'PREPAID LODGING'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'PM'~&~	~&~'058AB8145A4C9D3CE043814FD8819D3C'~&~	~&~'1'~&~	~&~'PREPAID MOVING RENTAL'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'PO'~&~	~&~'058AB8145A4D9D3CE043814FD8819D3C'~&~	~&~'1'~&~	~&~'PREPAID OTHER'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'PR'~&~	~&~'058AB8145A4E9D3CE043814FD8819D3C'~&~	~&~'1'~&~	~&~'PREPAID AUTO RENTAL'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'PT'~&~	~&~'058AB8145A4F9D3CE043814FD8819D3C'~&~	~&~'1'~&~	~&~'PREPAID TAXI/LIMO SERVICE'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'R'~&~	~&~'058AB8145A509D3CE043814FD8819D3C'~&~	~&~'1'~&~	~&~'AUTOMOBILE RENTAL'~&~	~&~'N'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'ST'~&~	~&~'BD96AA2416485898E040540A5EFD3A74'~&~	~&~'1'~&~	~&~'Show Tickets'~&~	~&~'N'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'T'~&~	~&~'058AB8145A519D3CE043814FD8819D3C'~&~	~&~'1'~&~	~&~'TAXI/LIMOSINE SERVICE'~&~	~&~'N'~&~	~&~'Y'~&~	~&~]RECORD
