HEADER[~&~	~&~DV_EXP_CD::VARCHAR~&~	~&~DV_EXP_CO_NM::VARCHAR~&~	~&~OBJ_ID::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~ROW_ACTV_IND::VARCHAR~&~	~&~]HEADER
RECORD[~&~	~&~'A'~&~	~&~'CONTINENTAL/CONTINENTAL EXPRESS'~&~	~&~'059C8C53A21EEA14E043814FD881EA14'~&~	~&~'1'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'A'~&~	~&~'DELTA'~&~	~&~'059C8C53A21FEA14E043814FD881EA14'~&~	~&~'1'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'A'~&~	~&~'NORTHWEST'~&~	~&~'059C8C53A220EA14E043814FD881EA14'~&~	~&~'1'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'A'~&~	~&~'OTHER'~&~	~&~'059C8C53A221EA14E043814FD881EA14'~&~	~&~'1'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'A'~&~	~&~'SOUTHWEST'~&~	~&~'059C8C53A222EA14E043814FD881EA14'~&~	~&~'1'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'A'~&~	~&~'TRANS WORLD AIRLINES'~&~	~&~'059C8C53A223EA14E043814FD881EA14'~&~	~&~'1'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'A'~&~	~&~'U.S. AIRWAYS'~&~	~&~'059C8C53A224EA14E043814FD881EA14'~&~	~&~'1'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'A'~&~	~&~'UNITED AIRLINES'~&~	~&~'059C8C53A225EA14E043814FD881EA14'~&~	~&~'1'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'L'~&~	~&~'BEST WESTERN'~&~	~&~'059C8C53A226EA14E043814FD881EA14'~&~	~&~'1'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'L'~&~	~&~'CENTURY SUITES'~&~	~&~'059C8C53A227EA14E043814FD881EA14'~&~	~&~'1'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'L'~&~	~&~'COMFORT AND CLARION INNS'~&~	~&~'059C8C53A228EA14E043814FD881EA14'~&~	~&~'1'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'L'~&~	~&~'COURTYARD'~&~	~&~'059C8C53A229EA14E043814FD881EA14'~&~	~&~'1'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'L'~&~	~&~'DAYS INN'~&~	~&~'059C8C53A22AEA14E043814FD881EA14'~&~	~&~'1'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'L'~&~	~&~'FAIRFIELD INN'~&~	~&~'059C8C53A22BEA14E043814FD881EA14'~&~	~&~'1'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'L'~&~	~&~'HAMPTON INN'~&~	~&~'059C8C53A22DEA14E043814FD881EA14'~&~	~&~'1'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'L'~&~	~&~'HOLIDAY INNS'~&~	~&~'059C8C53A22EEA14E043814FD881EA14'~&~	~&~'1'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'L'~&~	~&~'OTHER'~&~	~&~'059C8C53A230EA14E043814FD881EA14'~&~	~&~'1'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'L'~&~	~&~'RAMADA INNS'~&~	~&~'059C8C53A231EA14E043814FD881EA14'~&~	~&~'1'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'L'~&~	~&~'TRAVELODGE'~&~	~&~'059C8C53A232EA14E043814FD881EA14'~&~	~&~'1'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'M'~&~	~&~'OTHER'~&~	~&~'059C8C53A234EA14E043814FD881EA14'~&~	~&~'1'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'M'~&~	~&~'RYDER'~&~	~&~'059C8C53A235EA14E043814FD881EA14'~&~	~&~'1'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'M'~&~	~&~'U-HAUL'~&~	~&~'059C8C53A236EA14E043814FD881EA14'~&~	~&~'1'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'O'~&~	~&~'OTHER'~&~	~&~'059C8C53A237EA14E043814FD881EA14'~&~	~&~'1'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'PA'~&~	~&~'CONTINENTAL/CONTINENTAL EXPRESS'~&~	~&~'059C8C53A238EA14E043814FD881EA14'~&~	~&~'1'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'PA'~&~	~&~'DELTA'~&~	~&~'059C8C53A239EA14E043814FD881EA14'~&~	~&~'1'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'PA'~&~	~&~'NORTHWEST'~&~	~&~'059C8C53A23AEA14E043814FD881EA14'~&~	~&~'1'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'PA'~&~	~&~'OTHER'~&~	~&~'059C8C53A23BEA14E043814FD881EA14'~&~	~&~'1'~&~	~&~'Y'~&~	~&~]RECORD
