HEADER[~&~	~&~UNIV_FISCAL_YR::DECIMAL~&~	~&~FS_FUNC_CTRL_CD::VARCHAR~&~	~&~OBJ_ID::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~FS_FUNC_ACTIVE_IND::VARCHAR~&~	~&~]HEADER
RECORD[~&~	~&~'2009'~&~	~&~'BAACTV'~&~	~&~'D6C943EB-F41F-DFDB-26F4-38B67B3DD771'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BASEAD'~&~	~&~'3699D72A-98DC-3716-75B8-D92ADBF3E805'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BCACTV'~&~	~&~'2289193B-8B46-4498-2287-ABDF95944B13'~&~	~&~'2'~&~	~&~'N'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BCGENE'~&~	~&~'228421E5-C2EB-F460-3E8F-250BA9A60365'~&~	~&~'2'~&~	~&~'N'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BCUPDT'~&~	~&~'C475F985-CAD6-5D2E-9D18-6FE6610523CE'~&~	~&~'2'~&~	~&~'N'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BSSYNC'~&~	~&~'9CD10525-BBF9-E92C-D456-7B9921A7D2C4'~&~	~&~'2'~&~	~&~'N'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'CSFUPD'~&~	~&~'74434DEC-BD46-9049-C1F4-1702FA8B8E5C'~&~	~&~'2'~&~	~&~'N'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'PSSYNC'~&~	~&~'16A80888-2F50-DB9E-74D4-9C736D0EF76D'~&~	~&~'2'~&~	~&~'N'~&~	~&~]RECORD
RECORD[~&~	~&~'2010'~&~	~&~'BAACTV'~&~	~&~'FB766EFC-0A43-6087-4FA6-35F1ECB41CC3'~&~	~&~'2'~&~	~&~'N'~&~	~&~]RECORD
RECORD[~&~	~&~'2010'~&~	~&~'BASEAD'~&~	~&~'A63319D7-8843-9AA9-6CE6-BC5516F8A334'~&~	~&~'2'~&~	~&~'N'~&~	~&~]RECORD
RECORD[~&~	~&~'2010'~&~	~&~'BCACTV'~&~	~&~'F6540BA7-BFA3-F675-B763-BEDE07E3F25F'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2010'~&~	~&~'BCGENE'~&~	~&~'51CD120D-3DF4-5DB4-5391-C614B3926C9A'~&~	~&~'2'~&~	~&~'N'~&~	~&~]RECORD
RECORD[~&~	~&~'2010'~&~	~&~'BCUPDT'~&~	~&~'9C178621-2953-D322-7F0A-53288419BF49'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2010'~&~	~&~'BSSYNC'~&~	~&~'662C5021-D5C4-633E-5D02-7906DDA2BA05'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2010'~&~	~&~'CSFUPD'~&~	~&~'1A7A03AC-1D83-81DF-85D1-F95EF1C101DA'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2010'~&~	~&~'PSSYNC'~&~	~&~'485167F6-8DAE-AA2E-3094-7A575837B0EA'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2011'~&~	~&~'BAACTV'~&~	~&~'BB449970-A272-A9D7-5358-5DC63C806977'~&~	~&~'2'~&~	~&~'N'~&~	~&~]RECORD
