HEADER[~&~	~&~UNIV_FISCAL_YR::DECIMAL~&~	~&~FIN_COA_CD::VARCHAR~&~	~&~ACCOUNT_NBR::VARCHAR~&~	~&~SUB_ACCT_NBR::VARCHAR~&~	~&~FIN_OBJECT_CD::VARCHAR~&~	~&~FIN_SUB_OBJ_CD::VARCHAR~&~	~&~CURR_BDLN_BAL_AMT::DECIMAL~&~	~&~ACLN_ACTLS_BAL_AMT::DECIMAL~&~	~&~ACLN_ENCUM_BAL_AMT::DECIMAL~&~	~&~TIMESTAMP::TIMESTAMP~&~	~&~]HEADER
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'6044900'~&~	~&~'-----'~&~	~&~'1464'~&~	~&~'---'~&~	~&~'230000.00'~&~	~&~'46011.29'~&~	~&~'0.00'~&~	~&~'1158206400000'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'6044900'~&~	~&~'-----'~&~	~&~'1466'~&~	~&~'---'~&~	~&~'2000000.00'~&~	~&~'-82799.90'~&~	~&~'0.00'~&~	~&~'1158206400000'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'6044900'~&~	~&~'-----'~&~	~&~'1468'~&~	~&~'---'~&~	~&~'550000.00'~&~	~&~'58914.57'~&~	~&~'0.00'~&~	~&~'1158206400000'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'6044900'~&~	~&~'-----'~&~	~&~'1470'~&~	~&~'---'~&~	~&~'11000.00'~&~	~&~'3814.06'~&~	~&~'0.00'~&~	~&~'1158206400000'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'6044900'~&~	~&~'-----'~&~	~&~'1471'~&~	~&~'---'~&~	~&~'115000.00'~&~	~&~'47707.30'~&~	~&~'0.00'~&~	~&~'1158206400000'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'6044900'~&~	~&~'-----'~&~	~&~'1472'~&~	~&~'---'~&~	~&~'120000.00'~&~	~&~'26664.56'~&~	~&~'0.00'~&~	~&~'1158206400000'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'6044900'~&~	~&~'-----'~&~	~&~'1475'~&~	~&~'---'~&~	~&~'185000.00'~&~	~&~'33127.15'~&~	~&~'0.00'~&~	~&~'1158206400000'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'6044900'~&~	~&~'-----'~&~	~&~'1500'~&~	~&~'---'~&~	~&~'0.00'~&~	~&~'-9.83'~&~	~&~'0.00'~&~	~&~'1158206400000'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'6044900'~&~	~&~'-----'~&~	~&~'1598'~&~	~&~'---'~&~	~&~'0.00'~&~	~&~'-80.00'~&~	~&~'0.00'~&~	~&~'1158206400000'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'6044900'~&~	~&~'-----'~&~	~&~'1598'~&~	~&~'RE'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'1158206400000'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'6044900'~&~	~&~'-----'~&~	~&~'1599'~&~	~&~'---'~&~	~&~'0.00'~&~	~&~'1270.60'~&~	~&~'0.00'~&~	~&~'1158206400000'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'6044900'~&~	~&~'-----'~&~	~&~'1599'~&~	~&~'D'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'1158206400000'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'6044900'~&~	~&~'-----'~&~	~&~'1599'~&~	~&~'KAB'~&~	~&~'0.00'~&~	~&~'4886.32'~&~	~&~'0.00'~&~	~&~'1158206400000'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'6044900'~&~	~&~'-----'~&~	~&~'1599'~&~	~&~'KJT'~&~	~&~'0.00'~&~	~&~'2315.32'~&~	~&~'0.00'~&~	~&~'1158206400000'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'6044900'~&~	~&~'-----'~&~	~&~'1599'~&~	~&~'KSR'~&~	~&~'0.00'~&~	~&~'3481.80'~&~	~&~'0.00'~&~	~&~'1158206400000'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'6044900'~&~	~&~'-----'~&~	~&~'1599'~&~	~&~'MAG'~&~	~&~'0.00'~&~	~&~'5089.08'~&~	~&~'0.00'~&~	~&~'1158206400000'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'6044900'~&~	~&~'-----'~&~	~&~'1599'~&~	~&~'SAA'~&~	~&~'0.00'~&~	~&~'-248.84'~&~	~&~'0.00'~&~	~&~'1158206400000'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'6044900'~&~	~&~'-----'~&~	~&~'1608'~&~	~&~'---'~&~	~&~'24544.00'~&~	~&~'6139.00'~&~	~&~'0.00'~&~	~&~'1158206400000'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'6044900'~&~	~&~'-----'~&~	~&~'1635'~&~	~&~'---'~&~	~&~'200.00'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'1158206400000'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'6044900'~&~	~&~'-----'~&~	~&~'1800'~&~	~&~'---'~&~	~&~'10000.00'~&~	~&~'4893.50'~&~	~&~'0.00'~&~	~&~'1158206400000'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'6044900'~&~	~&~'-----'~&~	~&~'1810'~&~	~&~'---'~&~	~&~'50.00'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'1158206400000'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'6044900'~&~	~&~'-----'~&~	~&~'1817'~&~	~&~'---'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'1158206400000'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'6044900'~&~	~&~'-----'~&~	~&~'1820'~&~	~&~'---'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'1158206400000'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'6044900'~&~	~&~'-----'~&~	~&~'2400'~&~	~&~'---'~&~	~&~'160629.00'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'1158206400000'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'6044900'~&~	~&~'-----'~&~	~&~'2500'~&~	~&~'---'~&~	~&~'261325.00'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'1158206400000'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'6044900'~&~	~&~'-----'~&~	~&~'2504'~&~	~&~'---'~&~	~&~'1067.00'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'1158206400000'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'6044900'~&~	~&~'-----'~&~	~&~'3000'~&~	~&~'---'~&~	~&~'150000.00'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'1158206400000'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'6044900'~&~	~&~'-----'~&~	~&~'3050'~&~	~&~'---'~&~	~&~'70000.00'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'1158206400000'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'6044900'~&~	~&~'-----'~&~	~&~'3100'~&~	~&~'---'~&~	~&~'500.00'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'1158206400000'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'6044900'~&~	~&~'-----'~&~	~&~'3150'~&~	~&~'---'~&~	~&~'2500.00'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'1158206400000'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'6044900'~&~	~&~'-----'~&~	~&~'3200'~&~	~&~'---'~&~	~&~'50000.00'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'1158206400000'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'6044900'~&~	~&~'-----'~&~	~&~'3250'~&~	~&~'---'~&~	~&~'20000.00'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'1158206400000'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'6044900'~&~	~&~'-----'~&~	~&~'3500'~&~	~&~'---'~&~	~&~'60000.00'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'1158206400000'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'6044900'~&~	~&~'-----'~&~	~&~'3700'~&~	~&~'---'~&~	~&~'500.00'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'1158206400000'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'6044900'~&~	~&~'-----'~&~	~&~'4008'~&~	~&~'---'~&~	~&~'69665.00'~&~	~&~'17410.00'~&~	~&~'0.00'~&~	~&~'1158206400000'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'6044900'~&~	~&~'-----'~&~	~&~'4010'~&~	~&~'---'~&~	~&~'6000.00'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'1158206400000'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'6044900'~&~	~&~'-----'~&~	~&~'4013'~&~	~&~'---'~&~	~&~'7500.00'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'1158206400000'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'6044900'~&~	~&~'-----'~&~	~&~'4015'~&~	~&~'---'~&~	~&~'17500.00'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'1158206400000'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'6044900'~&~	~&~'-----'~&~	~&~'4016'~&~	~&~'---'~&~	~&~'500.00'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'1158206400000'~&~	~&~]RECORD
