HEADER[~&~	~&~UNIV_FISCAL_YR::DECIMAL~&~	~&~FIN_COA_CD::VARCHAR~&~	~&~ACCOUNT_NBR::VARCHAR~&~	~&~FIN_OBJECT_CD::VARCHAR~&~	~&~ACCT_SF_CD::VARCHAR~&~	~&~CURR_BDGT_BAL_AMT::DECIMAL~&~	~&~ACCT_ACTL_XPND_AMT::DECIMAL~&~	~&~ACCT_ENCUM_AMT::DECIMAL~&~	~&~TIMESTAMP::TIMESTAMP~&~	~&~]HEADER
RECORD[~&~	~&~'2009'~&~	~&~'BL'~&~	~&~'0211101'~&~	~&~'GENX'~&~	~&~'C'~&~	~&~'0.00'~&~	~&~'154.65'~&~	~&~'4469.01'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BL'~&~	~&~'0211102'~&~	~&~'GENX'~&~	~&~'C'~&~	~&~'0.00'~&~	~&~'154.65'~&~	~&~'4469.01'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BL'~&~	~&~'0211103'~&~	~&~'GENX'~&~	~&~'C'~&~	~&~'0.00'~&~	~&~'154.65'~&~	~&~'4469.01'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BL'~&~	~&~'0211104'~&~	~&~'GENX'~&~	~&~'C'~&~	~&~'0.00'~&~	~&~'154.65'~&~	~&~'4469.01'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BL'~&~	~&~'0211105'~&~	~&~'GENX'~&~	~&~'C'~&~	~&~'0.00'~&~	~&~'154.65'~&~	~&~'4469.01'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BL'~&~	~&~'0211106'~&~	~&~'GENX'~&~	~&~'C'~&~	~&~'0.00'~&~	~&~'154.65'~&~	~&~'4469.01'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BL'~&~	~&~'0211107'~&~	~&~'GENX'~&~	~&~'C'~&~	~&~'0.00'~&~	~&~'154.65'~&~	~&~'4469.01'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BL'~&~	~&~'0211108'~&~	~&~'GENX'~&~	~&~'C'~&~	~&~'0.00'~&~	~&~'154.65'~&~	~&~'4469.01'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BL'~&~	~&~'0211109'~&~	~&~'GENX'~&~	~&~'C'~&~	~&~'0.00'~&~	~&~'154.65'~&~	~&~'4469.01'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BL'~&~	~&~'0211201'~&~	~&~'CMPN'~&~	~&~'C'~&~	~&~'0.00'~&~	~&~'74597.76'~&~	~&~'0.00'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BL'~&~	~&~'0211201'~&~	~&~'GENX'~&~	~&~'C'~&~	~&~'0.00'~&~	~&~'621563.05'~&~	~&~'309266.00'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BL'~&~	~&~'0211201'~&~	~&~'IDEX'~&~	~&~'C'~&~	~&~'0.00'~&~	~&~'74658.26'~&~	~&~'0.00'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BL'~&~	~&~'0211201'~&~	~&~'TRVL'~&~	~&~'C'~&~	~&~'0.00'~&~	~&~'42127.25'~&~	~&~'0.00'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BL'~&~	~&~'0211202'~&~	~&~'CMPN'~&~	~&~'C'~&~	~&~'0.00'~&~	~&~'74597.76'~&~	~&~'0.00'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BL'~&~	~&~'0211202'~&~	~&~'GENX'~&~	~&~'C'~&~	~&~'0.00'~&~	~&~'621563.05'~&~	~&~'309266.00'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BL'~&~	~&~'0211202'~&~	~&~'IDEX'~&~	~&~'C'~&~	~&~'0.00'~&~	~&~'74658.26'~&~	~&~'0.00'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BL'~&~	~&~'0211202'~&~	~&~'TRVL'~&~	~&~'C'~&~	~&~'0.00'~&~	~&~'42127.25'~&~	~&~'0.00'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BL'~&~	~&~'0211203'~&~	~&~'CMPN'~&~	~&~'C'~&~	~&~'0.00'~&~	~&~'74597.76'~&~	~&~'0.00'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BL'~&~	~&~'0211203'~&~	~&~'GENX'~&~	~&~'C'~&~	~&~'0.00'~&~	~&~'621563.05'~&~	~&~'309266.00'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BL'~&~	~&~'0211203'~&~	~&~'IDEX'~&~	~&~'C'~&~	~&~'0.00'~&~	~&~'74658.26'~&~	~&~'0.00'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BL'~&~	~&~'0211203'~&~	~&~'TRVL'~&~	~&~'C'~&~	~&~'0.00'~&~	~&~'42127.25'~&~	~&~'0.00'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BL'~&~	~&~'0211204'~&~	~&~'CMPN'~&~	~&~'C'~&~	~&~'0.00'~&~	~&~'74597.76'~&~	~&~'0.00'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BL'~&~	~&~'0211204'~&~	~&~'GENX'~&~	~&~'C'~&~	~&~'0.00'~&~	~&~'621563.05'~&~	~&~'309266.00'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BL'~&~	~&~'0211204'~&~	~&~'IDEX'~&~	~&~'C'~&~	~&~'0.00'~&~	~&~'74658.26'~&~	~&~'0.00'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BL'~&~	~&~'0211204'~&~	~&~'TRVL'~&~	~&~'C'~&~	~&~'0.00'~&~	~&~'42127.25'~&~	~&~'0.00'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BL'~&~	~&~'0211205'~&~	~&~'CMPN'~&~	~&~'C'~&~	~&~'0.00'~&~	~&~'74597.76'~&~	~&~'0.00'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BL'~&~	~&~'0211205'~&~	~&~'GENX'~&~	~&~'C'~&~	~&~'0.00'~&~	~&~'621563.05'~&~	~&~'309266.00'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BL'~&~	~&~'0211205'~&~	~&~'IDEX'~&~	~&~'C'~&~	~&~'0.00'~&~	~&~'74658.26'~&~	~&~'0.00'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BL'~&~	~&~'0211205'~&~	~&~'TRVL'~&~	~&~'C'~&~	~&~'0.00'~&~	~&~'42127.25'~&~	~&~'0.00'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BL'~&~	~&~'0211206'~&~	~&~'CMPN'~&~	~&~'C'~&~	~&~'0.00'~&~	~&~'74597.76'~&~	~&~'0.00'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BL'~&~	~&~'0211206'~&~	~&~'GENX'~&~	~&~'C'~&~	~&~'0.00'~&~	~&~'621563.05'~&~	~&~'309266.00'~&~	~&~NULL~&~	~&~]RECORD
