HEADER[~&~	~&~NMSPC_CD::VARCHAR~&~	~&~CMPNT_CD::VARCHAR~&~	~&~OBJ_ID::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~NM::VARCHAR~&~	~&~ACTV_IND::CHAR~&~	~&~]HEADER
RECORD[~&~	~&~'KFS-AR'~&~	~&~'All'~&~	~&~'KFS1'~&~	~&~'1'~&~	~&~'All'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS-AR'~&~	~&~'Batch'~&~	~&~'KFS2'~&~	~&~'1'~&~	~&~'Batch'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS-AR'~&~	~&~'Document'~&~	~&~'KFS3'~&~	~&~'1'~&~	~&~'Document'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS-AR'~&~	~&~'Lookup'~&~	~&~'KFS4'~&~	~&~'1'~&~	~&~'Lookup'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS-BC'~&~	~&~'All'~&~	~&~'KFS5'~&~	~&~'1'~&~	~&~'All'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS-BC'~&~	~&~'Batch'~&~	~&~'KFS6'~&~	~&~'1'~&~	~&~'Batch'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS-BC'~&~	~&~'Document'~&~	~&~'KFS7'~&~	~&~'1'~&~	~&~'Document'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS-BC'~&~	~&~'Lookup'~&~	~&~'KFS8'~&~	~&~'1'~&~	~&~'Lookup'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS-CAM'~&~	~&~'All'~&~	~&~'KFS13'~&~	~&~'1'~&~	~&~'All'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS-CAM'~&~	~&~'Batch'~&~	~&~'KFS14'~&~	~&~'1'~&~	~&~'Batch'~&~	~&~'Y'~&~	~&~]RECORD
