HEADER[~&~	~&~CUST_ID::DECIMAL~&~	~&~OBJ_ID::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~FIN_COA_CD::VARCHAR~&~	~&~UNT_CD::VARCHAR~&~	~&~SBUNT_CD::VARCHAR~&~	~&~CUST_DESC::VARCHAR~&~	~&~CUST_ACTV_IND::VARCHAR~&~	~&~CUST_PRCS_EMAIL_ADDR::VARCHAR~&~	~&~PMT_THRSHLD_AMT::DECIMAL~&~	~&~CUST_PMT_THRSHLD_EMAIL_ADDR::VARCHAR~&~	~&~FL_THRSHLD_AMT::DECIMAL~&~	~&~CUST_FILE_THRSHLD_EMAIL_ADDR::VARCHAR~&~	~&~DFLT_COA_CD::VARCHAR~&~	~&~DFLT_ACCT_NBR::VARCHAR~&~	~&~DFLT_SUB_ACCT_NBR::VARCHAR~&~	~&~DFLT_OBJ_CD::VARCHAR~&~	~&~DFLT_SUB_OBJ_CD::VARCHAR~&~	~&~ADV_CRTE_IND::VARCHAR~&~	~&~ACH_PMT_DESC::VARCHAR~&~	~&~ACH_TRANS_TYP::VARCHAR~&~	~&~CUST_CNTC_FULL_NM::VARCHAR~&~	~&~CUST_LN1_ADDR::VARCHAR~&~	~&~CUST_LN2_ADDR::VARCHAR~&~	~&~CUST_LN3_ADDR::VARCHAR~&~	~&~CUST_LN4_ADDR::VARCHAR~&~	~&~CUST_CTY_NM::VARCHAR~&~	~&~CUST_ST_CD::VARCHAR~&~	~&~CUST_ZIP_CD::VARCHAR~&~	~&~CUST_CNTRY_CD::VARCHAR~&~	~&~CHK_HDR_NTE_LN1_TXT::VARCHAR~&~	~&~CHK_HDR_NTE_LN2_TXT::VARCHAR~&~	~&~CHK_HDR_NTE_LN3_TXT::VARCHAR~&~	~&~CHK_HDR_NTE_LN4_TXT::VARCHAR~&~	~&~ADDL_CHK_NTE_LN1_TXT::VARCHAR~&~	~&~ADDL_CHK_NTE_LN2_TXT::VARCHAR~&~	~&~ADDL_CHK_NTE_LN3_TXT::VARCHAR~&~	~&~ADDL_CHK_NTE_LN4_TXT::VARCHAR~&~	~&~ADV_HDR_TXT::VARCHAR~&~	~&~ADV_SUBJ_LN_TXT::VARCHAR~&~	~&~ADV_RTRN_EMAIL_ADDR::VARCHAR~&~	~&~DFLT_PHYS_CMP_PROC_CD::VARCHAR~&~	~&~CUST_NRA_RVW_IND::VARCHAR~&~	~&~ACCTG_EDIT_REQ_IND::VARCHAR~&~	~&~CUST_EMP_CHK_IND::VARCHAR~&~	~&~CUST_OWNR_CD_REQ_IND::VARCHAR~&~	~&~CUST_PAYEE_ID_REQ_IND::VARCHAR~&~	~&~FIN_OBJECT_CD_LBLTY_RLF_CD::VARCHAR~&~	~&~ACTV_IND::VARCHAR~&~	~&~]HEADER
RECORD[~&~	~&~'10000016'~&~	~&~'33484450098D9196E043814FD8819196'~&~	~&~'12'~&~	~&~'BL'~&~	~&~'LIBM'~&~	~&~'RAFT'~&~	~&~'Library'~&~	~&~'Y'~&~	~&~'kbatch-l@indiana.edu'~&~	~&~'100000.00'~&~	~&~'kbatch-l@indiana.edu'~&~	~&~'1000000.00'~&~	~&~'kbatch-l@indiana.edu'~&~	~&~'BL'~&~	~&~'1031400'~&~	~&~'-----'~&~	~&~'5000'~&~	~&~'---'~&~	~&~'Y'~&~	~&~'This is the ACH Payment Detail Desc'~&~	~&~'PRAP'~&~	~&~'Keisha Huntley'~&~	~&~'500 Kuali Drive'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'Bloomington'~&~	~&~'IN'~&~	~&~'47405'~&~	~&~NULL~&~	~&~'Direct Deposit is coming soon!'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'Want to get payments quicker?'~&~	~&~'Advice Subject'~&~	~&~'kbatch-l@indiana.edu'~&~	~&~'BL'~&~	~&~'N'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'N'~&~	~&~'N'~&~	~&~'N'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'10000017'~&~	~&~'3E426E5F95A39096E043814FD8819096'~&~	~&~'4'~&~	~&~'BL'~&~	~&~'KUAL'~&~	~&~'DV'~&~	~&~'Disbursement Voucher'~&~	~&~'Y'~&~	~&~'kbatch-l@indiana.edu'~&~	~&~'100000.00'~&~	~&~'kbatch-l@indiana.edu'~&~	~&~'1000000.00'~&~	~&~'kbatch-l@indiana.edu'~&~	~&~'BL'~&~	~&~'1031400'~&~	~&~'-----'~&~	~&~'5000'~&~	~&~'---'~&~	~&~'Y'~&~	~&~'TEST'~&~	~&~'PRAP'~&~	~&~'Keisha Huntley'~&~	~&~'500 Kuali Place'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'Bloomington'~&~	~&~'IN'~&~	~&~'47405'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'TEST'~&~	~&~'TEST'~&~	~&~'kbatch-l@indiana.edu'~&~	~&~'BL'~&~	~&~'N'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'N'~&~	~&~'N'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'10000018'~&~	~&~'3E426E5F95A69096E043814FD8819096'~&~	~&~'3'~&~	~&~'EA'~&~	~&~'KUAL'~&~	~&~'DV'~&~	~&~'Disbursement Voucher'~&~	~&~'Y'~&~	~&~'kbatch-l@indiana.edu'~&~	~&~'100000.00'~&~	~&~'kbatch-l@indiana.edu'~&~	~&~'1000000.00'~&~	~&~'kbatch-l@indiana.edu'~&~	~&~'BL'~&~	~&~'1031400'~&~	~&~'-----'~&~	~&~'5000'~&~	~&~'---'~&~	~&~'Y'~&~	~&~'TEST'~&~	~&~'PRAP'~&~	~&~'Keisha Huntley'~&~	~&~'500 Kuali Place'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'Bloomington'~&~	~&~'IN'~&~	~&~'47405'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'TEST'~&~	~&~'TEST'~&~	~&~'kbatch-l@indiana.edu'~&~	~&~'BL'~&~	~&~'N'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'N'~&~	~&~'N'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'10000019'~&~	~&~'3E42871BBD0C80D6E043814FD88180D6'~&~	~&~'4'~&~	~&~'IN'~&~	~&~'KUAL'~&~	~&~'DV'~&~	~&~'Disbursement Voucher'~&~	~&~'Y'~&~	~&~'kbatch-l@indiana.edu'~&~	~&~'100000.00'~&~	~&~'kbatch-l@indiana.edu'~&~	~&~'1000000.00'~&~	~&~'kbatch-l@indiana.edu'~&~	~&~'BL'~&~	~&~'1031400'~&~	~&~'-----'~&~	~&~'5000'~&~	~&~'---'~&~	~&~'Y'~&~	~&~'TEST'~&~	~&~'PRAP'~&~	~&~'Keisha Huntley'~&~	~&~'500 Kuali Place'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'Bloomington'~&~	~&~'IN'~&~	~&~'47405'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'TEST'~&~	~&~'TEST'~&~	~&~'kbatch-l@indiana.edu'~&~	~&~'IN'~&~	~&~'N'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'N'~&~	~&~'N'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'10000020'~&~	~&~'3E42871BBD0F80D6E043814FD88180D6'~&~	~&~'4'~&~	~&~'KO'~&~	~&~'KUAL'~&~	~&~'DV'~&~	~&~'Disbursement Voucher'~&~	~&~'Y'~&~	~&~'kbatch-l@indiana.edu'~&~	~&~'100000.00'~&~	~&~'kbatch-l@indiana.edu'~&~	~&~'1000000.00'~&~	~&~'kbatch-l@indiana.edu'~&~	~&~'BL'~&~	~&~'1031400'~&~	~&~'-----'~&~	~&~'5000'~&~	~&~'---'~&~	~&~'Y'~&~	~&~'TEST'~&~	~&~'PRAP'~&~	~&~'Keisha Huntley'~&~	~&~'500 Kuali Place'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'Bloomington'~&~	~&~'IN'~&~	~&~'47405'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'TEST'~&~	~&~'TEST'~&~	~&~'kbatch-l@indiana.edu'~&~	~&~'BL'~&~	~&~'N'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'N'~&~	~&~'N'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'10000021'~&~	~&~'3E42871BBD1280D6E043814FD88180D6'~&~	~&~'5'~&~	~&~'NW'~&~	~&~'KUAL'~&~	~&~'DV'~&~	~&~'Disbursement Voucher'~&~	~&~'Y'~&~	~&~'kbatch-l@indiana.edu'~&~	~&~'100000.00'~&~	~&~'kbatch-l@indiana.edu'~&~	~&~'1000000.00'~&~	~&~'kbatch-l@indiana.edu'~&~	~&~'BL'~&~	~&~'1031400'~&~	~&~'-----'~&~	~&~'5000'~&~	~&~'---'~&~	~&~'Y'~&~	~&~'TEST'~&~	~&~'PRAP'~&~	~&~'Keisha Huntley'~&~	~&~'500 Kuali Place'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'Bloomington'~&~	~&~'IN'~&~	~&~'47405'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'TEST'~&~	~&~'TEST'~&~	~&~'kbatch-l@indiana.edu'~&~	~&~'BL'~&~	~&~'N'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'N'~&~	~&~'N'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'10000022'~&~	~&~'3E429B9BA5B4909CE043814FD881909C'~&~	~&~'5'~&~	~&~'SB'~&~	~&~'KUAL'~&~	~&~'DV'~&~	~&~'Disbursement Voucher'~&~	~&~'Y'~&~	~&~'kbatch-l@indiana.edu'~&~	~&~'100000.00'~&~	~&~'kbatch-l@indiana.edu'~&~	~&~'1000000.00'~&~	~&~'kbatch-l@indiana.edu'~&~	~&~'BL'~&~	~&~'1031400'~&~	~&~'-----'~&~	~&~'5000'~&~	~&~'---'~&~	~&~'Y'~&~	~&~'TEST'~&~	~&~'PRAP'~&~	~&~'Keisha Huntley'~&~	~&~'500 Kuali Place'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'Bloomington'~&~	~&~'IN'~&~	~&~'47405'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'TEST'~&~	~&~'TEST'~&~	~&~'kbatch-l@indiana.edu'~&~	~&~'BL'~&~	~&~'N'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'N'~&~	~&~'N'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'10000023'~&~	~&~'3E429B9BA5B7909CE043814FD881909C'~&~	~&~'5'~&~	~&~'SE'~&~	~&~'KUAL'~&~	~&~'DV'~&~	~&~'Disbursement Voucher'~&~	~&~'Y'~&~	~&~'kbatch-l@indiana.edu'~&~	~&~'100000.00'~&~	~&~'kbatch-l@indiana.edu'~&~	~&~'1000000.00'~&~	~&~'kbatch-l@indiana.edu'~&~	~&~'BL'~&~	~&~'1031400'~&~	~&~'-----'~&~	~&~'5000'~&~	~&~'---'~&~	~&~'Y'~&~	~&~'TEST'~&~	~&~'PRAP'~&~	~&~'Keisha Huntley'~&~	~&~'500 Kuali Place'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'Bloomington'~&~	~&~'IN'~&~	~&~'47405'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'TEST'~&~	~&~'TEST'~&~	~&~'kbatch-l@indiana.edu'~&~	~&~'BL'~&~	~&~'N'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'N'~&~	~&~'N'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'10000024'~&~	~&~'3E42871BBD1580D6E043814FD88180D6'~&~	~&~'4'~&~	~&~'UA'~&~	~&~'KUAL'~&~	~&~'DV'~&~	~&~'Disbursement Voucher'~&~	~&~'Y'~&~	~&~'kbatch-l@indiana.edu'~&~	~&~'100000.00'~&~	~&~'kbatch-l@indiana.edu'~&~	~&~'1000000.00'~&~	~&~'kbatch-l@indiana.edu'~&~	~&~'BL'~&~	~&~'1031400'~&~	~&~'-----'~&~	~&~'5000'~&~	~&~'---'~&~	~&~'Y'~&~	~&~'TEST'~&~	~&~'PRAP'~&~	~&~'Keisha Huntley'~&~	~&~'500 Kuali Place'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'Bloomington'~&~	~&~'IN'~&~	~&~'47405'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'TEST'~&~	~&~'TEST'~&~	~&~'kbatch-l@indiana.edu'~&~	~&~'BL'~&~	~&~'N'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'N'~&~	~&~'N'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'10000025'~&~	~&~'3E429B9BA5BA909CE043814FD881909C'~&~	~&~'3'~&~	~&~'BL'~&~	~&~'KUAL'~&~	~&~'PRAP'~&~	~&~'Purchasing/Accounts Payable'~&~	~&~'Y'~&~	~&~'kbatch-l@indiana.edu'~&~	~&~'100000.00'~&~	~&~'kbatch-l@indiana.edu'~&~	~&~'1000000.00'~&~	~&~'kbatch-l@indiana.edu'~&~	~&~'BL'~&~	~&~'1031400'~&~	~&~'-----'~&~	~&~'5000'~&~	~&~'---'~&~	~&~'Y'~&~	~&~'TEST'~&~	~&~'PRAP'~&~	~&~'Keisha Huntley'~&~	~&~'500 Kuali Place'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'Bloomington'~&~	~&~'IN'~&~	~&~'47405'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'TEST'~&~	~&~'TEST'~&~	~&~'kbatch-l@indiana.edu'~&~	~&~'BL'~&~	~&~'N'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'N'~&~	~&~'N'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~]RECORD
