HEADER[~&~	~&~PUR_COMM_CD::VARCHAR~&~	~&~OBJ_ID::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~PUR_COMM_DESC::VARCHAR~&~	~&~PUR_SALES_TAX_IND::VARCHAR~&~	~&~ITM_RSTRC_IND::VARCHAR~&~	~&~SNSTV_DTA_CD::VARCHAR~&~	~&~DOBJ_MAINT_CD_ACTV_IND::VARCHAR~&~	~&~]HEADER
RECORD[~&~	~&~'11'~&~	~&~'486D34788783C267E0404F8189D8349E'~&~	~&~'1'~&~	~&~'Agriculture, Forestry, Fishing and Hunting'~&~	~&~'Y'~&~	~&~'N'~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'111'~&~	~&~'486D3478879BC267E0404F8189D8349E'~&~	~&~'1'~&~	~&~'Crop Production'~&~	~&~'Y'~&~	~&~'N'~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'1111'~&~	~&~'486D347887FEC267E0404F8189D8349E'~&~	~&~'1'~&~	~&~'Oilseed and Grain Farming'~&~	~&~'Y'~&~	~&~'N'~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'11111'~&~	~&~'486D34788937C267E0404F8189D8349E'~&~	~&~'1'~&~	~&~'Soybean Farming'~&~	~&~'Y'~&~	~&~'N'~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'111110'~&~	~&~'486D34788C06C267E0404F8189D8349E'~&~	~&~'1'~&~	~&~'Soybean Farming'~&~	~&~'N'~&~	~&~'Y'~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'11112'~&~	~&~'486D34788938C267E0404F8189D8349E'~&~	~&~'1'~&~	~&~'Oilseed (except Soybean) Farming'~&~	~&~'Y'~&~	~&~'N'~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'111120'~&~	~&~'486D34788C07C267E0404F8189D8349E'~&~	~&~'1'~&~	~&~'Oilseed (except Soybean) Farming'~&~	~&~'N'~&~	~&~'Y'~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'11113'~&~	~&~'486D34788939C267E0404F8189D8349E'~&~	~&~'1'~&~	~&~'Dry Pea and Bean Farming'~&~	~&~'Y'~&~	~&~'N'~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'111130'~&~	~&~'486D34788C08C267E0404F8189D8349E'~&~	~&~'1'~&~	~&~'Dry Pea and Bean Farming'~&~	~&~'N'~&~	~&~'Y'~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'11114'~&~	~&~'486D3478893AC267E0404F8189D8349E'~&~	~&~'1'~&~	~&~'Wheat Farming'~&~	~&~'Y'~&~	~&~'N'~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'111140'~&~	~&~'486D34788C09C267E0404F8189D8349E'~&~	~&~'1'~&~	~&~'Wheat Farming'~&~	~&~'N'~&~	~&~'Y'~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'11115'~&~	~&~'486D3478893BC267E0404F8189D8349E'~&~	~&~'1'~&~	~&~'Corn Farming'~&~	~&~'Y'~&~	~&~'N'~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'111150'~&~	~&~'486D34788C0AC267E0404F8189D8349E'~&~	~&~'1'~&~	~&~'Corn Farming'~&~	~&~'N'~&~	~&~'Y'~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'11116'~&~	~&~'486D3478893CC267E0404F8189D8349E'~&~	~&~'1'~&~	~&~'Rice Farming'~&~	~&~'Y'~&~	~&~'N'~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'111160'~&~	~&~'486D34788C0BC267E0404F8189D8349E'~&~	~&~'1'~&~	~&~'Rice Farming'~&~	~&~'N'~&~	~&~'Y'~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'11119'~&~	~&~'486D3478893DC267E0404F8189D8349E'~&~	~&~'1'~&~	~&~'Other Grain Farming'~&~	~&~'Y'~&~	~&~'N'~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'111191'~&~	~&~'486D34788C0CC267E0404F8189D8349E'~&~	~&~'1'~&~	~&~'Oilseed and Grain Combination Farming'~&~	~&~'N'~&~	~&~'Y'~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'111199'~&~	~&~'486D34788C0DC267E0404F8189D8349E'~&~	~&~'1'~&~	~&~'All Other Grain Farming'~&~	~&~'N'~&~	~&~'Y'~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'1112'~&~	~&~'486D347887FFC267E0404F8189D8349E'~&~	~&~'1'~&~	~&~'Vegetable and Melon Farming'~&~	~&~'Y'~&~	~&~'N'~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'11121'~&~	~&~'486D3478893EC267E0404F8189D8349E'~&~	~&~'1'~&~	~&~'Vegetable and Melon Farming'~&~	~&~'Y'~&~	~&~'N'~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'111211'~&~	~&~'486D34788C0EC267E0404F8189D8349E'~&~	~&~'1'~&~	~&~'Potato Farming'~&~	~&~'N'~&~	~&~'Y'~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'111219'~&~	~&~'486D34788C0FC267E0404F8189D8349E'~&~	~&~'1'~&~	~&~'Other Vegetable (except Potato) and Melon Farming'~&~	~&~'N'~&~	~&~'Y'~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'1113'~&~	~&~'486D34788800C267E0404F8189D8349E'~&~	~&~'1'~&~	~&~'Fruit and Tree Nut Farming'~&~	~&~'Y'~&~	~&~'N'~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'11131'~&~	~&~'486D3478893FC267E0404F8189D8349E'~&~	~&~'1'~&~	~&~'Orange Groves'~&~	~&~'Y'~&~	~&~'N'~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'111310'~&~	~&~'486D34788C10C267E0404F8189D8349E'~&~	~&~'1'~&~	~&~'Orange Groves'~&~	~&~'N'~&~	~&~'Y'~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'11132'~&~	~&~'486D34788940C267E0404F8189D8349E'~&~	~&~'1'~&~	~&~'Citrus (except Orange) Groves'~&~	~&~'Y'~&~	~&~'N'~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'111320'~&~	~&~'486D34788C11C267E0404F8189D8349E'~&~	~&~'1'~&~	~&~'Citrus (except Orange) Groves'~&~	~&~'N'~&~	~&~'Y'~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'11133'~&~	~&~'486D34788941C267E0404F8189D8349E'~&~	~&~'1'~&~	~&~'Noncitrus Fruit and Tree Nut Farming'~&~	~&~'Y'~&~	~&~'N'~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'111331'~&~	~&~'486D34788C12C267E0404F8189D8349E'~&~	~&~'1'~&~	~&~'Apple Orchards'~&~	~&~'N'~&~	~&~'Y'~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'111332'~&~	~&~'486D34788C13C267E0404F8189D8349E'~&~	~&~'1'~&~	~&~'Grape Vineyards'~&~	~&~'N'~&~	~&~'Y'~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'111333'~&~	~&~'486D34788C14C267E0404F8189D8349E'~&~	~&~'1'~&~	~&~'Strawberry Farming'~&~	~&~'N'~&~	~&~'Y'~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'111334'~&~	~&~'486D34788C15C267E0404F8189D8349E'~&~	~&~'1'~&~	~&~'Berry (except Strawberry) Farming'~&~	~&~'N'~&~	~&~'Y'~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'111335'~&~	~&~'486D34788C16C267E0404F8189D8349E'~&~	~&~'1'~&~	~&~'Tree Nut Farming'~&~	~&~'N'~&~	~&~'Y'~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'111336'~&~	~&~'486D34788C17C267E0404F8189D8349E'~&~	~&~'1'~&~	~&~'Fruit and Tree Nut Combination Farming'~&~	~&~'N'~&~	~&~'Y'~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'111339'~&~	~&~'486D34788C18C267E0404F8189D8349E'~&~	~&~'1'~&~	~&~'Other Noncitrus Fruit Farming'~&~	~&~'N'~&~	~&~'N'~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'1114'~&~	~&~'486D34788801C267E0404F8189D8349E'~&~	~&~'1'~&~	~&~'Greenhouse, Nursery, and Floriculture Production'~&~	~&~'Y'~&~	~&~'N'~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'11141'~&~	~&~'486D34788942C267E0404F8189D8349E'~&~	~&~'1'~&~	~&~'Food Crops Grown Under Cover'~&~	~&~'Y'~&~	~&~'N'~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'111411'~&~	~&~'486D34788C19C267E0404F8189D8349E'~&~	~&~'1'~&~	~&~'Mushroom Production'~&~	~&~'N'~&~	~&~'N'~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'111419'~&~	~&~'486D34788C1AC267E0404F8189D8349E'~&~	~&~'1'~&~	~&~'Other Food Crops Grown Under Cover'~&~	~&~'N'~&~	~&~'N'~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'11142'~&~	~&~'486D34788943C267E0404F8189D8349E'~&~	~&~'1'~&~	~&~'Nursery and Floriculture Production'~&~	~&~'Y'~&~	~&~'N'~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'111421'~&~	~&~'486D34788C1BC267E0404F8189D8349E'~&~	~&~'1'~&~	~&~'Nursery and Tree Production'~&~	~&~'N'~&~	~&~'N'~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'111422'~&~	~&~'486D34788C1CC267E0404F8189D8349E'~&~	~&~'1'~&~	~&~'Floriculture Production'~&~	~&~'N'~&~	~&~'N'~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'1119'~&~	~&~'486D34788802C267E0404F8189D8349E'~&~	~&~'1'~&~	~&~'Other Crop Farming'~&~	~&~'Y'~&~	~&~'N'~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'11191'~&~	~&~'486D34788944C267E0404F8189D8349E'~&~	~&~'1'~&~	~&~'Tobacco Farming'~&~	~&~'Y'~&~	~&~'N'~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'111910'~&~	~&~'486D34788C1DC267E0404F8189D8349E'~&~	~&~'1'~&~	~&~'Tobacco Farming'~&~	~&~'N'~&~	~&~'N'~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'11192'~&~	~&~'486D34788945C267E0404F8189D8349E'~&~	~&~'1'~&~	~&~'Cotton Farming'~&~	~&~'Y'~&~	~&~'N'~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'111920'~&~	~&~'486D34788C1EC267E0404F8189D8349E'~&~	~&~'1'~&~	~&~'Cotton Farming'~&~	~&~'N'~&~	~&~'N'~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'11193'~&~	~&~'486D34788946C267E0404F8189D8349E'~&~	~&~'1'~&~	~&~'Sugarcane Farming'~&~	~&~'Y'~&~	~&~'N'~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
