HEADER[~&~	~&~VNDR_PMT_TERM_CD::VARCHAR~&~	~&~OBJ_ID::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~VNDR_DSCT_DUE_TYP_DESC::VARCHAR~&~	~&~VNDR_DSCT_DUE_NBR::DECIMAL~&~	~&~VNDR_PMT_TERM_PCT::DECIMAL~&~	~&~VNDR_NET_DUE_TYP_DESC::VARCHAR~&~	~&~VNDR_NET_DUE_NBR::DECIMAL~&~	~&~VNDR_PMT_TERM_DESC::VARCHAR~&~	~&~DOBJ_MAINT_CD_ACTV_IND::VARCHAR~&~	~&~]HEADER
RECORD[~&~	~&~'00N05'~&~	~&~'47B7D6ED-99EA-740C-1F91-308B0C32D782'~&~	~&~'1'~&~	~&~'days'~&~	~&~'5'~&~	~&~'0.000'~&~	~&~'days'~&~	~&~'5'~&~	~&~'Net 5 Days'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'00N07'~&~	~&~'DEA6BCFF-F013-9958-6D12-8BA1055D5A77'~&~	~&~'1'~&~	~&~'days'~&~	~&~'7'~&~	~&~'0.000'~&~	~&~'days'~&~	~&~'7'~&~	~&~'Net 7 Days'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'00N10'~&~	~&~'D8D65C03-A2C6-AB70-B23C-0BC9CF9C1F3F'~&~	~&~'1'~&~	~&~'days'~&~	~&~'10'~&~	~&~'0.000'~&~	~&~'days'~&~	~&~'10'~&~	~&~'Net 10 Days'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'00N14'~&~	~&~'A2260C40-04A5-AE55-FD84-5AF008EC574C'~&~	~&~'1'~&~	~&~'days'~&~	~&~'14'~&~	~&~'0.000'~&~	~&~'days'~&~	~&~'12'~&~	~&~'Net 14 Days'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'00N15'~&~	~&~'CCD2D3ED-D06A-7751-C56F-C64C739ABE79'~&~	~&~'1'~&~	~&~'days'~&~	~&~'15'~&~	~&~'0.000'~&~	~&~'days'~&~	~&~'13'~&~	~&~'Net 15 Days'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'00N1T'~&~	~&~'89138CE9-35B2-1914-7440-07A898F2449F'~&~	~&~'3'~&~	~&~'date'~&~	~&~'10'~&~	~&~'0.000'~&~	~&~'days'~&~	~&~'10'~&~	~&~'Net 10th Prox'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'00N20'~&~	~&~'F79050EC-CF81-CEA4-01F1-46EDC7A4145B'~&~	~&~'1'~&~	~&~'days'~&~	~&~'20'~&~	~&~'0.000'~&~	~&~'days'~&~	~&~'18'~&~	~&~'Net 20 Days'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'00N25'~&~	~&~'EACCD1C0-3D31-0E3A-DC02-D3C0926F4213'~&~	~&~'1'~&~	~&~'days'~&~	~&~'25'~&~	~&~'0.000'~&~	~&~'days'~&~	~&~'23'~&~	~&~'Net 25 Days'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'00N2T'~&~	~&~'9F96DA57-2DB2-792E-8F4E-3DD4EA7A975C'~&~	~&~'1'~&~	~&~'date'~&~	~&~'10'~&~	~&~'0.000'~&~	~&~'date'~&~	~&~'25'~&~	~&~'Net 10th or 25th Prox'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'00N30'~&~	~&~'3314E001-F54C-764C-9CD2-797E56E421D3'~&~	~&~'1'~&~	~&~'days'~&~	~&~'30'~&~	~&~'0.000'~&~	~&~'days'~&~	~&~'28'~&~	~&~'Net 30 Days'~&~	~&~'Y'~&~	~&~]RECORD
