HEADER[~&~	~&~VNDR_ADDR_GNRTD_ID::DECIMAL~&~	~&~OBJ_ID::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~VNDR_HDR_GNRTD_ID::DECIMAL~&~	~&~VNDR_DTL_ASND_ID::DECIMAL~&~	~&~VNDR_ADDR_TYP_CD::VARCHAR~&~	~&~VNDR_LN1_ADDR::VARCHAR~&~	~&~VNDR_LN2_ADDR::VARCHAR~&~	~&~VNDR_CTY_NM::VARCHAR~&~	~&~VNDR_ST_CD::VARCHAR~&~	~&~VNDR_ZIP_CD::VARCHAR~&~	~&~VNDR_CNTRY_CD::VARCHAR~&~	~&~VNDR_ATTN_NM::VARCHAR~&~	~&~VNDR_ADDR_INTL_PROV_NM::VARCHAR~&~	~&~VNDR_ADDR_EMAIL_ADDR::VARCHAR~&~	~&~VNDR_B2B_URL_ADDR::VARCHAR~&~	~&~VNDR_FAX_NBR::VARCHAR~&~	~&~VNDR_DFLT_ADDR_IND::VARCHAR~&~	~&~DOBJ_MAINT_CD_ACTV_IND::VARCHAR~&~	~&~]HEADER
RECORD[~&~	~&~'1000'~&~	~&~'6D8A4A59-628F-2905-FB86-9E2F81EE6C33'~&~	~&~'5'~&~	~&~'1000'~&~	~&~'0'~&~	~&~'PO'~&~	~&~'123456 BROAD ST'~&~	~&~NULL~&~	~&~'TRUMANSBURG'~&~	~&~'NY'~&~	~&~'14886'~&~	~&~'US'~&~	~&~'JACQUI SMITH'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'607-458-7899'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'1001'~&~	~&~'F04FA746-DC68-762A-AD63-1AA987A25410'~&~	~&~'2'~&~	~&~'1001'~&~	~&~'0'~&~	~&~'PO'~&~	~&~'341 PINE TREE RD'~&~	~&~NULL~&~	~&~'ITHACA'~&~	~&~'NY'~&~	~&~'14850'~&~	~&~'US'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'Y'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'1002'~&~	~&~'ECC2391A-5176-CB9E-69DC-0313623D49FC'~&~	~&~'3'~&~	~&~'1002'~&~	~&~'0'~&~	~&~'PO'~&~	~&~'3894 SOUTH STREET'~&~	~&~'P.O. BOX 3455'~&~	~&~'SPRINGFIELD'~&~	~&~'IL'~&~	~&~'33555'~&~	~&~'US'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'888-333-8888'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'1003'~&~	~&~'0908FCB4-75CD-D32A-516B-ACAAA0D1B745'~&~	~&~'1'~&~	~&~'1003'~&~	~&~'0'~&~	~&~'RM'~&~	~&~'ONE HAPPY PL'~&~	~&~NULL~&~	~&~'BLOOMINGTON'~&~	~&~'IN'~&~	~&~'47404'~&~	~&~'US'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'Y'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'1004'~&~	~&~'BEE0531F-0783-065F-FA87-E4E85B3A9646'~&~	~&~'2'~&~	~&~'1004'~&~	~&~'0'~&~	~&~'PO'~&~	~&~'4455 SUMMER STREET'~&~	~&~NULL~&~	~&~'CAPITAL CITY'~&~	~&~'AK'~&~	~&~'99443'~&~	~&~'US'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'555-555-5555'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'1005'~&~	~&~'4FDC78B2-8637-7418-D168-1EF04DC1E677'~&~	~&~'2'~&~	~&~'1005'~&~	~&~'0'~&~	~&~'PO'~&~	~&~'8877 FIFTH STREET'~&~	~&~'APARTMENT D'~&~	~&~'LAKEVIEW'~&~	~&~'HI'~&~	~&~'99778'~&~	~&~'US'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'554-555-3344'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'1006'~&~	~&~'1092D725-C189-4C81-97D0-AAA3A6D53303'~&~	~&~'1'~&~	~&~'1006'~&~	~&~'0'~&~	~&~'RM'~&~	~&~'1212 4TH ST'~&~	~&~NULL~&~	~&~'BLOOMINGTON'~&~	~&~'IN'~&~	~&~'47404'~&~	~&~'US'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'N'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'1007'~&~	~&~'8AE678EB-9FC2-3F09-13A9-F5A0365FC003'~&~	~&~'1'~&~	~&~'1006'~&~	~&~'0'~&~	~&~'RM'~&~	~&~'1214 8TH ST'~&~	~&~NULL~&~	~&~'BLOOMINGTON'~&~	~&~'IN'~&~	~&~'47404'~&~	~&~'US'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'Y'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'1008'~&~	~&~'10EDBBA1-44E1-4D57-5FBD-CB9E48D42F83'~&~	~&~'1'~&~	~&~'1002'~&~	~&~'1'~&~	~&~'PO'~&~	~&~'8822 MAPLE DRIVE'~&~	~&~NULL~&~	~&~'SPECIAL CITY'~&~	~&~'VT'~&~	~&~'33444'~&~	~&~'US'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'Y'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'1009'~&~	~&~'E3BF7DF9-F13F-F44F-0543-02052A3D55FF'~&~	~&~'1'~&~	~&~'1006'~&~	~&~'1'~&~	~&~'RM'~&~	~&~'7000 CATFISH PL'~&~	~&~NULL~&~	~&~'BLOOMINGTON'~&~	~&~'IN'~&~	~&~'47408'~&~	~&~'US'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'Y'~&~	~&~'Y'~&~	~&~]RECORD
