HEADER[~&~	~&~VNDR_CNTCT_GNRTD_ID::DECIMAL~&~	~&~OBJ_ID::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~VNDR_HDR_GNRTD_ID::DECIMAL~&~	~&~VNDR_DTL_ASND_ID::DECIMAL~&~	~&~VNDR_CNTCT_TYP_CD::VARCHAR~&~	~&~VNDR_CNTCT_NM::VARCHAR~&~	~&~VNDR_CNTCT_EMAIL_ADDR::VARCHAR~&~	~&~VNDR_CNTCT_CMNT_TXT::VARCHAR~&~	~&~VNDR_LN1_ADDR::VARCHAR~&~	~&~VNDR_LN2_ADDR::VARCHAR~&~	~&~VNDR_CTY_NM::VARCHAR~&~	~&~VNDR_ST_CD::VARCHAR~&~	~&~VNDR_ZIP_CD::VARCHAR~&~	~&~VNDR_CNTRY_CD::VARCHAR~&~	~&~VNDR_ATTN_NM::VARCHAR~&~	~&~VNDR_ADDR_INTL_PROV_NM::VARCHAR~&~	~&~DOBJ_MAINT_CD_ACTV_IND::VARCHAR~&~	~&~]HEADER
RECORD[~&~	~&~'1000'~&~	~&~'B4D4FDDE-99A1-ED2E-26C6-EB479F997ADC'~&~	~&~'5'~&~	~&~'1000'~&~	~&~'0'~&~	~&~'AR'~&~	~&~'Kelly Adams'~&~	~&~NULL~&~	~&~'Make sure you have a customer number'~&~	~&~'PO BOX 14456'~&~	~&~NULL~&~	~&~'TRUMANSBURG'~&~	~&~'NY'~&~	~&~'14886'~&~	~&~'US'~&~	~&~'ACCOUNTS RECEIVABLE DEPARTMENT'~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'1001'~&~	~&~'A0497352-7990-D1CE-A639-E85CA9724D06'~&~	~&~'2'~&~	~&~'1001'~&~	~&~'0'~&~	~&~'IS'~&~	~&~'William Bowen'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'1002'~&~	~&~'B955E6A4-C3B8-4DB3-F1F7-FE4B180FC371'~&~	~&~'3'~&~	~&~'1002'~&~	~&~'0'~&~	~&~'CS'~&~	~&~'James Caan'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'1003'~&~	~&~'02C1600A-2042-18B3-91EE-10FC7EFE90F0'~&~	~&~'2'~&~	~&~'1010'~&~	~&~'0'~&~	~&~'SR'~&~	~&~'Sam Smith'~&~	~&~NULL~&~	~&~'Knows his subject matter well.'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'1004'~&~	~&~'00463961-9283-9AEC-F881-DE6B48678423'~&~	~&~'2'~&~	~&~'1011'~&~	~&~'0'~&~	~&~'AR'~&~	~&~'Sami Brady'~&~	~&~NULL~&~	~&~NULL~&~	~&~'8800 S. STREET'~&~	~&~NULL~&~	~&~'SALEM'~&~	~&~'MA'~&~	~&~'99844'~&~	~&~'US'~&~	~&~NULL~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'1005'~&~	~&~'080D5DB2-D502-2493-559A-449E9369060C'~&~	~&~'2'~&~	~&~'1011'~&~	~&~'0'~&~	~&~'CS'~&~	~&~'Anyone who answers'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'1006'~&~	~&~'BD89037F-32B2-D48B-1350-0834BAF52163'~&~	~&~'2'~&~	~&~'1014'~&~	~&~'0'~&~	~&~'TS'~&~	~&~'James'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'1007'~&~	~&~'406378FC-FDB8-F9A7-EB85-B7DA091FD175'~&~	~&~'2'~&~	~&~'1014'~&~	~&~'0'~&~	~&~'AR'~&~	~&~'Sam'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'1008'~&~	~&~'9F22BDF6-633D-AA58-5FB8-7F95F82CE0D6'~&~	~&~'2'~&~	~&~'1015'~&~	~&~'0'~&~	~&~'CS'~&~	~&~'Joe Bond'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'1009'~&~	~&~'9ADDCDBD-ED26-B372-2D0B-7F82548503ED'~&~	~&~'1'~&~	~&~'1014'~&~	~&~'3'~&~	~&~'AR'~&~	~&~'James'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
