HEADER[~&~	~&~VNDR_HDR_GNRTD_ID::DECIMAL~&~	~&~VNDR_DTL_ASND_ID::DECIMAL~&~	~&~OBJ_ID::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~VNDR_PARENT_IND::VARCHAR~&~	~&~VNDR_NM::VARCHAR~&~	~&~DOBJ_MAINT_CD_ACTV_IND::VARCHAR~&~	~&~VNDR_INACTV_REAS_CD::VARCHAR~&~	~&~VNDR_DUNS_NBR::VARCHAR~&~	~&~VNDR_PMT_TERM_CD::VARCHAR~&~	~&~VNDR_SHP_TTL_CD::VARCHAR~&~	~&~VNDR_SHP_PMT_TERM_CD::VARCHAR~&~	~&~VNDR_CNFM_IND::VARCHAR~&~	~&~VNDR_PRPYMT_IND::VARCHAR~&~	~&~VNDR_CCRD_IND::VARCHAR~&~	~&~VNDR_MIN_ORD_AMT::DECIMAL~&~	~&~VNDR_URL_ADDR::VARCHAR~&~	~&~VNDR_SOLD_TO_NM::VARCHAR~&~	~&~VNDR_RMT_NM::VARCHAR~&~	~&~VNDR_RSTRC_IND::VARCHAR~&~	~&~VNDR_RSTRC_REAS_TXT::VARCHAR~&~	~&~VNDR_RSTRC_DT::TIMESTAMP~&~	~&~VNDR_RSTRC_PRSN_ID::VARCHAR~&~	~&~VNDR_SOLD_TO_GNRTD_ID::DECIMAL~&~	~&~VNDR_SOLD_TO_ASND_ID::DECIMAL~&~	~&~VNDR_1ST_LST_NM_IND::VARCHAR~&~	~&~COLLECT_TAX_IND::VARCHAR~&~	~&~]HEADER
RECORD[~&~	~&~'1000'~&~	~&~'0'~&~	~&~'8C3AE2E0-2002-9057-8962-D5D6D7A812ED'~&~	~&~'5'~&~	~&~'Y'~&~	~&~'ABC CLEANING SERVICES'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~'00N30'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'N'~&~	~&~'N'~&~	~&~NULL~&~	~&~NULL~&~	~&~'BASIC CORP ACTIVE'~&~	~&~NULL~&~	~&~'N'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'1003'~&~	~&~'0'~&~	~&~'N'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'1001'~&~	~&~'0'~&~	~&~'4F0DAAFD-0B35-7BB5-29A2-CFDA1E8C48E7'~&~	~&~'2'~&~	~&~'Y'~&~	~&~'KUALI UNIVERSITY'~&~	~&~'Y'~&~	~&~NULL~&~	~&~'002254837'~&~	~&~'00N30'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'www.kualiu.edu'~&~	~&~NULL~&~	~&~NULL~&~	~&~'N'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'N'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'1001'~&~	~&~'1'~&~	~&~'1CCB3086-B04C-DCDC-17E9-B123715BB336'~&~	~&~'2'~&~	~&~'N'~&~	~&~'VETERINARY COLLEGE'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'N'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'1001'~&~	~&~'2'~&~	~&~'45C13FFB-864C-876D-CCFE-2A4B1A4A9946'~&~	~&~'2'~&~	~&~'N'~&~	~&~'ART MUSEUM'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'N'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'1002'~&~	~&~'0'~&~	~&~'816BAE71-0927-BD01-F723-579D57218250'~&~	~&~'3'~&~	~&~'Y'~&~	~&~'MK CORPORATION ACTIVE'~&~	~&~'Y'~&~	~&~NULL~&~	~&~'334558446'~&~	~&~'00N30'~&~	~&~'DE'~&~	~&~'PD'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'N'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'1002'~&~	~&~'1'~&~	~&~'EFCEAF10-D034-49AD-AB99-72814E4D897D'~&~	~&~'1'~&~	~&~'N'~&~	~&~'DIVISION OF MARILYN CORPORATION'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~'10D1T'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'N'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'1003'~&~	~&~'0'~&~	~&~'3A186BC5-6746-BF6D-4FBD-575E0D615039'~&~	~&~'1'~&~	~&~'Y'~&~	~&~'BASIC CORP ACTIVE'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'N'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'N'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'1004'~&~	~&~'0'~&~	~&~'5E35E734-51D4-6FE7-99CF-556006EDEBFF'~&~	~&~'2'~&~	~&~'Y'~&~	~&~'DEBARRED VENDOR'~&~	~&~'Y'~&~	~&~NULL~&~	~&~'778888665'~&~	~&~'20D10'~&~	~&~'DE'~&~	~&~'AL'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'N'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'1005'~&~	~&~'0'~&~	~&~'9E1B372B-5E6E-AFD6-BE8C-152D65A59D57'~&~	~&~'2'~&~	~&~'Y'~&~	~&~'RESTRICTED LEGAL SERVICES VENDOR'~&~	~&~'Y'~&~	~&~NULL~&~	~&~'888777666'~&~	~&~'05D10'~&~	~&~'SP'~&~	~&~'PD'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'Y'~&~	~&~'This company sells restricted material'~&~	~&~'1178596800000'~&~	~&~'6162502038'~&~	~&~NULL~&~	~&~NULL~&~	~&~'N'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'1006'~&~	~&~'0'~&~	~&~'60F4D993-1D5B-A1CD-72A1-2F530DDE76AC'~&~	~&~'1'~&~	~&~'Y'~&~	~&~'MULTIPLE COLLECTION CORP'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'Y'~&~	~&~NULL~&~	~&~'1178596800000'~&~	~&~'6276904397'~&~	~&~NULL~&~	~&~NULL~&~	~&~'N'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'1006'~&~	~&~'1'~&~	~&~'96B206C4-603D-8DF4-5B25-0A3FC06E4A51'~&~	~&~'1'~&~	~&~'N'~&~	~&~'SAMMY'S SURPLUS STORE'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'N'~&~	~&~'Y'~&~	~&~]RECORD
