HEADER[~&~	~&~CAMPUS_CD::VARCHAR~&~	~&~BLDG_CD::VARCHAR~&~	~&~OBJ_ID::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~BLDG_NM::VARCHAR~&~	~&~BLDG_STR_ADDR::VARCHAR~&~	~&~BLDG_ADDR_CTY_NM::VARCHAR~&~	~&~BLDG_ADDR_ST_CD::VARCHAR~&~	~&~BLDG_ADDR_ZIP_CD::VARCHAR~&~	~&~ALTRNT_BLDG_CD::VARCHAR~&~	~&~ROW_ACTV_IND::VARCHAR~&~	~&~BLDG_ADDR_CNTRY_CD::VARCHAR~&~	~&~]HEADER
RECORD[~&~	~&~'BL'~&~	~&~'BL001'~&~	~&~'440146BC1FC980DAE043814FD88180DA'~&~	~&~'1'~&~	~&~'Law'~&~	~&~'211 S Indiana Ave'~&~	~&~'Bloomington'~&~	~&~'IN'~&~	~&~'47405-7001'~&~	~&~NULL~&~	~&~'Y'~&~	~&~'US'~&~	~&~]RECORD
RECORD[~&~	~&~'BL'~&~	~&~'BL009'~&~	~&~'440146BC1FCA80DAE043814FD88180DA'~&~	~&~'1'~&~	~&~'Poplars Parking'~&~	~&~'6th St & Dunn St'~&~	~&~'Bloomington'~&~	~&~'IN'~&~	~&~'47405'~&~	~&~NULL~&~	~&~'Y'~&~	~&~'US'~&~	~&~]RECORD
RECORD[~&~	~&~'BL'~&~	~&~'BL009C'~&~	~&~'440146BC1FCB80DAE043814FD88180DA'~&~	~&~'1'~&~	~&~'International Programs'~&~	~&~'201 N Indiana Ave'~&~	~&~'Bloomington'~&~	~&~'IN'~&~	~&~'47408-4001'~&~	~&~NULL~&~	~&~'Y'~&~	~&~'US'~&~	~&~]RECORD
RECORD[~&~	~&~'BL'~&~	~&~'BL011'~&~	~&~'440146BC1FCC80DAE043814FD88180DA'~&~	~&~'1'~&~	~&~'Mathers Museum'~&~	~&~'601 E 8th St'~&~	~&~'Bloomington'~&~	~&~'IN'~&~	~&~'47408-3812'~&~	~&~NULL~&~	~&~'Y'~&~	~&~'US'~&~	~&~]RECORD
RECORD[~&~	~&~'BL'~&~	~&~'BL011K'~&~	~&~'440146BC1FCD80DAE043814FD88180DA'~&~	~&~'1'~&~	~&~'CRAFT'~&~	~&~'419 N Indiana Ave'~&~	~&~'Bloomington'~&~	~&~'IN'~&~	~&~'47408-3741'~&~	~&~NULL~&~	~&~'Y'~&~	~&~'US'~&~	~&~]RECORD
RECORD[~&~	~&~'BL'~&~	~&~'BL013'~&~	~&~'440146BC1FCE80DAE043814FD88180DA'~&~	~&~'1'~&~	~&~'Glenn Black Lab'~&~	~&~'423 N Fess Ave'~&~	~&~'Bloomington'~&~	~&~'IN'~&~	~&~'47408-3800'~&~	~&~NULL~&~	~&~'Y'~&~	~&~'US'~&~	~&~]RECORD
RECORD[~&~	~&~'BL'~&~	~&~'BL013A'~&~	~&~'440146BC1FCF80DAE043814FD88180DA'~&~	~&~'1'~&~	~&~'Student Legal Services'~&~	~&~'703 E 7th St'~&~	~&~'Bloomington'~&~	~&~'IN'~&~	~&~'47408-3836'~&~	~&~NULL~&~	~&~'Y'~&~	~&~'US'~&~	~&~]RECORD
RECORD[~&~	~&~'BL'~&~	~&~'BL013B'~&~	~&~'440146BC1FD080DAE043814FD88180DA'~&~	~&~'1'~&~	~&~'Student Ethics/Alcohol-Drug Info Center'~&~	~&~'705 E 7th St'~&~	~&~'Bloomington'~&~	~&~'IN'~&~	~&~'47408-3836'~&~	~&~NULL~&~	~&~'Y'~&~	~&~'US'~&~	~&~]RECORD
RECORD[~&~	~&~'BL'~&~	~&~'BL013Y'~&~	~&~'440146BC1FD180DAE043814FD88180DA'~&~	~&~'1'~&~	~&~'Latino Cultural Center'~&~	~&~'715 E 7th St'~&~	~&~'Bloomington'~&~	~&~'IN'~&~	~&~'47408-3836'~&~	~&~NULL~&~	~&~'Y'~&~	~&~'US'~&~	~&~]RECORD
RECORD[~&~	~&~'BL'~&~	~&~'BL014B'~&~	~&~'440146BC1FD280DAE043814FD88180DA'~&~	~&~'1'~&~	~&~'701 E 8th St'~&~	~&~'701 E 8th St'~&~	~&~'Bloomington'~&~	~&~'IN'~&~	~&~'47408-3840'~&~	~&~NULL~&~	~&~'Y'~&~	~&~'US'~&~	~&~]RECORD
