HEADER[~&~	~&~UNIV_DT::TIMESTAMP~&~	~&~OBJ_ID::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~UNIV_FISCAL_YR::DECIMAL~&~	~&~UNIV_FISCAL_PRD_CD::VARCHAR~&~	~&~]HEADER
RECORD[~&~	~&~'200707010000000000'~&~	~&~'683D47188F6089DBE0404F8189D81447'~&~	~&~'1'~&~	~&~'2008'~&~	~&~'01'~&~	~&~]RECORD
RECORD[~&~	~&~'200707020000000000'~&~	~&~'683D47188F6189DBE0404F8189D81447'~&~	~&~'1'~&~	~&~'2008'~&~	~&~'01'~&~	~&~]RECORD
RECORD[~&~	~&~'200707030000000000'~&~	~&~'683D47188F6289DBE0404F8189D81447'~&~	~&~'1'~&~	~&~'2008'~&~	~&~'01'~&~	~&~]RECORD
RECORD[~&~	~&~'200707040000000000'~&~	~&~'683D47188F6389DBE0404F8189D81447'~&~	~&~'1'~&~	~&~'2008'~&~	~&~'01'~&~	~&~]RECORD
RECORD[~&~	~&~'200707050000000000'~&~	~&~'683D47188F6489DBE0404F8189D81447'~&~	~&~'1'~&~	~&~'2008'~&~	~&~'01'~&~	~&~]RECORD
RECORD[~&~	~&~'200707060000000000'~&~	~&~'683D47188F6589DBE0404F8189D81447'~&~	~&~'1'~&~	~&~'2008'~&~	~&~'01'~&~	~&~]RECORD
RECORD[~&~	~&~'200707070000000000'~&~	~&~'683D47188F6689DBE0404F8189D81447'~&~	~&~'1'~&~	~&~'2008'~&~	~&~'01'~&~	~&~]RECORD
RECORD[~&~	~&~'200707080000000000'~&~	~&~'683D47188F6789DBE0404F8189D81447'~&~	~&~'1'~&~	~&~'2008'~&~	~&~'01'~&~	~&~]RECORD
RECORD[~&~	~&~'200707090000000000'~&~	~&~'683D47188F6889DBE0404F8189D81447'~&~	~&~'1'~&~	~&~'2008'~&~	~&~'01'~&~	~&~]RECORD
RECORD[~&~	~&~'200707100000000000'~&~	~&~'683D47188F6989DBE0404F8189D81447'~&~	~&~'1'~&~	~&~'2008'~&~	~&~'01'~&~	~&~]RECORD
RECORD[~&~	~&~'200707110000000000'~&~	~&~'683D47188F6A89DBE0404F8189D81447'~&~	~&~'1'~&~	~&~'2008'~&~	~&~'01'~&~	~&~]RECORD
RECORD[~&~	~&~'200707120000000000'~&~	~&~'683D47188F6B89DBE0404F8189D81447'~&~	~&~'1'~&~	~&~'2008'~&~	~&~'01'~&~	~&~]RECORD
