HEADER[~&~	~&~NMSPC_CD::VARCHAR~&~	~&~CMPNT_CD::VARCHAR~&~	~&~OBJ_ID::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~NM::VARCHAR~&~	~&~ACTV_IND::CHAR~&~	~&~]HEADER
RECORD[~&~	~&~'KR-IDM'~&~	~&~'All'~&~	~&~'69A9BABE4A0BBD56E0404F8189D82B0F'~&~	~&~'1'~&~	~&~'All'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KR-IDM'~&~	~&~'Batch'~&~	~&~'69A9BABE4A0CBD56E0404F8189D82B0F'~&~	~&~'1'~&~	~&~'Batch'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KR-IDM'~&~	~&~'Document'~&~	~&~'69A9BABE4A0DBD56E0404F8189D82B0F'~&~	~&~'1'~&~	~&~'Document'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KR-IDM'~&~	~&~'Lookup'~&~	~&~'69A9BABE4A0EBD56E0404F8189D82B0F'~&~	~&~'1'~&~	~&~'Lookup'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KR-IDM'~&~	~&~'PurgePendingAttachmentsStep'~&~	~&~'69A9BABE4A0FBD56E0404F8189D82B0F'~&~	~&~'1'~&~	~&~'Purge Pending Attachments Step'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KR-IDM'~&~	~&~'PurgeSessionDocumentsStep'~&~	~&~'69A9BABE4A10BD56E0404F8189D82B0F'~&~	~&~'1'~&~	~&~'Purge Session Documents Step'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KR-IDM'~&~	~&~'ScheduleStep'~&~	~&~'69A9BABE4A11BD56E0404F8189D82B0F'~&~	~&~'1'~&~	~&~'Schedule Step'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KR-NS'~&~	~&~'All'~&~	~&~'53680C68F596AD9BE0404F8189D80A6C'~&~	~&~'1'~&~	~&~'All'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KR-NS'~&~	~&~'Batch'~&~	~&~'53680C68F597AD9BE0404F8189D80A6C'~&~	~&~'1'~&~	~&~'Batch'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KR-NS'~&~	~&~'Document'~&~	~&~'53680C68F598AD9BE0404F8189D80A6C'~&~	~&~'1'~&~	~&~'Document'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KR-NS'~&~	~&~'Lookup'~&~	~&~'53680C68F599AD9BE0404F8189D80A6C'~&~	~&~'1'~&~	~&~'Lookup'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KR-NS'~&~	~&~'PurgePendingAttachmentsStep'~&~	~&~'5A689075D3577AEBE0404F8189D80321'~&~	~&~'1'~&~	~&~'Purge Pending Attachments Step'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KR-NS'~&~	~&~'PurgeSessionDocumentsStep'~&~	~&~'5A689075D3567AEBE0404F8189D80321'~&~	~&~'1'~&~	~&~'Purge Session Documents Step'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KR-NS'~&~	~&~'ScheduleStep'~&~	~&~'5A689075D3587AEBE0404F8189D80321'~&~	~&~'1'~&~	~&~'Schedule Step'~&~	~&~'Y'~&~	~&~]RECORD
