HEADER[~&~	~&~DOC_TYP_ID::VARCHAR~&~	~&~PARNT_ID::VARCHAR~&~	~&~DOC_TYP_NM::VARCHAR~&~	~&~DOC_TYP_VER_NBR::DECIMAL~&~	~&~ACTV_IND::DECIMAL~&~	~&~CUR_IND::DECIMAL~&~	~&~LBL::VARCHAR~&~	~&~PREV_DOC_TYP_VER_NBR::VARCHAR~&~	~&~DOC_TYP_DESC::VARCHAR~&~	~&~DOC_HDLR_URL::VARCHAR~&~	~&~POST_PRCSR::VARCHAR~&~	~&~JNDI_URL::VARCHAR~&~	~&~BLNKT_APPR_PLCY::VARCHAR~&~	~&~ADV_DOC_SRCH_URL::VARCHAR~&~	~&~RTE_VER_NBR::VARCHAR~&~	~&~NOTIFY_ADDR::VARCHAR~&~	~&~APPL_ID::VARCHAR~&~	~&~EMAIL_XSL::VARCHAR~&~	~&~SEC_XML::LONGVARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~BLNKT_APPR_GRP_ID::VARCHAR~&~	~&~RPT_GRP_ID::VARCHAR~&~	~&~GRP_ID::VARCHAR~&~	~&~HELP_DEF_URL::VARCHAR~&~	~&~OBJ_ID::VARCHAR~&~	~&~DOC_SEARCH_HELP_URL::VARCHAR~&~	~&~DOC_HDR_ID::VARCHAR~&~	~&~AUTHORIZER::VARCHAR~&~	~&~]HEADER
RECORD[~&~	~&~'2011'~&~	~&~'2681'~&~	~&~'DocumentTypeDocument'~&~	~&~'0'~&~	~&~'1'~&~	~&~'1'~&~	~&~'Workflow Maintenance Document Type Document'~&~	~&~NULL~&~	~&~'Workflow Maintenance Document Type Document'~&~	~&~'${kr.url}/maintenance.do?methodToCall=docHandler'~&~	~&~'org.kuali.rice.krad.workflow.postprocessor.KualiPostProcessor'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'2'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'0'~&~	~&~'1'~&~	~&~NULL~&~	~&~'1'~&~	~&~'default.htm?turl=WordDocuments%2Fdocumenttype.htm'~&~	~&~'6166CBA1BA5D644DE0404F8189D86C09'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2012'~&~	~&~'2681'~&~	~&~'RoutingRuleDocument'~&~	~&~'0'~&~	~&~'1'~&~	~&~'1'~&~	~&~'Rule Maintenance Document Type Document'~&~	~&~NULL~&~	~&~'Rule Maintenance Document Type Document'~&~	~&~'${kr.url}/maintenance.do?methodToCall=docHandler'~&~	~&~'org.kuali.rice.krad.workflow.postprocessor.KualiPostProcessor'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'2'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'0'~&~	~&~'1'~&~	~&~NULL~&~	~&~'1'~&~	~&~NULL~&~	~&~'6166CBA1BA5E644DE0404F8189D86C09'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2023'~&~	~&~NULL~&~	~&~'KualiNotification'~&~	~&~'0'~&~	~&~'1'~&~	~&~'1'~&~	~&~'Notification'~&~	~&~NULL~&~	~&~'This is the re-usable notification document type that will be used for delivering all notifications with KEW.'~&~	~&~'${ken.url}/DetailView.form'~&~	~&~'org.kuali.rice.ken.postprocessor.kew.NotificationPostProcessor'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'1'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'0'~&~	~&~'1'~&~	~&~NULL~&~	~&~'2000'~&~	~&~NULL~&~	~&~'6166CBA1BA69644DE0404F8189D86C09'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2024'~&~	~&~NULL~&~	~&~'SendNotificationRequest'~&~	~&~'0'~&~	~&~'1'~&~	~&~'1'~&~	~&~'Send Notification Request'~&~	~&~NULL~&~	~&~'Create a New Notification Request'~&~	~&~'${ken.url}/AdministerNotificationRequest.form'~&~	~&~'org.kuali.rice.ken.postprocessor.kew.NotificationSenderFormPostProcessor'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'2'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'0'~&~	~&~'1'~&~	~&~NULL~&~	~&~'1'~&~	~&~NULL~&~	~&~'6166CBA1BA6A644DE0404F8189D86C09'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2031'~&~	~&~'2681'~&~	~&~'NamespaceMaintenanceDocument'~&~	~&~'0'~&~	~&~'1'~&~	~&~'1'~&~	~&~'Namespace'~&~	~&~NULL~&~	~&~'Create/edit parameter namespaces'~&~	~&~'${kr.url}/maintenance.do?methodToCall=docHandler'~&~	~&~'org.kuali.rice.krad.workflow.postprocessor.KualiPostProcessor'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'2'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'0'~&~	~&~'1'~&~	~&~NULL~&~	~&~'1'~&~	~&~'default.htm?turl=WordDocuments%2Fnamespace.htm'~&~	~&~'6166CBA1BA71644DE0404F8189D86C09'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2032'~&~	~&~'2681'~&~	~&~'ParameterTypeMaintenanceDocument'~&~	~&~'0'~&~	~&~'1'~&~	~&~'1'~&~	~&~'Parameter Type Maintenance Document'~&~	~&~NULL~&~	~&~'Create/edit a parameter type'~&~	~&~'${kr.url}/maintenance.do?methodToCall=docHandler'~&~	~&~'org.kuali.rice.krad.workflow.postprocessor.KualiPostProcessor'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'2'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'0'~&~	~&~'1'~&~	~&~NULL~&~	~&~'1'~&~	~&~'default.htm?turl=WordDocuments%2Fparametertype.htm'~&~	~&~'6166CBA1BA72644DE0404F8189D86C09'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2033'~&~	~&~'2681'~&~	~&~'ParameterDetailTypeMaintenanceDocument'~&~	~&~'0'~&~	~&~'1'~&~	~&~'1'~&~	~&~'Parameter Detail Type Maintenance Document'~&~	~&~NULL~&~	~&~'Create/edit a parameter detail type'~&~	~&~'${kr.url}/maintenance.do?methodToCall=docHandler'~&~	~&~'org.kuali.rice.krad.workflow.postprocessor.KualiPostProcessor'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'2'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'0'~&~	~&~'1'~&~	~&~NULL~&~	~&~'1'~&~	~&~'default.htm?turl=WordDocuments%2Fparametercomponent.htm'~&~	~&~'6166CBA1BA73644DE0404F8189D86C09'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2034'~&~	~&~'2681'~&~	~&~'ParameterMaintenanceDocument'~&~	~&~'0'~&~	~&~'1'~&~	~&~'1'~&~	~&~'Parameter Maintenance Document'~&~	~&~NULL~&~	~&~'Create/edit a parameter'~&~	~&~'${kr.url}/maintenance.do?methodToCall=docHandler'~&~	~&~'org.kuali.rice.krad.workflow.postprocessor.KualiPostProcessor'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'2'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'0'~&~	~&~'1'~&~	~&~NULL~&~	~&~'1'~&~	~&~'default.htm?turl=WordDocuments%2Fparameter.htm'~&~	~&~'6166CBA1BA74644DE0404F8189D86C09'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2680'~&~	~&~NULL~&~	~&~'KualiDocument'~&~	~&~'0'~&~	~&~'1'~&~	~&~'1'~&~	~&~'KualiDocument'~&~	~&~NULL~&~	~&~'KualiDocument'~&~	~&~NULL~&~	~&~'org.kuali.rice.krad.workflow.postprocessor.KualiPostProcessor'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'2'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'0'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'6166CBA1BA81644DE0404F8189D86C09'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2681'~&~	~&~'2680'~&~	~&~'RiceDocument'~&~	~&~'0'~&~	~&~'1'~&~	~&~'1'~&~	~&~'Rice Document'~&~	~&~NULL~&~	~&~'Parent Document Type for all Rice Documents'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'2'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'0'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'6166CBA1BA82644DE0404F8189D86C09'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
