HEADER[~&~	~&~RTE_NODE_CFG_PARM_ID::VARCHAR~&~	~&~RTE_NODE_ID::VARCHAR~&~	~&~KEY_CD::VARCHAR~&~	~&~VAL::VARCHAR~&~	~&~]HEADER
RECORD[~&~	~&~'2012'~&~	~&~'2004'~&~	~&~'contentFragment'~&~	~&~'<start name="placeholder"><activationType>S</activationType></start>'~&~	~&~]RECORD
RECORD[~&~	~&~'2013'~&~	~&~'2004'~&~	~&~'activationType'~&~	~&~'S'~&~	~&~]RECORD
RECORD[~&~	~&~'2014'~&~	~&~'2004'~&~	~&~'ruleSelector'~&~	~&~'Template'~&~	~&~]RECORD
RECORD[~&~	~&~'2015'~&~	~&~'2006'~&~	~&~'contentFragment'~&~	~&~'<start name="placeholder"><activationType>S</activationType></start>'~&~	~&~]RECORD
RECORD[~&~	~&~'2016'~&~	~&~'2006'~&~	~&~'activationType'~&~	~&~'S'~&~	~&~]RECORD
RECORD[~&~	~&~'2017'~&~	~&~'2006'~&~	~&~'ruleSelector'~&~	~&~'Template'~&~	~&~]RECORD
RECORD[~&~	~&~'2118'~&~	~&~'2039'~&~	~&~'contentFragment'~&~	~&~'<start name="Adhoc Routing"><activationType>S</activationType><mandatoryRoute>false</mandatoryRoute><finalApproval>true</finalApproval></start>'~&~	~&~]RECORD
RECORD[~&~	~&~'2119'~&~	~&~'2039'~&~	~&~'activationType'~&~	~&~'S'~&~	~&~]RECORD
RECORD[~&~	~&~'2120'~&~	~&~'2039'~&~	~&~'mandatoryRoute'~&~	~&~'false'~&~	~&~]RECORD
RECORD[~&~	~&~'2121'~&~	~&~'2039'~&~	~&~'finalApproval'~&~	~&~'true'~&~	~&~]RECORD
RECORD[~&~	~&~'2122'~&~	~&~'2039'~&~	~&~'ruleSelector'~&~	~&~'Template'~&~	~&~]RECORD
RECORD[~&~	~&~'2123'~&~	~&~'2041'~&~	~&~'contentFragment'~&~	~&~'<start name="Initiated"><activationType>S</activationType></start>'~&~	~&~]RECORD
RECORD[~&~	~&~'2124'~&~	~&~'2041'~&~	~&~'activationType'~&~	~&~'S'~&~	~&~]RECORD
RECORD[~&~	~&~'2125'~&~	~&~'2041'~&~	~&~'ruleSelector'~&~	~&~'Template'~&~	~&~]RECORD
RECORD[~&~	~&~'2126'~&~	~&~'2042'~&~	~&~'contentFragment'~&~	~&~'<requests name="ReviewersNode"><ruleTemplate>ReviewersRouting</ruleTemplate></requests>'~&~	~&~]RECORD
RECORD[~&~	~&~'2127'~&~	~&~'2042'~&~	~&~'ruleTemplate'~&~	~&~'ReviewersRouting'~&~	~&~]RECORD
RECORD[~&~	~&~'2128'~&~	~&~'2042'~&~	~&~'ruleSelector'~&~	~&~'Template'~&~	~&~]RECORD
RECORD[~&~	~&~'2129'~&~	~&~'2043'~&~	~&~'contentFragment'~&~	~&~'<requests name="RequestsNode"><ruleTemplate>NotificationRouting</ruleTemplate></requests>'~&~	~&~]RECORD
RECORD[~&~	~&~'2130'~&~	~&~'2043'~&~	~&~'ruleTemplate'~&~	~&~'NotificationRouting'~&~	~&~]RECORD
RECORD[~&~	~&~'2131'~&~	~&~'2043'~&~	~&~'ruleSelector'~&~	~&~'Template'~&~	~&~]RECORD
RECORD[~&~	~&~'2170'~&~	~&~'2061'~&~	~&~'contentFragment'~&~	~&~'<start name="Initiated"><activationType>P</activationType><mandatoryRoute>false</mandatoryRoute><finalApproval>false</finalApproval></start>'~&~	~&~]RECORD
RECORD[~&~	~&~'2171'~&~	~&~'2061'~&~	~&~'activationType'~&~	~&~'P'~&~	~&~]RECORD
RECORD[~&~	~&~'2172'~&~	~&~'2061'~&~	~&~'mandatoryRoute'~&~	~&~'false'~&~	~&~]RECORD
RECORD[~&~	~&~'2173'~&~	~&~'2061'~&~	~&~'finalApproval'~&~	~&~'false'~&~	~&~]RECORD
RECORD[~&~	~&~'2174'~&~	~&~'2061'~&~	~&~'ruleSelector'~&~	~&~'Template'~&~	~&~]RECORD
