HEADER[~&~	~&~KIM_ATTR_DEFN_ID::VARCHAR~&~	~&~OBJ_ID::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~NM::VARCHAR~&~	~&~LBL::VARCHAR~&~	~&~ACTV_IND::VARCHAR~&~	~&~NMSPC_CD::VARCHAR~&~	~&~CMPNT_NM::VARCHAR~&~	~&~]HEADER
RECORD[~&~	~&~'1'~&~	~&~'5ADF18B6D4887954E0404F8189D85002'~&~	~&~'1'~&~	~&~'beanName'~&~	~&~NULL~&~	~&~'Y'~&~	~&~'KR-SYS'~&~	~&~'org.kuali.rice.kim.bo.impl.KimAttributes'~&~	~&~]RECORD
RECORD[~&~	~&~'10'~&~	~&~'5ADF18B6D4917954E0404F8189D85002'~&~	~&~'1'~&~	~&~'editMode'~&~	~&~NULL~&~	~&~'Y'~&~	~&~'KR-NS'~&~	~&~'org.kuali.rice.kim.bo.impl.KimAttributes'~&~	~&~]RECORD
RECORD[~&~	~&~'11'~&~	~&~'5ADF18B6D4927954E0404F8189D85002'~&~	~&~'1'~&~	~&~'parameterName'~&~	~&~NULL~&~	~&~'Y'~&~	~&~'KR-NS'~&~	~&~'org.kuali.rice.kim.bo.impl.KimAttributes'~&~	~&~]RECORD
RECORD[~&~	~&~'12'~&~	~&~'5ADF18B6D4937954E0404F8189D85002'~&~	~&~'1'~&~	~&~'campusCode'~&~	~&~NULL~&~	~&~'Y'~&~	~&~'KR-NS'~&~	~&~'org.kuali.rice.kim.bo.impl.KimAttributes'~&~	~&~]RECORD
RECORD[~&~	~&~'13'~&~	~&~'5ADF18B6D4947954E0404F8189D85002'~&~	~&~'1'~&~	~&~'documentTypeName'~&~	~&~NULL~&~	~&~'Y'~&~	~&~'KR-WKFLW'~&~	~&~'org.kuali.rice.kim.bo.impl.KimAttributes'~&~	~&~]RECORD
RECORD[~&~	~&~'14'~&~	~&~'5ADF18B6D4957954E0404F8189D85002'~&~	~&~'1'~&~	~&~'actionRequestCd'~&~	~&~NULL~&~	~&~'Y'~&~	~&~'KR-WKFLW'~&~	~&~'org.kuali.rice.kim.bo.impl.KimAttributes'~&~	~&~]RECORD
RECORD[~&~	~&~'15'~&~	~&~'5ADF18B6D4967954E0404F8189D85002'~&~	~&~'1'~&~	~&~'routeStatusCode'~&~	~&~NULL~&~	~&~'Y'~&~	~&~'KR-WKFLW'~&~	~&~'org.kuali.rice.kim.bo.impl.KimAttributes'~&~	~&~]RECORD
RECORD[~&~	~&~'16'~&~	~&~'5ADF18B6D4977954E0404F8189D85002'~&~	~&~'1'~&~	~&~'routeNodeName'~&~	~&~NULL~&~	~&~'Y'~&~	~&~'KR-WKFLW'~&~	~&~'org.kuali.rice.kim.bo.impl.KimAttributes'~&~	~&~]RECORD
RECORD[~&~	~&~'18'~&~	~&~'5ADF18B6D4997954E0404F8189D85002'~&~	~&~'1'~&~	~&~'roleName'~&~	~&~NULL~&~	~&~'Y'~&~	~&~'KR-IDM'~&~	~&~'org.kuali.rice.kim.bo.impl.KimAttributes'~&~	~&~]RECORD
RECORD[~&~	~&~'19'~&~	~&~'5ADF18B6D49A7954E0404F8189D85002'~&~	~&~'1'~&~	~&~'permissionName'~&~	~&~NULL~&~	~&~'Y'~&~	~&~'KR-IDM'~&~	~&~'org.kuali.rice.kim.bo.impl.KimAttributes'~&~	~&~]RECORD
RECORD[~&~	~&~'2'~&~	~&~'5ADF18B6D4897954E0404F8189D85002'~&~	~&~'1'~&~	~&~'actionClass'~&~	~&~NULL~&~	~&~'Y'~&~	~&~'KR-SYS'~&~	~&~'org.kuali.rice.kim.bo.impl.KimAttributes'~&~	~&~]RECORD
RECORD[~&~	~&~'20'~&~	~&~'5ADF18B6D49B7954E0404F8189D85002'~&~	~&~'1'~&~	~&~'responsibilityName'~&~	~&~NULL~&~	~&~'Y'~&~	~&~'KR-IDM'~&~	~&~'org.kuali.rice.kim.bo.impl.KimAttributes'~&~	~&~]RECORD
RECORD[~&~	~&~'21'~&~	~&~'5ADF18B6D49C7954E0404F8189D85002'~&~	~&~'1'~&~	~&~'groupName'~&~	~&~NULL~&~	~&~'Y'~&~	~&~'KR-IDM'~&~	~&~'org.kuali.rice.kim.bo.impl.KimAttributes'~&~	~&~]RECORD
RECORD[~&~	~&~'22'~&~	~&~'22'~&~	~&~'1'~&~	~&~'chartOfAccountsCode'~&~	~&~NULL~&~	~&~'Y'~&~	~&~'KFS-COA'~&~	~&~'org.kuali.kfs.sys.identity.KfsKimAttributes'~&~	~&~]RECORD
RECORD[~&~	~&~'23'~&~	~&~'23'~&~	~&~'1'~&~	~&~'accountNumber'~&~	~&~NULL~&~	~&~'Y'~&~	~&~'KFS-COA'~&~	~&~'org.kuali.kfs.sys.identity.KfsKimAttributes'~&~	~&~]RECORD
RECORD[~&~	~&~'24'~&~	~&~'24'~&~	~&~'1'~&~	~&~'organizationCode'~&~	~&~NULL~&~	~&~'Y'~&~	~&~'KFS-COA'~&~	~&~'org.kuali.kfs.sys.identity.KfsKimAttributes'~&~	~&~]RECORD
RECORD[~&~	~&~'25'~&~	~&~'25'~&~	~&~'1'~&~	~&~'descendHierarchy'~&~	~&~NULL~&~	~&~'Y'~&~	~&~'KFS-COA'~&~	~&~'org.kuali.kfs.sys.identity.KfsKimAttributes'~&~	~&~]RECORD
RECORD[~&~	~&~'26'~&~	~&~'26'~&~	~&~'1'~&~	~&~'fromAmount'~&~	~&~NULL~&~	~&~'Y'~&~	~&~'KFS-COA'~&~	~&~'org.kuali.kfs.sys.identity.KfsKimAttributes'~&~	~&~]RECORD
RECORD[~&~	~&~'27'~&~	~&~'27'~&~	~&~'1'~&~	~&~'toAmount'~&~	~&~NULL~&~	~&~'Y'~&~	~&~'KFS-COA'~&~	~&~'org.kuali.kfs.sys.identity.KfsKimAttributes'~&~	~&~]RECORD
RECORD[~&~	~&~'28'~&~	~&~'28'~&~	~&~'1'~&~	~&~'accountingLineOverrideCode'~&~	~&~NULL~&~	~&~'Y'~&~	~&~'KFS-COA'~&~	~&~'org.kuali.kfs.sys.identity.KfsKimAttributes'~&~	~&~]RECORD
RECORD[~&~	~&~'29'~&~	~&~'29'~&~	~&~'1'~&~	~&~'contractsAndGrantsAccountResponsibilityId'~&~	~&~NULL~&~	~&~'Y'~&~	~&~'KFS-COA'~&~	~&~'org.kuali.kfs.sys.identity.KfsKimAttributes'~&~	~&~]RECORD
RECORD[~&~	~&~'3'~&~	~&~'5ADF18B6D48A7954E0404F8189D85002'~&~	~&~'1'~&~	~&~'buttonName'~&~	~&~NULL~&~	~&~'Y'~&~	~&~'KR-SYS'~&~	~&~'org.kuali.rice.kim.bo.impl.KimAttributes'~&~	~&~]RECORD
