HEADER[~&~	~&~ENTITY_AFLTN_ID::VARCHAR~&~	~&~OBJ_ID::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~ENTITY_ID::VARCHAR~&~	~&~AFLTN_TYP_CD::VARCHAR~&~	~&~CAMPUS_CD::VARCHAR~&~	~&~DFLT_IND::VARCHAR~&~	~&~ACTV_IND::VARCHAR~&~	~&~LAST_UPDT_DT::TIMESTAMP~&~	~&~]HEADER
RECORD[~&~	~&~'KFS1000'~&~	~&~'KFS1000'~&~	~&~'1'~&~	~&~'KFS1000'~&~	~&~'STAFF'~&~	~&~'IN'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1001'~&~	~&~'KFS1001'~&~	~&~'1'~&~	~&~'KFS1001'~&~	~&~'STAFF'~&~	~&~'BL'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1002'~&~	~&~'KFS1002'~&~	~&~'1'~&~	~&~'KFS1002'~&~	~&~'STAFF'~&~	~&~'IN'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1003'~&~	~&~'KFS1003'~&~	~&~'1'~&~	~&~'KFS1003'~&~	~&~'STAFF'~&~	~&~'IN'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1004'~&~	~&~'KFS1004'~&~	~&~'1'~&~	~&~'KFS1004'~&~	~&~'STAFF'~&~	~&~'IN'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1005'~&~	~&~'KFS1005'~&~	~&~'1'~&~	~&~'KFS1005'~&~	~&~'STAFF'~&~	~&~'BL'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1006'~&~	~&~'KFS1006'~&~	~&~'1'~&~	~&~'KFS1006'~&~	~&~'STAFF'~&~	~&~'BL'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1007'~&~	~&~'KFS1007'~&~	~&~'1'~&~	~&~'KFS1007'~&~	~&~'STAFF'~&~	~&~'BL'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1008'~&~	~&~'KFS1008'~&~	~&~'1'~&~	~&~'KFS1008'~&~	~&~'STAFF'~&~	~&~'BL'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1009'~&~	~&~'KFS1009'~&~	~&~'1'~&~	~&~'KFS1009'~&~	~&~'STAFF'~&~	~&~'BL'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1010'~&~	~&~'KFS1010'~&~	~&~'1'~&~	~&~'KFS1010'~&~	~&~'STAFF'~&~	~&~'BL'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1011'~&~	~&~'KFS1011'~&~	~&~'1'~&~	~&~'KFS1011'~&~	~&~'STAFF'~&~	~&~'BL'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1012'~&~	~&~'KFS1012'~&~	~&~'1'~&~	~&~'KFS1012'~&~	~&~'STAFF'~&~	~&~'BL'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1013'~&~	~&~'KFS1013'~&~	~&~'1'~&~	~&~'KFS1013'~&~	~&~'STAFF'~&~	~&~'BL'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1014'~&~	~&~'KFS1014'~&~	~&~'1'~&~	~&~'KFS1014'~&~	~&~'STAFF'~&~	~&~'BL'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1015'~&~	~&~'KFS1015'~&~	~&~'1'~&~	~&~'KFS1015'~&~	~&~'STAFF'~&~	~&~'BL'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1016'~&~	~&~'KFS1016'~&~	~&~'1'~&~	~&~'KFS1016'~&~	~&~'STAFF'~&~	~&~'BL'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1017'~&~	~&~'KFS1017'~&~	~&~'1'~&~	~&~'KFS1017'~&~	~&~'STAFF'~&~	~&~'BL'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1018'~&~	~&~'KFS1018'~&~	~&~'1'~&~	~&~'KFS1018'~&~	~&~'STAFF'~&~	~&~'BL'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
