HEADER[~&~	~&~ENTITY_EMP_ID::VARCHAR~&~	~&~OBJ_ID::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~ENTITY_ID::VARCHAR~&~	~&~ENTITY_AFLTN_ID::VARCHAR~&~	~&~EMP_STAT_CD::VARCHAR~&~	~&~EMP_TYP_CD::VARCHAR~&~	~&~BASE_SLRY_AMT::DECIMAL~&~	~&~PRMRY_IND::VARCHAR~&~	~&~ACTV_IND::VARCHAR~&~	~&~LAST_UPDT_DT::TIMESTAMP~&~	~&~PRMRY_DEPT_CD::VARCHAR~&~	~&~EMP_ID::VARCHAR~&~	~&~EMP_REC_ID::VARCHAR~&~	~&~]HEADER
RECORD[~&~	~&~'KFS1000'~&~	~&~'KFS1000'~&~	~&~'1'~&~	~&~'KFS1000'~&~	~&~'KFS1000'~&~	~&~'A'~&~	~&~'N'~&~	~&~'50000.00'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~'IN-ENGT'~&~	~&~'0000000001'~&~	~&~'1'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1001'~&~	~&~'KFS1001'~&~	~&~'1'~&~	~&~'KFS1001'~&~	~&~'KFS1001'~&~	~&~'T'~&~	~&~'N'~&~	~&~'50000.00'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~'BL-BL'~&~	~&~'0000000002'~&~	~&~'1'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1002'~&~	~&~'KFS1002'~&~	~&~'1'~&~	~&~'KFS1002'~&~	~&~'KFS1002'~&~	~&~'A'~&~	~&~'N'~&~	~&~'50000.00'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~'IN-ANES'~&~	~&~'0000000003'~&~	~&~'1'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1003'~&~	~&~'KFS1003'~&~	~&~'1'~&~	~&~'KFS1003'~&~	~&~'KFS1003'~&~	~&~'T'~&~	~&~'P'~&~	~&~'50000.00'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~'IN-IN'~&~	~&~'0000000004'~&~	~&~'1'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1004'~&~	~&~'KFS1004'~&~	~&~'1'~&~	~&~'KFS1004'~&~	~&~'KFS1004'~&~	~&~'T'~&~	~&~'N'~&~	~&~'50000.00'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~'IN-IN'~&~	~&~'0000000005'~&~	~&~'1'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1005'~&~	~&~'KFS1005'~&~	~&~'1'~&~	~&~'KFS1005'~&~	~&~'KFS1005'~&~	~&~'A'~&~	~&~'P'~&~	~&~'50000.00'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~'BL-BL'~&~	~&~'0000000006'~&~	~&~'1'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1006'~&~	~&~'KFS1006'~&~	~&~'1'~&~	~&~'KFS1006'~&~	~&~'KFS1006'~&~	~&~'A'~&~	~&~'P'~&~	~&~'50000.00'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~'BL-BL'~&~	~&~'0000000007'~&~	~&~'1'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1007'~&~	~&~'KFS1007'~&~	~&~'1'~&~	~&~'KFS1007'~&~	~&~'KFS1007'~&~	~&~'A'~&~	~&~'P'~&~	~&~'50000.00'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~'BL-BL'~&~	~&~'0000000008'~&~	~&~'1'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1008'~&~	~&~'KFS1008'~&~	~&~'1'~&~	~&~'KFS1008'~&~	~&~'KFS1008'~&~	~&~'A'~&~	~&~'P'~&~	~&~'50000.00'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~'BL-BL'~&~	~&~'0000000009'~&~	~&~'1'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1009'~&~	~&~'KFS1009'~&~	~&~'1'~&~	~&~'KFS1009'~&~	~&~'KFS1009'~&~	~&~'A'~&~	~&~'P'~&~	~&~'50000.00'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~'BL-BL'~&~	~&~'0000000010'~&~	~&~'1'~&~	~&~]RECORD
