HEADER[~&~	~&~ENTITY_ID::VARCHAR~&~	~&~OBJ_ID::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~ACTV_IND::VARCHAR~&~	~&~LAST_UPDT_DT::TIMESTAMP~&~	~&~]HEADER
RECORD[~&~	~&~'1'~&~	~&~'5B1B6B919CC96496E0404F8189D822F2'~&~	~&~'1'~&~	~&~'Y'~&~	~&~'1226069342000'~&~	~&~]RECORD
RECORD[~&~	~&~'1100'~&~	~&~'5B97C50B03946110E0404F8189D85213'~&~	~&~'1'~&~	~&~'Y'~&~	~&~'1226603195000'~&~	~&~]RECORD
RECORD[~&~	~&~'1131'~&~	~&~'5B97C50B03B36110E0404F8189D85213'~&~	~&~'1'~&~	~&~'Y'~&~	~&~'1226603200000'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1000'~&~	~&~'KFS1000'~&~	~&~'1'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1001'~&~	~&~'KFS1001'~&~	~&~'1'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1002'~&~	~&~'KFS1002'~&~	~&~'1'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1003'~&~	~&~'KFS1003'~&~	~&~'1'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1004'~&~	~&~'KFS1004'~&~	~&~'1'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1005'~&~	~&~'KFS1005'~&~	~&~'1'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1006'~&~	~&~'KFS1006'~&~	~&~'1'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1007'~&~	~&~'KFS1007'~&~	~&~'1'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1008'~&~	~&~'KFS1008'~&~	~&~'1'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1009'~&~	~&~'KFS1009'~&~	~&~'1'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1010'~&~	~&~'KFS1010'~&~	~&~'1'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1011'~&~	~&~'KFS1011'~&~	~&~'1'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1012'~&~	~&~'KFS1012'~&~	~&~'1'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1013'~&~	~&~'KFS1013'~&~	~&~'1'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1014'~&~	~&~'KFS1014'~&~	~&~'1'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1015'~&~	~&~'KFS1015'~&~	~&~'1'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
