HEADER[~&~	~&~ATTR_DATA_ID::VARCHAR~&~	~&~OBJ_ID::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~PERM_ID::VARCHAR~&~	~&~KIM_TYP_ID::VARCHAR~&~	~&~KIM_ATTR_DEFN_ID::VARCHAR~&~	~&~ATTR_VAL::VARCHAR~&~	~&~]HEADER
RECORD[~&~	~&~'181'~&~	~&~'5B4F09744A25EF33E0404F8189D84F24'~&~	~&~'1'~&~	~&~'140'~&~	~&~'12'~&~	~&~'2'~&~	~&~'org.kuali.rice.kew.documentoperation.web.DocumentOperationAction'~&~	~&~]RECORD
RECORD[~&~	~&~'183'~&~	~&~'5B4F09744A27EF33E0404F8189D84F24'~&~	~&~'1'~&~	~&~'141'~&~	~&~'12'~&~	~&~'2'~&~	~&~'org.kuali.rice.ksb.security.admin.web.JavaSecurityManagementAction'~&~	~&~]RECORD
RECORD[~&~	~&~'185'~&~	~&~'5B4F09744A29EF33E0404F8189D84F24'~&~	~&~'1'~&~	~&~'142'~&~	~&~'12'~&~	~&~'2'~&~	~&~'org.kuali.rice.ksb.messaging.web.MessageQueueAction'~&~	~&~]RECORD
RECORD[~&~	~&~'187'~&~	~&~'5B4F09744A2BEF33E0404F8189D84F24'~&~	~&~'1'~&~	~&~'143'~&~	~&~'12'~&~	~&~'2'~&~	~&~'org.kuali.rice.ksb.messaging.web.ServiceRegistryAction'~&~	~&~]RECORD
RECORD[~&~	~&~'189'~&~	~&~'5B4F09744A2DEF33E0404F8189D84F24'~&~	~&~'1'~&~	~&~'144'~&~	~&~'12'~&~	~&~'2'~&~	~&~'org.kuali.rice.ksb.messaging.web.ThreadPoolAction'~&~	~&~]RECORD
RECORD[~&~	~&~'191'~&~	~&~'5B4F09744A2FEF33E0404F8189D84F24'~&~	~&~'1'~&~	~&~'145'~&~	~&~'12'~&~	~&~'2'~&~	~&~'org.kuali.rice.ksb.messaging.web.QuartzQueueAction'~&~	~&~]RECORD
RECORD[~&~	~&~'192'~&~	~&~'5B4F09744A30EF33E0404F8189D84F24'~&~	~&~'1'~&~	~&~'146'~&~	~&~'5'~&~	~&~'13'~&~	~&~'RiceDocument'~&~	~&~]RECORD
RECORD[~&~	~&~'193'~&~	~&~'5B4F09744A31EF33E0404F8189D84F24'~&~	~&~'1'~&~	~&~'147'~&~	~&~'3'~&~	~&~'13'~&~	~&~'RiceDocument'~&~	~&~]RECORD
RECORD[~&~	~&~'194'~&~	~&~'5B4F09744A32EF33E0404F8189D84F24'~&~	~&~'1'~&~	~&~'148'~&~	~&~'3'~&~	~&~'13'~&~	~&~'RiceDocument'~&~	~&~]RECORD
RECORD[~&~	~&~'195'~&~	~&~'5B4F09744A33EF33E0404F8189D84F24'~&~	~&~'1'~&~	~&~'149'~&~	~&~'3'~&~	~&~'13'~&~	~&~'RiceDocument'~&~	~&~]RECORD
RECORD[~&~	~&~'196'~&~	~&~'5B4F09744A34EF33E0404F8189D84F24'~&~	~&~'1'~&~	~&~'150'~&~	~&~'18'~&~	~&~'4'~&~	~&~'KR*'~&~	~&~]RECORD
RECORD[~&~	~&~'197'~&~	~&~'5B4F09744A35EF33E0404F8189D84F24'~&~	~&~'1'~&~	~&~'151'~&~	~&~'19'~&~	~&~'4'~&~	~&~'KR*'~&~	~&~]RECORD
RECORD[~&~	~&~'198'~&~	~&~'5B4F09744A36EF33E0404F8189D84F24'~&~	~&~'1'~&~	~&~'152'~&~	~&~'20'~&~	~&~'4'~&~	~&~'KR*'~&~	~&~]RECORD
RECORD[~&~	~&~'201'~&~	~&~'5B4F09744A39EF33E0404F8189D84F24'~&~	~&~'1'~&~	~&~'155'~&~	~&~'21'~&~	~&~'4'~&~	~&~'KR*'~&~	~&~]RECORD
RECORD[~&~	~&~'202'~&~	~&~'5B4F09744A3AEF33E0404F8189D84F24'~&~	~&~'1'~&~	~&~'156'~&~	~&~'3'~&~	~&~'13'~&~	~&~'RiceDocument'~&~	~&~]RECORD
RECORD[~&~	~&~'203'~&~	~&~'5B4F09744A39EF33E0404F8189D84F25'~&~	~&~'1'~&~	~&~'833'~&~	~&~'21'~&~	~&~'4'~&~	~&~'KUALI'~&~	~&~]RECORD
RECORD[~&~	~&~'204'~&~	~&~'5B4F09744A39EF33E0404F8189D84F26'~&~	~&~'1'~&~	~&~'834'~&~	~&~'18'~&~	~&~'4'~&~	~&~'KUALI'~&~	~&~]RECORD
RECORD[~&~	~&~'205'~&~	~&~'5B4F09744A39EF33E0404F8189D84F27'~&~	~&~'1'~&~	~&~'835'~&~	~&~'19'~&~	~&~'4'~&~	~&~'KUALI'~&~	~&~]RECORD
RECORD[~&~	~&~'206'~&~	~&~'5B4F09744A39EF33E0404F8189D84F28'~&~	~&~'1'~&~	~&~'836'~&~	~&~'20'~&~	~&~'4'~&~	~&~'KUALI'~&~	~&~]RECORD
RECORD[~&~	~&~'211'~&~	~&~'5B4F09744A43EF33E0404F8189D84F24'~&~	~&~'1'~&~	~&~'161'~&~	~&~'10'~&~	~&~'4'~&~	~&~'KR*'~&~	~&~]RECORD
RECORD[~&~	~&~'213'~&~	~&~'5B4F09744A45EF33E0404F8189D84F24'~&~	~&~'1'~&~	~&~'162'~&~	~&~'10'~&~	~&~'4'~&~	~&~'KR*'~&~	~&~]RECORD
RECORD[~&~	~&~'216'~&~	~&~'5B4F09744A48EF33E0404F8189D84F24'~&~	~&~'1'~&~	~&~'163'~&~	~&~'16'~&~	~&~'4'~&~	~&~'KR*'~&~	~&~]RECORD
RECORD[~&~	~&~'217'~&~	~&~'5B4F09744A49EF33E0404F8189D84F24'~&~	~&~'1'~&~	~&~'164'~&~	~&~'15'~&~	~&~'4'~&~	~&~'KR*'~&~	~&~]RECORD
RECORD[~&~	~&~'218'~&~	~&~'5B4F09744A4AEF33E0404F8189D84F24'~&~	~&~'1'~&~	~&~'165'~&~	~&~'3'~&~	~&~'13'~&~	~&~'RiceDocument'~&~	~&~]RECORD
RECORD[~&~	~&~'219'~&~	~&~'5B4F09744A4BEF33E0404F8189D84F24'~&~	~&~'1'~&~	~&~'166'~&~	~&~'12'~&~	~&~'4'~&~	~&~'KR*'~&~	~&~]RECORD
RECORD[~&~	~&~'220'~&~	~&~'5B4F09744A4CEF33E0404F8189D84F24'~&~	~&~'1'~&~	~&~'167'~&~	~&~'8'~&~	~&~'13'~&~	~&~'KualiDocument'~&~	~&~]RECORD
RECORD[~&~	~&~'221'~&~	~&~'5B4F09744A4DEF33E0404F8189D84F24'~&~	~&~'1'~&~	~&~'168'~&~	~&~'3'~&~	~&~'13'~&~	~&~'KualiDocument'~&~	~&~]RECORD
RECORD[~&~	~&~'222'~&~	~&~'5B4F09744A4EEF33E0404F8189D84F24'~&~	~&~'1'~&~	~&~'290'~&~	~&~'8'~&~	~&~'13'~&~	~&~'RiceDocument'~&~	~&~]RECORD
RECORD[~&~	~&~'223'~&~	~&~'5B4F09744A4FEF33E0404F8189D84F24'~&~	~&~'1'~&~	~&~'170'~&~	~&~'4'~&~	~&~'14'~&~	~&~'A'~&~	~&~]RECORD
RECORD[~&~	~&~'225'~&~	~&~'5B4F09744A51EF33E0404F8189D84F24'~&~	~&~'1'~&~	~&~'172'~&~	~&~'4'~&~	~&~'14'~&~	~&~'F'~&~	~&~]RECORD
RECORD[~&~	~&~'226'~&~	~&~'5B4F09744A52EF33E0404F8189D84F24'~&~	~&~'1'~&~	~&~'173'~&~	~&~'4'~&~	~&~'14'~&~	~&~'K'~&~	~&~]RECORD
RECORD[~&~	~&~'237'~&~	~&~'5B4F09744A5DEF33E0404F8189D84F24'~&~	~&~'1'~&~	~&~'180'~&~	~&~'8'~&~	~&~'13'~&~	~&~'KualiDocument'~&~	~&~]RECORD
RECORD[~&~	~&~'238'~&~	~&~'5B4F09744A5EEF33E0404F8189D84F24'~&~	~&~'1'~&~	~&~'180'~&~	~&~'8'~&~	~&~'16'~&~	~&~'PreRoute'~&~	~&~]RECORD
RECORD[~&~	~&~'239'~&~	~&~'5B4F09744A5FEF33E0404F8189D84F24'~&~	~&~'1'~&~	~&~'181'~&~	~&~'8'~&~	~&~'13'~&~	~&~'KualiDocument'~&~	~&~]RECORD
RECORD[~&~	~&~'240'~&~	~&~'5B4F09744A60EF33E0404F8189D84F24'~&~	~&~'1'~&~	~&~'181'~&~	~&~'8'~&~	~&~'15'~&~	~&~'R'~&~	~&~]RECORD
RECORD[~&~	~&~'243'~&~	~&~'5B4F09744A63EF33E0404F8189D84F24'~&~	~&~'1'~&~	~&~'183'~&~	~&~'11'~&~	~&~'5'~&~	~&~'KimPrincipalImpl'~&~	~&~]RECORD
RECORD[~&~	~&~'244'~&~	~&~'5B4F09744A64EF33E0404F8189D84F24'~&~	~&~'1'~&~	~&~'183'~&~	~&~'11'~&~	~&~'6'~&~	~&~'password'~&~	~&~]RECORD
RECORD[~&~	~&~'249'~&~	~&~'5B6013B3AD121A9CE0404F8189D87094'~&~	~&~'1'~&~	~&~'167'~&~	~&~'8'~&~	~&~'16'~&~	~&~'PreRoute'~&~	~&~]RECORD
RECORD[~&~	~&~'376'~&~	~&~'606763510FC496D3E0404F8189D857A2'~&~	~&~'1'~&~	~&~'259'~&~	~&~'9'~&~	~&~'13'~&~	~&~'KualiDocument'~&~	~&~]RECORD
RECORD[~&~	~&~'379'~&~	~&~'606763510FC796D3E0404F8189D857A2'~&~	~&~'1'~&~	~&~'261'~&~	~&~'9'~&~	~&~'13'~&~	~&~'KualiDocument'~&~	~&~]RECORD
RECORD[~&~	~&~'384'~&~	~&~'606763510FCE96D3E0404F8189D857A2'~&~	~&~'1'~&~	~&~'264'~&~	~&~'59'~&~	~&~'13'~&~	~&~'RiceDocument'~&~	~&~]RECORD
RECORD[~&~	~&~'385'~&~	~&~'606763510FCF96D3E0404F8189D857A2'~&~	~&~'1'~&~	~&~'264'~&~	~&~'59'~&~	~&~'8'~&~	~&~'false'~&~	~&~]RECORD
RECORD[~&~	~&~'431'~&~	~&~'6314CC58CF59B7B5E0404F8189D84439'~&~	~&~'1'~&~	~&~'306'~&~	~&~'11'~&~	~&~'5'~&~	~&~'IdentityManagementPersonDocument'~&~	~&~]RECORD
RECORD[~&~	~&~'432'~&~	~&~'6314CC58CF5AB7B5E0404F8189D84439'~&~	~&~'1'~&~	~&~'306'~&~	~&~'11'~&~	~&~'6'~&~	~&~'taxId'~&~	~&~]RECORD
RECORD[~&~	~&~'478'~&~	~&~'662384B381BA67A1E0404F8189D868A6'~&~	~&~'1'~&~	~&~'332'~&~	~&~'5'~&~	~&~'13'~&~	~&~'KualiDocument'~&~	~&~]RECORD
RECORD[~&~	~&~'479'~&~	~&~'662384B381BB67A1E0404F8189D868A6'~&~	~&~'1'~&~	~&~'332'~&~	~&~'5'~&~	~&~'14'~&~	~&~'F'~&~	~&~]RECORD
RECORD[~&~	~&~'480'~&~	~&~'662384B381BE67A1E0404F8189D868A6'~&~	~&~'1'~&~	~&~'333'~&~	~&~'5'~&~	~&~'13'~&~	~&~'KualiDocument'~&~	~&~]RECORD
RECORD[~&~	~&~'481'~&~	~&~'662384B381BF67A1E0404F8189D868A6'~&~	~&~'1'~&~	~&~'333'~&~	~&~'5'~&~	~&~'14'~&~	~&~'K'~&~	~&~]RECORD
RECORD[~&~	~&~'482'~&~	~&~'662384B381C267A1E0404F8189D868A6'~&~	~&~'1'~&~	~&~'334'~&~	~&~'5'~&~	~&~'13'~&~	~&~'KualiDocument'~&~	~&~]RECORD
RECORD[~&~	~&~'483'~&~	~&~'662384B381C367A1E0404F8189D868A6'~&~	~&~'1'~&~	~&~'334'~&~	~&~'5'~&~	~&~'14'~&~	~&~'A'~&~	~&~]RECORD
