HEADER[~&~	~&~PERM_ID::VARCHAR~&~	~&~OBJ_ID::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~PERM_TMPL_ID::VARCHAR~&~	~&~NMSPC_CD::VARCHAR~&~	~&~NM::VARCHAR~&~	~&~DESC_TXT::VARCHAR~&~	~&~ACTV_IND::VARCHAR~&~	~&~]HEADER
RECORD[~&~	~&~'1'~&~	~&~'1'~&~	~&~'1'~&~	~&~'7'~&~	~&~'KFS-AR'~&~	~&~'Claim Electronic Payment CTRL'~&~	~&~'Allows access to the Electronic Fund Transfer interface for the claiming of electronic funds using the Cash Control Document (CTRL).'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'10'~&~	~&~'10'~&~	~&~'1'~&~	~&~'26'~&~	~&~'KFS-AR'~&~	~&~'Modify Maintenance Document Field Customer customerTaxNbr'~&~	~&~'Allows modification of the Customer Tax Number field on the Customer document.'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'100'~&~	~&~'100'~&~	~&~'1'~&~	~&~'16'~&~	~&~'KFS-PURAP'~&~	~&~'Edit Document REQS PreRoute'~&~	~&~'Edit permission for the Requisition document prior to the document being submitted.'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'101'~&~	~&~'101'~&~	~&~'1'~&~	~&~'16'~&~	~&~'KFS-PURAP'~&~	~&~'Edit Document PO PreRoute'~&~	~&~'Edit permission for the Purchase Order document prior to the document being submitted.'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'102'~&~	~&~'102'~&~	~&~'1'~&~	~&~'16'~&~	~&~'KFS-PURAP'~&~	~&~'Edit Document AP PreRoute'~&~	~&~'Edit permission for Accounts Payable Transactional documents prior to the document being submitted.'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'103'~&~	~&~'103'~&~	~&~'1'~&~	~&~'16'~&~	~&~'KFS-PURAP'~&~	~&~'Edit Document RCV PreRoute'~&~	~&~'Edit permission for Receiving Transactional documents prior to the document being submitted.'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'107'~&~	~&~'107'~&~	~&~'1'~&~	~&~'7'~&~	~&~'KFS-SYS'~&~	~&~'Claim Electronic Payment'~&~	~&~'Allows access to the Electronic Fund Transfer interface for the claiming of electronic funds.'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'108'~&~	~&~'108'~&~	~&~'1'~&~	~&~'6'~&~	~&~'KFS-SYS'~&~	~&~'Error Correct Document KFST'~&~	~&~'Allows access to the Error Correction button on KFS Transactional documents.'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'11'~&~	~&~'11'~&~	~&~'1'~&~	~&~'33'~&~	~&~'KFS-AR'~&~	~&~'Upload Batch Input File(s) customerLoadInputFileType'~&~	~&~'Allows access to the Customer Upload Batch Upload page.'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'1100'~&~	~&~'1100'~&~	~&~'1'~&~	~&~'3'~&~	~&~'KFS-SYS'~&~	~&~'Administer Routing for Document KFST'~&~	~&~'Allows users to open Financial System Documents via the Super search option in Document Search and take Administrative workflow actions on them (such as approving the document, approving individual requests, or sending the document to a specified route node).'~&~	~&~'Y'~&~	~&~]RECORD
