HEADER[~&~	~&~PERM_TMPL_ID::VARCHAR~&~	~&~OBJ_ID::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~NMSPC_CD::VARCHAR~&~	~&~NM::VARCHAR~&~	~&~DESC_TXT::VARCHAR~&~	~&~KIM_TYP_ID::VARCHAR~&~	~&~ACTV_IND::VARCHAR~&~	~&~]HEADER
RECORD[~&~	~&~'1'~&~	~&~'5ADF18B6D4857954E0404F8189D85002'~&~	~&~'1'~&~	~&~'KUALI'~&~	~&~'Default'~&~	~&~NULL~&~	~&~'1'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'10'~&~	~&~'5ADF18B6D4BF7954E0404F8189D85002'~&~	~&~'1'~&~	~&~'KR-SYS'~&~	~&~'Initiate Document'~&~	~&~NULL~&~	~&~'3'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'14'~&~	~&~'5ADF18B6D4CA7954E0404F8189D85002'~&~	~&~'1'~&~	~&~'KR-WKFLW'~&~	~&~'Cancel Document'~&~	~&~NULL~&~	~&~'8'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'15'~&~	~&~'5ADF18B6D4CB7954E0404F8189D85002'~&~	~&~'1'~&~	~&~'KR-WKFLW'~&~	~&~'Save Document'~&~	~&~NULL~&~	~&~'8'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'16'~&~	~&~'5ADF18B6D4CC7954E0404F8189D85002'~&~	~&~'1'~&~	~&~'KR-NS'~&~	~&~'Edit Document'~&~	~&~NULL~&~	~&~'8'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2'~&~	~&~'5ADF18B6D4AF7954E0404F8189D85002'~&~	~&~'1'~&~	~&~'KR-NS'~&~	~&~'Copy Document'~&~	~&~NULL~&~	~&~'3'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'23'~&~	~&~'5ADF18B6D4DA7954E0404F8189D85002'~&~	~&~'1'~&~	~&~'KR-NS'~&~	~&~'Look Up Records'~&~	~&~NULL~&~	~&~'10'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'24'~&~	~&~'5ADF18B6D4DB7954E0404F8189D85002'~&~	~&~'1'~&~	~&~'KR-NS'~&~	~&~'Inquire Into Records'~&~	~&~NULL~&~	~&~'10'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'25'~&~	~&~'5ADF18B6D4DF7954E0404F8189D85002'~&~	~&~'1'~&~	~&~'KR-NS'~&~	~&~'View Inquiry or Maintenance Document Field'~&~	~&~NULL~&~	~&~'11'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'26'~&~	~&~'5ADF18B6D4E07954E0404F8189D85002'~&~	~&~'1'~&~	~&~'KR-NS'~&~	~&~'Modify Maintenance Document Field'~&~	~&~NULL~&~	~&~'11'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'27'~&~	~&~'5ADF18B6D4E17954E0404F8189D85002'~&~	~&~'1'~&~	~&~'KR-NS'~&~	~&~'Full Unmask Field'~&~	~&~NULL~&~	~&~'11'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'28'~&~	~&~'5ADF18B6D4E27954E0404F8189D85002'~&~	~&~'1'~&~	~&~'KR-NS'~&~	~&~'Partial Unmask Field'~&~	~&~NULL~&~	~&~'11'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'29'~&~	~&~'5ADF18B6D4E67954E0404F8189D85002'~&~	~&~'1'~&~	~&~'KR-NS'~&~	~&~'Use Screen'~&~	~&~NULL~&~	~&~'12'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'3'~&~	~&~'5ADF18B6D4B07954E0404F8189D85002'~&~	~&~'1'~&~	~&~'KR-WKFLW'~&~	~&~'Administer Routing for Document'~&~	~&~NULL~&~	~&~'3'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'30'~&~	~&~'5ADF18B6D4E97954E0404F8189D85002'~&~	~&~'1'~&~	~&~'KR-NS'~&~	~&~'Perform Custom Maintenance Document Function'~&~	~&~NULL~&~	~&~'13'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'31'~&~	~&~'5ADF18B6D4EC7954E0404F8189D85002'~&~	~&~'1'~&~	~&~'KR-NS'~&~	~&~'Use Transactional Document'~&~	~&~NULL~&~	~&~'14'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'32'~&~	~&~'5ADF18B6D4F07954E0404F8189D85002'~&~	~&~'1'~&~	~&~'KR-NS'~&~	~&~'Modify Batch Job'~&~	~&~NULL~&~	~&~'15'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'33'~&~	~&~'5ADF18B6D4F17954E0404F8189D85002'~&~	~&~'1'~&~	~&~'KR-NS'~&~	~&~'Upload Batch Input File(s)'~&~	~&~NULL~&~	~&~'15'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'34'~&~	~&~'5ADF18B6D4F67954E0404F8189D85002'~&~	~&~'1'~&~	~&~'KR-NS'~&~	~&~'Maintain System Parameter'~&~	~&~NULL~&~	~&~'16'~&~	~&~'Y'~&~	~&~]RECORD
