HEADER[~&~	~&~PRNCPL_ID::VARCHAR~&~	~&~OBJ_ID::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~PRNCPL_NM::VARCHAR~&~	~&~ENTITY_ID::VARCHAR~&~	~&~PRNCPL_PSWD::VARCHAR~&~	~&~ACTV_IND::VARCHAR~&~	~&~LAST_UPDT_DT::TIMESTAMP~&~	~&~]HEADER
RECORD[~&~	~&~'1'~&~	~&~'5B1B6B919CCA6496E0404F8189D822F2'~&~	~&~'1'~&~	~&~'kr'~&~	~&~'1'~&~	~&~NULL~&~	~&~'Y'~&~	~&~'200811070949020000'~&~	~&~]RECORD
RECORD[~&~	~&~'1106901514'~&~	~&~'KFS1106901514'~&~	~&~'1'~&~	~&~'asneed'~&~	~&~'KFS3737'~&~	~&~NULL~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'1110101123'~&~	~&~'KFS1110101123'~&~	~&~'1'~&~	~&~'dharden'~&~	~&~'KFS3007'~&~	~&~NULL~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'1110208926'~&~	~&~'KFS1110208926'~&~	~&~'1'~&~	~&~'bgranvil'~&~	~&~'KFS3283'~&~	~&~NULL~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'1110902378'~&~	~&~'KFS1110902378'~&~	~&~'1'~&~	~&~'dbaer'~&~	~&~'KFS2783'~&~	~&~NULL~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'1119909078'~&~	~&~'KFS1119909078'~&~	~&~'1'~&~	~&~'theodore'~&~	~&~'KFS2734'~&~	~&~NULL~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'1122304097'~&~	~&~'KFS1122304097'~&~	~&~'1'~&~	~&~'racreame'~&~	~&~'KFS3504'~&~	~&~NULL~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'1122607230'~&~	~&~'KFS1122607230'~&~	~&~'1'~&~	~&~'jabeaton'~&~	~&~'KFS3944'~&~	~&~NULL~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'1129107497'~&~	~&~'KFS1129107497'~&~	~&~'1'~&~	~&~'tabojorq'~&~	~&~'KFS3769'~&~	~&~NULL~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'1133303624'~&~	~&~'KFS1133303624'~&~	~&~'1'~&~	~&~'rasutter'~&~	~&~'KFS3576'~&~	~&~NULL~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'1135201202'~&~	~&~'KFS1135201202'~&~	~&~'1'~&~	~&~'anemery'~&~	~&~'KFS1337'~&~	~&~NULL~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'1137304513'~&~	~&~'KFS1137304513'~&~	~&~'1'~&~	~&~'ehillard'~&~	~&~'KFS3591'~&~	~&~NULL~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'1143902789'~&~	~&~'KFS1143902789'~&~	~&~'1'~&~	~&~'istanfie'~&~	~&~'KFS3050'~&~	~&~NULL~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'1153304576'~&~	~&~'KFS1153304576'~&~	~&~'1'~&~	~&~'fharr'~&~	~&~'KFS3254'~&~	~&~NULL~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'1164809566'~&~	~&~'KFS1164809566'~&~	~&~'1'~&~	~&~'rahadfie'~&~	~&~'KFS3384'~&~	~&~NULL~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'1170706400'~&~	~&~'KFS1170706400'~&~	~&~'1'~&~	~&~'hahagans'~&~	~&~'KFS3546'~&~	~&~NULL~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'1183109030'~&~	~&~'KFS1183109030'~&~	~&~'1'~&~	~&~'aafarthi'~&~	~&~'KFS2947'~&~	~&~NULL~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'1184605262'~&~	~&~'KFS1184605262'~&~	~&~'1'~&~	~&~'tapeele'~&~	~&~'KFS2926'~&~	~&~NULL~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'1189109800'~&~	~&~'KFS1189109800'~&~	~&~'1'~&~	~&~'camcswee'~&~	~&~'KFS3651'~&~	~&~NULL~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'1189909114'~&~	~&~'KFS1189909114'~&~	~&~'1'~&~	~&~'ikonrad'~&~	~&~'KFS3202'~&~	~&~NULL~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'1190207952'~&~	~&~'KFS1190207952'~&~	~&~'1'~&~	~&~'nmendiol'~&~	~&~'KFS3824'~&~	~&~NULL~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'1197209582'~&~	~&~'KFS1197209582'~&~	~&~'1'~&~	~&~'degroot'~&~	~&~'KFS1455'~&~	~&~NULL~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'1198203164'~&~	~&~'KFS1198203164'~&~	~&~'1'~&~	~&~'ireland'~&~	~&~'KFS1453'~&~	~&~NULL~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'1200708313'~&~	~&~'KFS1200708313'~&~	~&~'1'~&~	~&~'rbcolang'~&~	~&~'KFS3561'~&~	~&~NULL~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'1202108464'~&~	~&~'KFS1202108464'~&~	~&~'1'~&~	~&~'rolunt'~&~	~&~'KFS2204'~&~	~&~NULL~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'1203608260'~&~	~&~'KFS1203608260'~&~	~&~'1'~&~	~&~'rbpaulin'~&~	~&~'KFS1002'~&~	~&~NULL~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'1204808831'~&~	~&~'KFS1204808831'~&~	~&~'1'~&~	~&~'abhafner'~&~	~&~'KFS1094'~&~	~&~NULL~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'1206006319'~&~	~&~'KFS1206006319'~&~	~&~'1'~&~	~&~'sbgerman'~&~	~&~'KFS4003'~&~	~&~NULL~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'1208309261'~&~	~&~'KFS1208309261'~&~	~&~'1'~&~	~&~'bborja'~&~	~&~'KFS3632'~&~	~&~NULL~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'1208408248'~&~	~&~'KFS1208408248'~&~	~&~'1'~&~	~&~'vrude'~&~	~&~'KFS3882'~&~	~&~NULL~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'1209204593'~&~	~&~'KFS1209204593'~&~	~&~'1'~&~	~&~'sbmoorma'~&~	~&~'KFS2824'~&~	~&~NULL~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'1210506984'~&~	~&~'KFS1210506984'~&~	~&~'1'~&~	~&~'mbbolano'~&~	~&~'KFS3106'~&~	~&~NULL~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'1210908400'~&~	~&~'KFS1210908400'~&~	~&~'1'~&~	~&~'ddisney'~&~	~&~'KFS3934'~&~	~&~NULL~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'1223106803'~&~	~&~'KFS1223106803'~&~	~&~'1'~&~	~&~'leflore'~&~	~&~'KFS1101'~&~	~&~NULL~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'1224201162'~&~	~&~'KFS1224201162'~&~	~&~'1'~&~	~&~'tbblue'~&~	~&~'KFS3374'~&~	~&~NULL~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'1224705693'~&~	~&~'KFS1224705693'~&~	~&~'1'~&~	~&~'jquesada'~&~	~&~'KFS3316'~&~	~&~NULL~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'1226406048'~&~	~&~'KFS1226406048'~&~	~&~'1'~&~	~&~'wbouldin'~&~	~&~'KFS2616'~&~	~&~NULL~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'1226904798'~&~	~&~'KFS1226904798'~&~	~&~'1'~&~	~&~'ablabont'~&~	~&~'KFS3877'~&~	~&~NULL~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'1229409497'~&~	~&~'KFS1229409497'~&~	~&~'1'~&~	~&~'tbswanne'~&~	~&~'KFS3168'~&~	~&~NULL~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'1233208366'~&~	~&~'KFS1233208366'~&~	~&~'1'~&~	~&~'obmckown'~&~	~&~'KFS3763'~&~	~&~NULL~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'1239102444'~&~	~&~'KFS1239102444'~&~	~&~'1'~&~	~&~'lpederso'~&~	~&~'KFS2914'~&~	~&~NULL~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'1241605004'~&~	~&~'KFS1241605004'~&~	~&~'1'~&~	~&~'lbflick'~&~	~&~'KFS3718'~&~	~&~NULL~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'1246104058'~&~	~&~'KFS1246104058'~&~	~&~'1'~&~	~&~'cbbeaure'~&~	~&~'KFS3340'~&~	~&~NULL~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'1246806746'~&~	~&~'KFS1246806746'~&~	~&~'1'~&~	~&~'mmatherl'~&~	~&~'KFS3795'~&~	~&~NULL~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'1248203895'~&~	~&~'KFS1248203895'~&~	~&~'1'~&~	~&~'bleighto'~&~	~&~'KFS1599'~&~	~&~NULL~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
