HEADER[~&~	~&~ROLE_MBR_ID::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~OBJ_ID::VARCHAR~&~	~&~ROLE_ID::VARCHAR~&~	~&~MBR_ID::VARCHAR~&~	~&~MBR_TYP_CD::CHAR~&~	~&~ACTV_FRM_DT::TIMESTAMP~&~	~&~ACTV_TO_DT::TIMESTAMP~&~	~&~LAST_UPDT_DT::TIMESTAMP~&~	~&~]HEADER
RECORD[~&~	~&~'1282'~&~	~&~'1'~&~	~&~'5B4B421E43857717E0404F8189D821F7'~&~	~&~'90'~&~	~&~'1'~&~	~&~'P'~&~	~&~NULL~&~	~&~NULL~&~	~&~'1250841171000'~&~	~&~]RECORD
RECORD[~&~	~&~'1283'~&~	~&~'1'~&~	~&~'D0B057F8E7B949EFA94AE8CDA47DE41B'~&~	~&~'63'~&~	~&~'admin'~&~	~&~'P'~&~	~&~NULL~&~	~&~NULL~&~	~&~'1228758581000'~&~	~&~]RECORD
RECORD[~&~	~&~'1284'~&~	~&~'1'~&~	~&~'B7DBFABEFD2E8CBFE0402E0AA9D757C9'~&~	~&~'98'~&~	~&~'admin'~&~	~&~'P'~&~	~&~NULL~&~	~&~NULL~&~	~&~'1328043844000'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1'~&~	~&~'1'~&~	~&~'KFS1'~&~	~&~'54'~&~	~&~'3898405507'~&~	~&~'P'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS10'~&~	~&~'1'~&~	~&~'KFS10'~&~	~&~'54'~&~	~&~'3098006714'~&~	~&~'P'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS100'~&~	~&~'1'~&~	~&~'KFS100'~&~	~&~'54'~&~	~&~'4965200876'~&~	~&~'P'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1000'~&~	~&~'1'~&~	~&~'KFS1000'~&~	~&~'26'~&~	~&~'A000000010'~&~	~&~'P'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1001'~&~	~&~'1'~&~	~&~'KFS1001'~&~	~&~'26'~&~	~&~'C000000006'~&~	~&~'P'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1002'~&~	~&~'1'~&~	~&~'KFS1002'~&~	~&~'26'~&~	~&~'C000000007'~&~	~&~'P'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1003'~&~	~&~'1'~&~	~&~'KFS1003'~&~	~&~'26'~&~	~&~'C000000008'~&~	~&~'P'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
