HEADER[~&~	~&~ROLE_RSP_ACTN_ID::VARCHAR~&~	~&~OBJ_ID::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~ACTN_TYP_CD::VARCHAR~&~	~&~PRIORITY_NBR::DECIMAL~&~	~&~ACTN_PLCY_CD::VARCHAR~&~	~&~ROLE_MBR_ID::VARCHAR~&~	~&~ROLE_RSP_ID::VARCHAR~&~	~&~FRC_ACTN::VARCHAR~&~	~&~]HEADER
RECORD[~&~	~&~'KFS10004'~&~	~&~'KFS-RSP-ACTN-004'~&~	~&~'1'~&~	~&~'A'~&~	~&~'1'~&~	~&~'F'~&~	~&~'*'~&~	~&~'KFS10004'~&~	~&~'N'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS101'~&~	~&~'KFS101'~&~	~&~'1'~&~	~&~'A'~&~	~&~'1'~&~	~&~'F'~&~	~&~'*'~&~	~&~'KFS1004'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS103'~&~	~&~'KFS103'~&~	~&~'1'~&~	~&~'A'~&~	~&~'1'~&~	~&~'F'~&~	~&~'*'~&~	~&~'KFS1005'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS105'~&~	~&~'KFS105'~&~	~&~'1'~&~	~&~'A'~&~	~&~'1'~&~	~&~'F'~&~	~&~'*'~&~	~&~'KFS1088'~&~	~&~'N'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS106'~&~	~&~'KFS106'~&~	~&~'1'~&~	~&~'A'~&~	~&~'1'~&~	~&~'F'~&~	~&~'*'~&~	~&~'KFS1089'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS108'~&~	~&~'KFS108'~&~	~&~'1'~&~	~&~'A'~&~	~&~'1'~&~	~&~'F'~&~	~&~'*'~&~	~&~'KFS1009'~&~	~&~'N'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS10849'~&~	~&~'KFS-RSP-ACTN-036'~&~	~&~'1'~&~	~&~'K'~&~	~&~'1'~&~	~&~'F'~&~	~&~'*'~&~	~&~'KFS10848'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS10858'~&~	~&~'KFS-RSP-ACTN-037'~&~	~&~'1'~&~	~&~'F'~&~	~&~'1'~&~	~&~'A'~&~	~&~'*'~&~	~&~'KFS10855'~&~	~&~'N'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS10867'~&~	~&~'KFS-RSP-ACTN-038'~&~	~&~'1'~&~	~&~'F'~&~	~&~'1'~&~	~&~'A'~&~	~&~'*'~&~	~&~'KFS10866'~&~	~&~'N'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS10955'~&~	~&~'KFS-RSP-ACTN-039'~&~	~&~'1'~&~	~&~'A'~&~	~&~'1'~&~	~&~'F'~&~	~&~'*'~&~	~&~'KFS10954'~&~	~&~'N'~&~	~&~]RECORD
