HEADER[~&~	~&~ROLE_RSP_ACTN_ID::VARCHAR~&~	~&~OBJ_ID::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~ACTN_TYP_CD::VARCHAR~&~	~&~PRIORITY_NBR::DECIMAL~&~	~&~ACTN_PLCY_CD::VARCHAR~&~	~&~ROLE_MBR_ID::VARCHAR~&~	~&~ROLE_RSP_ID::VARCHAR~&~	~&~FRC_ACTN::VARCHAR~&~	~&~]HEADER
RECORD[~&~	~&~'KFS10000'~&~	~&~'KFS-RSP-ACTN-000'~&~	~&~'1'~&~	~&~'A'~&~	~&~'1'~&~	~&~'F'~&~	~&~'*'~&~	~&~'KFS10000'~&~	~&~'N'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS10001'~&~	~&~'KFS-RSP-ACTN-001'~&~	~&~'1'~&~	~&~'A'~&~	~&~'1'~&~	~&~'F'~&~	~&~'*'~&~	~&~'KFS10001'~&~	~&~'N'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS10002'~&~	~&~'KFS-RSP-ACTN-002'~&~	~&~'1'~&~	~&~'A'~&~	~&~'1'~&~	~&~'F'~&~	~&~'*'~&~	~&~'KFS10002'~&~	~&~'N'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS10003'~&~	~&~'KFS-RSP-ACTN-003'~&~	~&~'1'~&~	~&~'A'~&~	~&~'1'~&~	~&~'F'~&~	~&~'*'~&~	~&~'KFS10003'~&~	~&~'N'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS10004'~&~	~&~'KFS-RSP-ACTN-004'~&~	~&~'1'~&~	~&~'A'~&~	~&~'1'~&~	~&~'F'~&~	~&~'*'~&~	~&~'KFS10004'~&~	~&~'N'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS10005'~&~	~&~'KFS-RSP-ACTN-005'~&~	~&~'1'~&~	~&~'A'~&~	~&~'1'~&~	~&~'F'~&~	~&~'*'~&~	~&~'KFS10005'~&~	~&~'N'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS10008'~&~	~&~'KFS-RSP-ACTN-008'~&~	~&~'1'~&~	~&~'A'~&~	~&~'1'~&~	~&~'F'~&~	~&~'*'~&~	~&~'KFS10008'~&~	~&~'N'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS10011'~&~	~&~'KFS-RSP-ACTN-011'~&~	~&~'1'~&~	~&~'A'~&~	~&~'1'~&~	~&~'F'~&~	~&~'*'~&~	~&~'KFS10011'~&~	~&~'N'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS10012'~&~	~&~'KFS-RSP-ACTN-012'~&~	~&~'1'~&~	~&~'A'~&~	~&~'1'~&~	~&~'F'~&~	~&~'*'~&~	~&~'KFS10012'~&~	~&~'N'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS10014'~&~	~&~'KFS-RSP-ACTN-014'~&~	~&~'1'~&~	~&~'A'~&~	~&~'1'~&~	~&~'F'~&~	~&~'*'~&~	~&~'KFS10014'~&~	~&~'N'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS10021'~&~	~&~'KFS-RSP-ACTN-021'~&~	~&~'1'~&~	~&~'A'~&~	~&~'1'~&~	~&~'F'~&~	~&~'*'~&~	~&~'KFS10021'~&~	~&~'N'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS101'~&~	~&~'KFS101'~&~	~&~'1'~&~	~&~'A'~&~	~&~'1'~&~	~&~'F'~&~	~&~'*'~&~	~&~'KFS1004'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS103'~&~	~&~'KFS103'~&~	~&~'1'~&~	~&~'A'~&~	~&~'1'~&~	~&~'F'~&~	~&~'*'~&~	~&~'KFS1005'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS10386'~&~	~&~'KFS-RSP-ACTN-032'~&~	~&~'1'~&~	~&~'F'~&~	~&~'1'~&~	~&~'A'~&~	~&~'*'~&~	~&~'KFS10385'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS105'~&~	~&~'KFS105'~&~	~&~'1'~&~	~&~'A'~&~	~&~'1'~&~	~&~'F'~&~	~&~'*'~&~	~&~'KFS1088'~&~	~&~'N'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS10555'~&~	~&~'KFS-RSP-ACTN-033'~&~	~&~'1'~&~	~&~'F'~&~	~&~'1'~&~	~&~'A'~&~	~&~'*'~&~	~&~'KFS10554'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS106'~&~	~&~'KFS106'~&~	~&~'1'~&~	~&~'A'~&~	~&~'1'~&~	~&~'F'~&~	~&~'*'~&~	~&~'KFS1089'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS10697'~&~	~&~'KFS-RSP-ACTN-034'~&~	~&~'1'~&~	~&~'A'~&~	~&~'1'~&~	~&~'F'~&~	~&~'KFS10693'~&~	~&~'*'~&~	~&~'N'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS10713'~&~	~&~'KFS-RSP-ACTN-035'~&~	~&~'1'~&~	~&~'A'~&~	~&~'1'~&~	~&~'A'~&~	~&~'*'~&~	~&~'KFS10711'~&~	~&~'N'~&~	~&~]RECORD
