HEADER[~&~	~&~ROLE_RSP_ID::VARCHAR~&~	~&~OBJ_ID::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~ROLE_ID::VARCHAR~&~	~&~RSP_ID::VARCHAR~&~	~&~ACTV_IND::VARCHAR~&~	~&~]HEADER
RECORD[~&~	~&~'KFS1000'~&~	~&~'KFS1000'~&~	~&~'1'~&~	~&~'11'~&~	~&~'44'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS10000'~&~	~&~'KFS-ROLE-RSP-000'~&~	~&~'1'~&~	~&~'KFS10255'~&~	~&~'KFS10343'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS10001'~&~	~&~'KFS-ROLE-RSP-001'~&~	~&~'1'~&~	~&~'KFS10256'~&~	~&~'KFS10344'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS10002'~&~	~&~'KFS-ROLE-RSP-002'~&~	~&~'1'~&~	~&~'KFS10257'~&~	~&~'KFS10345'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS10003'~&~	~&~'KFS-ROLE-RSP-003'~&~	~&~'1'~&~	~&~'15'~&~	~&~'KFS10346'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS10005'~&~	~&~'KFS-ROLE-RSP-005'~&~	~&~'1'~&~	~&~'KFS10258'~&~	~&~'KFS10347'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS10008'~&~	~&~'KFS-ROLE-RSP-008'~&~	~&~'1'~&~	~&~'KFS10264'~&~	~&~'KFS10350'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1001'~&~	~&~'KFS1001'~&~	~&~'1'~&~	~&~'12'~&~	~&~'46'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS10011'~&~	~&~'KFS-ROLE-RSP-011'~&~	~&~'1'~&~	~&~'KFS10265'~&~	~&~'KFS10353'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS10012'~&~	~&~'KFS-ROLE-RSP-012'~&~	~&~'1'~&~	~&~'KFS10266'~&~	~&~'KFS10354'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS10014'~&~	~&~'KFS-ROLE-RSP-014'~&~	~&~'1'~&~	~&~'KFS10268'~&~	~&~'KFS10356'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1002'~&~	~&~'KFS1002'~&~	~&~'1'~&~	~&~'15'~&~	~&~'50'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS10021'~&~	~&~'KFS-ROLE-RSP-021'~&~	~&~'1'~&~	~&~'KFS10260'~&~	~&~'KFS10363'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1003'~&~	~&~'KFS1003'~&~	~&~'1'~&~	~&~'16'~&~	~&~'10'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1004'~&~	~&~'KFS1004'~&~	~&~'1'~&~	~&~'22'~&~	~&~'71'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1005'~&~	~&~'KFS1005'~&~	~&~'1'~&~	~&~'62'~&~	~&~'73'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1006'~&~	~&~'KFS1006'~&~	~&~'1'~&~	~&~'22'~&~	~&~'81'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1007'~&~	~&~'KFS1007'~&~	~&~'1'~&~	~&~'23'~&~	~&~'6'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1008'~&~	~&~'KFS1008'~&~	~&~'1'~&~	~&~'24'~&~	~&~'3'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1009'~&~	~&~'KFS1009'~&~	~&~'1'~&~	~&~'25'~&~	~&~'78'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1010'~&~	~&~'KFS1010'~&~	~&~'1'~&~	~&~'26'~&~	~&~'17'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1011'~&~	~&~'KFS1011'~&~	~&~'1'~&~	~&~'26'~&~	~&~'48'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1012'~&~	~&~'KFS1012'~&~	~&~'1'~&~	~&~'28'~&~	~&~'4'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1014'~&~	~&~'KFS1014'~&~	~&~'1'~&~	~&~'30'~&~	~&~'11'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1015'~&~	~&~'KFS1015'~&~	~&~'1'~&~	~&~'37'~&~	~&~'26'~&~	~&~'Y'~&~	~&~]RECORD
