HEADER[~&~	~&~RSP_ID::VARCHAR~&~	~&~OBJ_ID::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~RSP_TMPL_ID::VARCHAR~&~	~&~NMSPC_CD::VARCHAR~&~	~&~NM::VARCHAR~&~	~&~DESC_TXT::VARCHAR~&~	~&~ACTV_IND::VARCHAR~&~	~&~]HEADER
RECORD[~&~	~&~'1'~&~	~&~'KFS1'~&~	~&~'1'~&~	~&~'1'~&~	~&~'KFS-SYS'~&~	~&~'Review KFS OrganizationHierarchy'~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'10'~&~	~&~'KFS10'~&~	~&~'1'~&~	~&~'1'~&~	~&~'KFS-AR'~&~	~&~'Review CTRL ElectronicPayment'~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'100'~&~	~&~'KFS100'~&~	~&~'1'~&~	~&~'1'~&~	~&~'KFS-AR'~&~	~&~'Review ARM Management'~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'101'~&~	~&~'KFS101'~&~	~&~'1'~&~	~&~'1'~&~	~&~'KFS-AR'~&~	~&~'Review AR Management'~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'107'~&~	~&~'KFS107'~&~	~&~'1'~&~	~&~'1'~&~	~&~'KFS-PURAP'~&~	~&~'Review POA Account'~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'108'~&~	~&~'KFS108'~&~	~&~'1'~&~	~&~'1'~&~	~&~'KFS-PURAP'~&~	~&~'Review CM Account'~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'109'~&~	~&~'KFS109'~&~	~&~'1'~&~	~&~'1'~&~	~&~'KFS-PURAP'~&~	~&~'Review EIRT Management'~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'11'~&~	~&~'KFS11'~&~	~&~'1'~&~	~&~'1'~&~	~&~'KFS-AR'~&~	~&~'Review CTRL Lockbox'~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'111'~&~	~&~'KFS111'~&~	~&~'1'~&~	~&~'1'~&~	~&~'KFS-CG'~&~	~&~'Review CLOS Unprocessed'~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'112'~&~	~&~'KFS112'~&~	~&~'1'~&~	~&~'1'~&~	~&~'KFS-CG'~&~	~&~'Review CLOS Management'~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'113'~&~	~&~'KFS113'~&~	~&~'1'~&~	~&~'1'~&~	~&~'KFS-PURAP'~&~	~&~'Review REQS Initiator'~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'114'~&~	~&~'KFS114'~&~	~&~'1'~&~	~&~'1'~&~	~&~'KFS-AR'~&~	~&~'Review INVR RecurrenceCreator'~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'115'~&~	~&~'KFS115'~&~	~&~'1'~&~	~&~'1'~&~	~&~'KFS-CAM'~&~	~&~'Review BCIE Initiator'~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'116'~&~	~&~'KFS116'~&~	~&~'1'~&~	~&~'1'~&~	~&~'KFS-AR'~&~	~&~'Review APP Lockbox'~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'117'~&~	~&~'KFS117'~&~	~&~'1'~&~	~&~'1'~&~	~&~'KFS-SYS'~&~	~&~'Review IdentityManagementDocument GroupType'~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'118'~&~	~&~'KFS118'~&~	~&~'1'~&~	~&~'1'~&~	~&~'KFS-AR'~&~	~&~'Review INV Initiator'~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'119'~&~	~&~'KFS119'~&~	~&~'1'~&~	~&~'1'~&~	~&~'KFS-AR'~&~	~&~'Review INVR Recurrence'~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'12'~&~	~&~'KFS12'~&~	~&~'1'~&~	~&~'1'~&~	~&~'KFS-SYS'~&~	~&~'Review KFS Account'~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'120'~&~	~&~'KFS120'~&~	~&~'1'~&~	~&~'1'~&~	~&~'KFS-FP'~&~	~&~'Review PCDO Account'~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'123'~&~	~&~'KFS123'~&~	~&~'1'~&~	~&~'1'~&~	~&~'KFS-SYS'~&~	~&~'Review IdentityManagementDocument RoleType'~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'124'~&~	~&~'KFS124'~&~	~&~'1'~&~	~&~'1'~&~	~&~'KFS-COA'~&~	~&~'Review GDLG Account'~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'126'~&~	~&~'KFSFP7037'~&~	~&~'1'~&~	~&~'1'~&~	~&~'KFS-FP'~&~	~&~'Review DV SeparationOfDuties'~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'16'~&~	~&~'KFS16'~&~	~&~'1'~&~	~&~'1'~&~	~&~'KFS-CAM'~&~	~&~'Review FR Management'~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'17'~&~	~&~'KFS17'~&~	~&~'1'~&~	~&~'1'~&~	~&~'KFS-CAM'~&~	~&~'Review ARG Purchasing'~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
