HEADER[~&~	~&~KIM_TYP_ATTR_ID::VARCHAR~&~	~&~OBJ_ID::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~SORT_CD::VARCHAR~&~	~&~KIM_TYP_ID::VARCHAR~&~	~&~KIM_ATTR_DEFN_ID::VARCHAR~&~	~&~ACTV_IND::VARCHAR~&~	~&~]HEADER
RECORD[~&~	~&~'1'~&~	~&~'5ADF18B6D4AD7954E0404F8189D85002'~&~	~&~'1'~&~	~&~'a'~&~	~&~'3'~&~	~&~'13'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'10'~&~	~&~'5ADF18B6D4C87954E0404F8189D85002'~&~	~&~'1'~&~	~&~'c'~&~	~&~'8'~&~	~&~'15'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'101'~&~	~&~'603B735FA6BBFE21E0404F8189D8083B'~&~	~&~'1'~&~	~&~'a'~&~	~&~'56'~&~	~&~'13'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'102'~&~	~&~'603B735FA6C2FE21E0404F8189D8083B'~&~	~&~'1'~&~	~&~'b'~&~	~&~'56'~&~	~&~'7'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'103'~&~	~&~'603B735FA6BEFE21E0404F8189D8083B'~&~	~&~'1'~&~	~&~'a'~&~	~&~'57'~&~	~&~'5'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'104'~&~	~&~'603B735FA6BFFE21E0404F8189D8083B'~&~	~&~'1'~&~	~&~'b'~&~	~&~'57'~&~	~&~'44'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'107'~&~	~&~'60432A73A6A39F65E0404F8189D86AA4'~&~	~&~'1'~&~	~&~'a'~&~	~&~'54'~&~	~&~'13'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'108'~&~	~&~'606763510FBD96D3E0404F8189D857A2'~&~	~&~'1'~&~	~&~'a'~&~	~&~'59'~&~	~&~'13'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'109'~&~	~&~'606763510FBE96D3E0404F8189D857A2'~&~	~&~'1'~&~	~&~'b'~&~	~&~'59'~&~	~&~'8'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'11'~&~	~&~'5ADF18B6D4C97954E0404F8189D85002'~&~	~&~'1'~&~	~&~'b'~&~	~&~'8'~&~	~&~'16'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'111'~&~	~&~'67F145466E909160E0404F8189D86771'~&~	~&~'1'~&~	~&~'a'~&~	~&~'67'~&~	~&~'4'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'112'~&~	~&~'67F145466E959160E0404F8189D86771'~&~	~&~'1'~&~	~&~'b'~&~	~&~'14'~&~	~&~'13'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'113'~&~	~&~'B7DBFABEFD3F8CBFE0402E0AA9D757C9'~&~	~&~'1'~&~	~&~'a'~&~	~&~'68'~&~	~&~'47'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'114'~&~	~&~'B7DBFABEFD408CBFE0402E0AA9D757C9'~&~	~&~'1'~&~	~&~'a'~&~	~&~'69'~&~	~&~'47'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'115'~&~	~&~'B7DBFABEFD418CBFE0402E0AA9D757C9'~&~	~&~'1'~&~	~&~'b'~&~	~&~'69'~&~	~&~'10'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'116'~&~	~&~'B7DBFABEFD428CBFE0402E0AA9D757C9'~&~	~&~'1'~&~	~&~'a'~&~	~&~'70'~&~	~&~'47'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'117'~&~	~&~'B7DBFABEFD438CBFE0402E0AA9D757C9'~&~	~&~'1'~&~	~&~'b'~&~	~&~'70'~&~	~&~'50'~&~	~&~'Y'~&~	~&~]RECORD
