HEADER[~&~	~&~POSTAL_STATE_CD::VARCHAR~&~	~&~POSTAL_CNTRY_CD::VARCHAR~&~	~&~OBJ_ID::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~POSTAL_STATE_NM::VARCHAR~&~	~&~ACTV_IND::VARCHAR~&~	~&~]HEADER
RECORD[~&~	~&~'--'~&~	~&~'US'~&~	~&~'56908AA37A06661BE0404F8189D81F46'~&~	~&~'1'~&~	~&~'OUT OF COUNTRY'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'AA'~&~	~&~'US'~&~	~&~'56908AA37A3B661BE0404F8189D81F46'~&~	~&~'1'~&~	~&~'ARMED FORCES AMERICAS (EXCEPT CANADA)'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'AB'~&~	~&~'CA'~&~	~&~'KFS-TEM-STATE-009'~&~	~&~'1'~&~	~&~'Alberta'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'AC'~&~	~&~'AU'~&~	~&~'KFS-TEM-STATE-001'~&~	~&~'1'~&~	~&~'Australian Capital Territory'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'AE'~&~	~&~'US'~&~	~&~'56908AA37A3C661BE0404F8189D81F46'~&~	~&~'1'~&~	~&~'ARMED FORCES EURO/CANADA/AFRICA/MID EAST'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'AG'~&~	~&~'MX'~&~	~&~'KFS-TEM-STATE-022'~&~	~&~'1'~&~	~&~'Aguascalientes'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'AK'~&~	~&~'US'~&~	~&~'56908AA37A07661BE0404F8189D81F46'~&~	~&~'1'~&~	~&~'ALASKA'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'AL'~&~	~&~'US'~&~	~&~'56908AA37A08661BE0404F8189D81F46'~&~	~&~'1'~&~	~&~'ALABAMA'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'AP'~&~	~&~'US'~&~	~&~'56908AA37A3D661BE0404F8189D81F46'~&~	~&~'1'~&~	~&~'ARMED FORCES PACIFIC'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'AR'~&~	~&~'US'~&~	~&~'56908AA37A09661BE0404F8189D81F46'~&~	~&~'1'~&~	~&~'ARKANSAS'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'AS'~&~	~&~'US'~&~	~&~'56908AA37A3E661BE0404F8189D81F46'~&~	~&~'1'~&~	~&~'AMERICAN SAMOA'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'AZ'~&~	~&~'US'~&~	~&~'56908AA37A0A661BE0404F8189D81F46'~&~	~&~'1'~&~	~&~'ARIZONA'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'BC'~&~	~&~'CA'~&~	~&~'KFS-TEM-STATE-010'~&~	~&~'1'~&~	~&~'British Columbia'~&~	~&~'Y'~&~	~&~]RECORD
