HEADER[~&~	~&~UNIV_FISCAL_YR::DECIMAL~&~	~&~A21_LBR_RPT_TYP_CD::VARCHAR~&~	~&~ERNCD::VARCHAR~&~	~&~PAYGROUP::VARCHAR~&~	~&~OBJ_ID::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~ROW_ACTV_IND::VARCHAR~&~	~&~]HEADER
RECORD[~&~	~&~'2009'~&~	~&~'10'~&~	~&~'REG'~&~	~&~'S10'~&~	~&~'E722B909-FAFE-ED1B-4F56-ADB07037427C'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'10'~&~	~&~'RGA'~&~	~&~'A10'~&~	~&~'4EF686B1-21B5-BE55-25E8-3201DD936E80'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'10'~&~	~&~'RGS'~&~	~&~'AS0'~&~	~&~'CC8348CC-F813-554C-4446-5626FFE7C396'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'12'~&~	~&~'REG'~&~	~&~'S12'~&~	~&~'004B1419-9871-6D3A-F5B6-8646C4C69819'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'12'~&~	~&~'RGA'~&~	~&~'A12'~&~	~&~'73128630-54C5-8296-81EA-4D4BB04CEEA2'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'12'~&~	~&~'RGR'~&~	~&~'RES'~&~	~&~'F8607CD4-543B-EFC8-DA4D-B39B250003C1'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'12'~&~	~&~'RGS'~&~	~&~'AS2'~&~	~&~'8217738B-C7CE-68BA-517D-7F9ABA15A1F6'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BI'~&~	~&~'OCC'~&~	~&~'HRX'~&~	~&~'AF0444FF-FCF8-2172-6830-684677B6E362'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BI'~&~	~&~'RAO'~&~	~&~'AOE'~&~	~&~'95D2AEEE-E97E-A34B-0358-1AEEB9E59C0D'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BI'~&~	~&~'RGA'~&~	~&~'SUM'~&~	~&~'8AB4D2C8-E098-267A-A58E-E4F4C555F6FA'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BI'~&~	~&~'RGH'~&~	~&~'HRA'~&~	~&~'F9A4B19B-5309-0AD1-FB80-84A60E4BDA36'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BI'~&~	~&~'RGH'~&~	~&~'HRR'~&~	~&~'490F4AE6-BC1D-27B2-0021-4026A9F97CE4'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BI'~&~	~&~'RGN'~&~	~&~'BW1'~&~	~&~'C8C25CE8-36FC-C537-D12E-4CF713B88EA1'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BI'~&~	~&~'RGP'~&~	~&~'HRP'~&~	~&~'78CE84E1-C137-CA18-372D-9364F17DBD64'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
