HEADER[~&~	~&~UNIV_FISCAL_YR::DECIMAL~&~	~&~A21_LBR_RPT_NBR::VARCHAR~&~	~&~LBR_RPT_POSOBJ_CD::VARCHAR~&~	~&~OBJ_ID::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~ROW_ACTV_IND::VARCHAR~&~	~&~]HEADER
RECORD[~&~	~&~'2009'~&~	~&~'A02'~&~	~&~'AC'~&~	~&~'2A129D4A-73A9-2037-6BB6-6244E842D56C'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'B01'~&~	~&~'CL'~&~	~&~'7FFBE49B-A13A-BB43-0B93-EB01F5A52CF3'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'B01'~&~	~&~'HO'~&~	~&~'0A8DE0ED-52C7-F6AD-540A-E99406846E18'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'B02'~&~	~&~'CL'~&~	~&~'49797C6E-2025-6CDE-7AB5-A9B46D9E54B5'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'B02'~&~	~&~'HO'~&~	~&~'0966990B-B439-B0FB-8B94-3DB6462B2223'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'B03'~&~	~&~'CL'~&~	~&~'41AC9362-86E0-1EBF-F2D6-3E1A6652ACB3'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'B03'~&~	~&~'HO'~&~	~&~'6D796F4D-43A4-47DE-F334-197322A03905'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'B04'~&~	~&~'CL'~&~	~&~'863559B9-52A0-CD2F-E541-0881B6BE3462'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'B04'~&~	~&~'HO'~&~	~&~'41D7E0A7-C7B1-E18A-6AA7-6B5063D79722'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'M01'~&~	~&~'AC'~&~	~&~'D27158F3-7240-8004-EB34-901ACAE84D55'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'M01'~&~	~&~'PA'~&~	~&~'BF410378-B099-BB6A-4275-466946F769E2'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'M02'~&~	~&~'AC'~&~	~&~'22C1D602-BCC2-6B86-EB56-808A9B7F0E5C'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'M02'~&~	~&~'PA'~&~	~&~'1E73F9F8-0963-42C2-3162-E49E1B4CBB91'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2010'~&~	~&~'A02'~&~	~&~'AC'~&~	~&~'F0F508D1-59CA-DB7A-347D-A3DB63DB6D6A'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2010'~&~	~&~'B01'~&~	~&~'CL'~&~	~&~'F3C32261-6FD7-0FCD-ED59-7A5D5AB0358A'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2010'~&~	~&~'B01'~&~	~&~'HO'~&~	~&~'403B9EF0-9B2A-874E-C77F-1308742EC945'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2010'~&~	~&~'B02'~&~	~&~'CL'~&~	~&~'CA8EE5AB-4A0E-C731-9ADD-3AA400497CBA'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2010'~&~	~&~'B02'~&~	~&~'HO'~&~	~&~'C3AF086D-C71F-3026-54AB-7D6009F7C8E8'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2010'~&~	~&~'B03'~&~	~&~'CL'~&~	~&~'BD911806-3820-3F8F-1B18-2C1180A6057F'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2010'~&~	~&~'B03'~&~	~&~'HO'~&~	~&~'D7B863DA-98B0-74CE-E8D6-53E6B0703287'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2010'~&~	~&~'B04'~&~	~&~'CL'~&~	~&~'7AA189D0-7BB1-E751-8EF6-70FD0BF2156E'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2010'~&~	~&~'B04'~&~	~&~'HO'~&~	~&~'BC2A6B52-DE4A-6E7E-01B7-B142F422489B'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2010'~&~	~&~'M01'~&~	~&~'AC'~&~	~&~'1B417C42-7C3B-1CF5-B266-9C7F3C5CCD96'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2010'~&~	~&~'M01'~&~	~&~'PA'~&~	~&~'AC8EA8D6-4298-A8DD-6038-B35D38F6CB8A'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2010'~&~	~&~'M02'~&~	~&~'AC'~&~	~&~'EFC93732-AAED-2BCF-05D8-523D6462ADB4'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2010'~&~	~&~'M02'~&~	~&~'PA'~&~	~&~'3152F704-83F9-CE45-49D8-D39A7A61642E'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2011'~&~	~&~'A02'~&~	~&~'AC'~&~	~&~'76FF07A3-6CA4-0B43-4649-9165D2A8DDCB'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2011'~&~	~&~'B01'~&~	~&~'CL'~&~	~&~'55865ABB-D857-395F-7C8E-DB00CD895CFB'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2011'~&~	~&~'B01'~&~	~&~'HO'~&~	~&~'5DB844A3-ED31-7561-4567-6F4EEFB4AC8A'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2011'~&~	~&~'B02'~&~	~&~'CL'~&~	~&~'DBA61C64-F67A-E727-C197-02E8ADAF70F5'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2011'~&~	~&~'B02'~&~	~&~'HO'~&~	~&~'2FAE149D-846D-C798-E09D-DF44D74656C4'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2011'~&~	~&~'B03'~&~	~&~'CL'~&~	~&~'FEB510BF-1323-6DF0-9EF6-EA578C9BDB74'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2011'~&~	~&~'B03'~&~	~&~'HO'~&~	~&~'A77E8991-109B-64A5-A271-26FB8E58FAA0'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2011'~&~	~&~'B04'~&~	~&~'CL'~&~	~&~'C5C8F582-F078-45B3-2731-338B4367A984'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2011'~&~	~&~'B04'~&~	~&~'HO'~&~	~&~'DF06BF4A-4802-5A1E-E66C-A84CC57A3EF0'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
