HEADER[~&~	~&~UNIV_FISCAL_YR::DECIMAL~&~	~&~FIN_COA_CD::VARCHAR~&~	~&~POS_BENEFIT_TYP_CD::VARCHAR~&~	~&~OBJ_ID::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~POS_FRNG_BENE_PCT::DECIMAL~&~	~&~POS_FRNGBEN_OBJ_CD::VARCHAR~&~	~&~ACTV_IND::VARCHAR~&~	~&~LBR_BEN_RT_CAT_CD::VARCHAR~&~	~&~OFFSET_FIN_OBJECT_CD::VARCHAR~&~	~&~OFFSET_ACCOUNT_NBR::VARCHAR~&~	~&~]HEADER
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'B'~&~	~&~'AE4FFB69-8127-DFD5-D078-708B6EDDC6AD'~&~	~&~'1'~&~	~&~'8.8200'~&~	~&~'5773'~&~	~&~'Y'~&~	~&~'--'~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'E'~&~	~&~'510615DD-542F-85B5-28F8-ABCE0AB2F1EC'~&~	~&~'1'~&~	~&~'12.1900'~&~	~&~'5772'~&~	~&~'Y'~&~	~&~'--'~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'F'~&~	~&~'08A4D511-E633-BAC6-FCE5-4C42326A3142'~&~	~&~'1'~&~	~&~'7.0000'~&~	~&~'5760'~&~	~&~'Y'~&~	~&~'--'~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'G'~&~	~&~'955EB349-E377-8BE2-FFB0-DC7EB6B8FE76'~&~	~&~'1'~&~	~&~'13.0800'~&~	~&~'5625'~&~	~&~'Y'~&~	~&~'--'~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'N'~&~	~&~'19155045-1D63-B321-01BA-FD8DC38307F1'~&~	~&~'1'~&~	~&~'0.0000'~&~	~&~'5760'~&~	~&~'Y'~&~	~&~'--'~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'R'~&~	~&~'7D404807-BA1B-FA6B-8FE3-7CFF821E29C7'~&~	~&~'1'~&~	~&~'18.6600'~&~	~&~'5772'~&~	~&~'Y'~&~	~&~'--'~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BL'~&~	~&~'B'~&~	~&~'BEBED311-E7BF-3805-E532-1C466C5D1CB0'~&~	~&~'1'~&~	~&~'8.8200'~&~	~&~'5773'~&~	~&~'Y'~&~	~&~'--'~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BL'~&~	~&~'E'~&~	~&~'A9D2E12B-185B-4CF4-CA50-749B3BC001BE'~&~	~&~'1'~&~	~&~'12.1900'~&~	~&~'5772'~&~	~&~'Y'~&~	~&~'--'~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BL'~&~	~&~'F'~&~	~&~'9C5595B0-673F-06B6-F4DD-A1525440A6F5'~&~	~&~'1'~&~	~&~'7.0000'~&~	~&~'5760'~&~	~&~'Y'~&~	~&~'--'~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BL'~&~	~&~'G'~&~	~&~'BAE77333-68EB-CC78-FF5B-9DC97DDA3991'~&~	~&~'1'~&~	~&~'13.0800'~&~	~&~'5625'~&~	~&~'Y'~&~	~&~'--'~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BL'~&~	~&~'N'~&~	~&~'0C16C501-D6BD-6269-523E-8FDD8562C6BF'~&~	~&~'1'~&~	~&~'0.0000'~&~	~&~'5760'~&~	~&~'Y'~&~	~&~'--'~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BL'~&~	~&~'R'~&~	~&~'F5F97264-E256-0AFE-B8AF-1011A6ED16C7'~&~	~&~'1'~&~	~&~'18.6600'~&~	~&~'5772'~&~	~&~'Y'~&~	~&~'--'~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'EA'~&~	~&~'B'~&~	~&~'E36325BA-125B-098F-218E-084468477247'~&~	~&~'1'~&~	~&~'8.8200'~&~	~&~'5773'~&~	~&~'Y'~&~	~&~'--'~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'EA'~&~	~&~'E'~&~	~&~'D034DD7A-A647-C90E-CD6D-A62BADD01DA4'~&~	~&~'1'~&~	~&~'12.1900'~&~	~&~'5772'~&~	~&~'Y'~&~	~&~'--'~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'EA'~&~	~&~'F'~&~	~&~'03D6E030-1252-AD7D-220C-F957564FCDEC'~&~	~&~'1'~&~	~&~'7.0000'~&~	~&~'5760'~&~	~&~'Y'~&~	~&~'--'~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'EA'~&~	~&~'G'~&~	~&~'B409DEB0-2FF3-7020-23AB-923BBB9D179D'~&~	~&~'1'~&~	~&~'13.0800'~&~	~&~'5625'~&~	~&~'Y'~&~	~&~'--'~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'EA'~&~	~&~'N'~&~	~&~'3BDA3D4C-BEB0-3DF8-56D1-691B335B9CE1'~&~	~&~'1'~&~	~&~'0.0000'~&~	~&~'5760'~&~	~&~'Y'~&~	~&~'--'~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'EA'~&~	~&~'R'~&~	~&~'4CACAAFC-1B24-226C-5FE7-3056288989E8'~&~	~&~'1'~&~	~&~'18.6600'~&~	~&~'5772'~&~	~&~'Y'~&~	~&~'--'~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'FW'~&~	~&~'B'~&~	~&~'0642DE5F-6548-DD96-9FD8-935F15202594'~&~	~&~'1'~&~	~&~'8.8200'~&~	~&~'5773'~&~	~&~'Y'~&~	~&~'--'~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'FW'~&~	~&~'E'~&~	~&~'ADF7D039-E7F7-C4FA-4285-7F2B73179A51'~&~	~&~'1'~&~	~&~'12.1900'~&~	~&~'5772'~&~	~&~'Y'~&~	~&~'--'~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'FW'~&~	~&~'F'~&~	~&~'FC003FCC-D8CA-D19A-207E-11CAB2F72D5B'~&~	~&~'1'~&~	~&~'7.0000'~&~	~&~'5760'~&~	~&~'Y'~&~	~&~'--'~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'FW'~&~	~&~'G'~&~	~&~'8F9F3EC6-5098-88BC-6244-E8ED3D88EB30'~&~	~&~'1'~&~	~&~'13.0800'~&~	~&~'5625'~&~	~&~'Y'~&~	~&~'--'~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'FW'~&~	~&~'N'~&~	~&~'9C5ADECC-644C-AAD9-0197-993743F4B81C'~&~	~&~'1'~&~	~&~'0.0000'~&~	~&~'5760'~&~	~&~'Y'~&~	~&~'--'~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'FW'~&~	~&~'R'~&~	~&~'9F94D90E-1996-7C5B-CF54-A4D2DA0CF58F'~&~	~&~'1'~&~	~&~'18.6600'~&~	~&~'5772'~&~	~&~'Y'~&~	~&~'--'~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'HO'~&~	~&~'B'~&~	~&~'0040998E-3B9A-9DA8-0075-C3265A631F69'~&~	~&~'1'~&~	~&~'8.8200'~&~	~&~'5773'~&~	~&~'Y'~&~	~&~'--'~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'HO'~&~	~&~'E'~&~	~&~'410EFE31-D31D-1B5D-E2D3-E12D9B03D0FC'~&~	~&~'1'~&~	~&~'12.1900'~&~	~&~'5772'~&~	~&~'Y'~&~	~&~'--'~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'HO'~&~	~&~'F'~&~	~&~'26D43AB3-72A4-BBAB-1F55-5169748551B0'~&~	~&~'1'~&~	~&~'7.0000'~&~	~&~'5760'~&~	~&~'Y'~&~	~&~'--'~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'HO'~&~	~&~'G'~&~	~&~'AF44F046-DE17-63C1-3590-FC1A9245934B'~&~	~&~'1'~&~	~&~'13.0800'~&~	~&~'5625'~&~	~&~'Y'~&~	~&~'--'~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'HO'~&~	~&~'N'~&~	~&~'DCCE6BFB-6534-94CC-76E0-0ED0E6523A80'~&~	~&~'1'~&~	~&~'0.0000'~&~	~&~'5760'~&~	~&~'Y'~&~	~&~'--'~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'HO'~&~	~&~'R'~&~	~&~'BC23D2DE-F480-AC29-727A-4441AA89FB6C'~&~	~&~'1'~&~	~&~'18.6600'~&~	~&~'5772'~&~	~&~'Y'~&~	~&~'--'~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'IA'~&~	~&~'B'~&~	~&~'BB41BDD3-4ED5-920D-2B89-05CF54CD4C00'~&~	~&~'1'~&~	~&~'8.8200'~&~	~&~'5773'~&~	~&~'Y'~&~	~&~'--'~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'IA'~&~	~&~'E'~&~	~&~'FB20D211-94AF-5537-2772-9F9E971757C4'~&~	~&~'1'~&~	~&~'12.1900'~&~	~&~'5772'~&~	~&~'Y'~&~	~&~'--'~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'IA'~&~	~&~'F'~&~	~&~'3FF5C5B3-5470-D3C7-8D3D-11177D4DFD8A'~&~	~&~'1'~&~	~&~'7.0000'~&~	~&~'5760'~&~	~&~'Y'~&~	~&~'--'~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'IA'~&~	~&~'G'~&~	~&~'23EA1A7D-168C-5601-0049-447D4486CBA5'~&~	~&~'1'~&~	~&~'13.0800'~&~	~&~'5625'~&~	~&~'Y'~&~	~&~'--'~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'IA'~&~	~&~'N'~&~	~&~'5D60DA9B-EE49-4BED-F5D8-B23952C196CB'~&~	~&~'1'~&~	~&~'0.0000'~&~	~&~'5760'~&~	~&~'Y'~&~	~&~'--'~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'IA'~&~	~&~'R'~&~	~&~'BFBFA33B-4797-5372-E32B-B4C1041CF067'~&~	~&~'1'~&~	~&~'18.6600'~&~	~&~'5772'~&~	~&~'Y'~&~	~&~'--'~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'IN'~&~	~&~'B'~&~	~&~'B44A3838-00CB-6519-9F0A-28B66469DA20'~&~	~&~'1'~&~	~&~'8.8200'~&~	~&~'5773'~&~	~&~'Y'~&~	~&~'--'~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'IN'~&~	~&~'E'~&~	~&~'B801174F-251D-8588-1A1E-8A7733A84A22'~&~	~&~'1'~&~	~&~'12.1900'~&~	~&~'5772'~&~	~&~'Y'~&~	~&~'--'~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'IN'~&~	~&~'F'~&~	~&~'C60AB03F-36EC-E72C-9554-B2B6AB9C82BA'~&~	~&~'1'~&~	~&~'7.0000'~&~	~&~'5760'~&~	~&~'Y'~&~	~&~'--'~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'IN'~&~	~&~'G'~&~	~&~'D0C0B6E5-B206-4F2D-4BCA-09DFFCD6F0B4'~&~	~&~'1'~&~	~&~'13.0800'~&~	~&~'5625'~&~	~&~'Y'~&~	~&~'--'~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'IN'~&~	~&~'N'~&~	~&~'6583ADB7-6492-F33E-8A8F-D25F96C21935'~&~	~&~'1'~&~	~&~'0.0000'~&~	~&~'5760'~&~	~&~'Y'~&~	~&~'--'~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'IN'~&~	~&~'R'~&~	~&~'AB8DD270-DB7F-B629-DFD0-EC9D7498FC62'~&~	~&~'1'~&~	~&~'18.6600'~&~	~&~'5772'~&~	~&~'Y'~&~	~&~'--'~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'KO'~&~	~&~'B'~&~	~&~'0DB227F6-CF58-D095-FB9A-AB2B4FBED405'~&~	~&~'1'~&~	~&~'8.8200'~&~	~&~'5773'~&~	~&~'Y'~&~	~&~'--'~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'KO'~&~	~&~'E'~&~	~&~'B896C0D2-C629-4FE8-8FF8-0716C3DE925F'~&~	~&~'1'~&~	~&~'12.1900'~&~	~&~'5772'~&~	~&~'Y'~&~	~&~'--'~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'KO'~&~	~&~'F'~&~	~&~'91BCB2B9-4B23-74E3-7E8B-1CFEA31E27D4'~&~	~&~'1'~&~	~&~'7.0000'~&~	~&~'5760'~&~	~&~'Y'~&~	~&~'--'~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'KO'~&~	~&~'G'~&~	~&~'6247DF6E-2DCF-7F7E-5AD8-77AF24400A2C'~&~	~&~'1'~&~	~&~'13.0800'~&~	~&~'5625'~&~	~&~'Y'~&~	~&~'--'~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'KO'~&~	~&~'N'~&~	~&~'6B95B08C-0F1F-0337-13D6-FD6C0703496C'~&~	~&~'1'~&~	~&~'0.0000'~&~	~&~'5760'~&~	~&~'Y'~&~	~&~'--'~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'KO'~&~	~&~'R'~&~	~&~'FDF343A9-CB25-D5C1-7C14-17EE07BBCED8'~&~	~&~'1'~&~	~&~'18.6600'~&~	~&~'5772'~&~	~&~'Y'~&~	~&~'--'~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'NW'~&~	~&~'B'~&~	~&~'015B9B5B-8F8C-C981-56DE-618B9CCBCF36'~&~	~&~'1'~&~	~&~'8.8200'~&~	~&~'5773'~&~	~&~'Y'~&~	~&~'--'~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'NW'~&~	~&~'E'~&~	~&~'8433A28A-9281-6FED-0F05-93E36940BAF0'~&~	~&~'1'~&~	~&~'12.1900'~&~	~&~'5772'~&~	~&~'Y'~&~	~&~'--'~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'NW'~&~	~&~'F'~&~	~&~'45465B13-FF64-05EE-AAE9-FB8498596D9F'~&~	~&~'1'~&~	~&~'7.0000'~&~	~&~'5760'~&~	~&~'Y'~&~	~&~'--'~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'NW'~&~	~&~'G'~&~	~&~'784BF5A0-850A-95A6-A14F-87FF8098E163'~&~	~&~'1'~&~	~&~'13.0800'~&~	~&~'5625'~&~	~&~'Y'~&~	~&~'--'~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'NW'~&~	~&~'N'~&~	~&~'E62272E1-286B-EC27-712B-F7ED643FB3CF'~&~	~&~'1'~&~	~&~'0.0000'~&~	~&~'5760'~&~	~&~'Y'~&~	~&~'--'~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'NW'~&~	~&~'R'~&~	~&~'BAF63E64-8F33-618E-1D25-A43B0ECCC62C'~&~	~&~'1'~&~	~&~'18.6600'~&~	~&~'5772'~&~	~&~'Y'~&~	~&~'--'~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'SB'~&~	~&~'B'~&~	~&~'BEE95583-73F9-D28B-59D4-EFFDC8D2FBE0'~&~	~&~'1'~&~	~&~'8.8200'~&~	~&~'5773'~&~	~&~'Y'~&~	~&~'--'~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'SB'~&~	~&~'E'~&~	~&~'1E701CEE-4456-EDDD-F944-8FEF6C5D88DE'~&~	~&~'1'~&~	~&~'12.1900'~&~	~&~'5772'~&~	~&~'Y'~&~	~&~'--'~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'SB'~&~	~&~'F'~&~	~&~'17381DF1-C459-2C56-4C26-732886208D66'~&~	~&~'1'~&~	~&~'7.0000'~&~	~&~'5760'~&~	~&~'Y'~&~	~&~'--'~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'SB'~&~	~&~'G'~&~	~&~'F60EA25B-F7F2-AA7C-A674-FCD187EBB82B'~&~	~&~'1'~&~	~&~'13.0800'~&~	~&~'5625'~&~	~&~'Y'~&~	~&~'--'~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'SB'~&~	~&~'N'~&~	~&~'CE87CCBD-D6F0-79F4-C32B-620BE4914B34'~&~	~&~'1'~&~	~&~'0.0000'~&~	~&~'5760'~&~	~&~'Y'~&~	~&~'--'~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'SB'~&~	~&~'R'~&~	~&~'E4B53CEF-AD9D-523C-A91E-32E5FA88A6B4'~&~	~&~'1'~&~	~&~'18.6600'~&~	~&~'5772'~&~	~&~'Y'~&~	~&~'--'~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'SE'~&~	~&~'B'~&~	~&~'0A9F317E-4091-1E85-13FF-2283384A5BA2'~&~	~&~'1'~&~	~&~'8.8200'~&~	~&~'5773'~&~	~&~'Y'~&~	~&~'--'~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'SE'~&~	~&~'E'~&~	~&~'3FA0A0B3-7CD9-5BD5-15C2-04938DD8D6A6'~&~	~&~'1'~&~	~&~'12.1900'~&~	~&~'5772'~&~	~&~'Y'~&~	~&~'--'~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'SE'~&~	~&~'F'~&~	~&~'58B36A50-C79C-0AC1-8157-29C29595725B'~&~	~&~'1'~&~	~&~'7.0000'~&~	~&~'5760'~&~	~&~'Y'~&~	~&~'--'~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'SE'~&~	~&~'G'~&~	~&~'DA96118A-0BF0-BEE7-9EE8-497DA9A39C69'~&~	~&~'1'~&~	~&~'13.0800'~&~	~&~'5625'~&~	~&~'Y'~&~	~&~'--'~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'SE'~&~	~&~'N'~&~	~&~'64E39153-9C57-AE3A-BF70-5C78B437DA8E'~&~	~&~'1'~&~	~&~'0.0000'~&~	~&~'5760'~&~	~&~'Y'~&~	~&~'--'~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'SE'~&~	~&~'R'~&~	~&~'E30870A2-8400-5750-0B47-703CBA8C7F79'~&~	~&~'1'~&~	~&~'18.6600'~&~	~&~'5772'~&~	~&~'Y'~&~	~&~'--'~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
