HEADER[~&~	~&~UNIV_FISCAL_YR::DECIMAL~&~	~&~FIN_COA_CD::VARCHAR~&~	~&~FIN_OBJECT_CD::VARCHAR~&~	~&~OBJ_ID::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~DTL_POS_REQ_CD::VARCHAR~&~	~&~FIN_OBJ_HRS_REQ_CD::VARCHAR~&~	~&~FIN_OBJ_PAY_TYP_CD::VARCHAR~&~	~&~FINOBJ_FRNGSLRY_CD::VARCHAR~&~	~&~POS_OBJ_GRP_CD::VARCHAR~&~	~&~ACTV_IND::VARCHAR~&~	~&~]HEADER
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'2000'~&~	~&~'5576627C-D5DB-5654-7FD1-9A2C3F19A36A'~&~	~&~'1'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'M'~&~	~&~'S'~&~	~&~'AC'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'2003'~&~	~&~'0C8D6769-E52A-B1C2-E4C6-C79B1ED444F6'~&~	~&~'1'~&~	~&~'N'~&~	~&~'N'~&~	~&~'X'~&~	~&~'S'~&~	~&~'XX'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'2005'~&~	~&~'A07CA29A-3F30-C275-10E7-33F8852484F8'~&~	~&~'1'~&~	~&~'N'~&~	~&~'N'~&~	~&~'X'~&~	~&~'S'~&~	~&~'XX'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'2010'~&~	~&~'3970B146-A54F-06C3-3839-F380055C287F'~&~	~&~'1'~&~	~&~'N'~&~	~&~'N'~&~	~&~'M'~&~	~&~'S'~&~	~&~'SU'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'2170'~&~	~&~'EC973FAB-8D3D-F95C-4386-5017682019AF'~&~	~&~'1'~&~	~&~'N'~&~	~&~'N'~&~	~&~'M'~&~	~&~'S'~&~	~&~'SP'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'2175'~&~	~&~'E5E129A0-0585-EE79-9FB7-5D21E3EF81E1'~&~	~&~'1'~&~	~&~'N'~&~	~&~'N'~&~	~&~'M'~&~	~&~'S'~&~	~&~'SP'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'2200'~&~	~&~'F3CAB256-D905-A79F-AACA-F7CD0535BFF3'~&~	~&~'1'~&~	~&~'N'~&~	~&~'N'~&~	~&~'M'~&~	~&~'S'~&~	~&~'SP'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'2205'~&~	~&~'AD8F832D-0F6F-445A-A53C-11AEFA8C54F7'~&~	~&~'1'~&~	~&~'N'~&~	~&~'N'~&~	~&~'M'~&~	~&~'S'~&~	~&~'SP'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'2280'~&~	~&~'79D4920B-7991-4B03-4F23-91D321281D50'~&~	~&~'1'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'M'~&~	~&~'S'~&~	~&~'CL'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'2288'~&~	~&~'3E03412D-DC8F-A0E6-7470-A03272EF831C'~&~	~&~'1'~&~	~&~'N'~&~	~&~'N'~&~	~&~'M'~&~	~&~'S'~&~	~&~'CL'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'2290'~&~	~&~'86A3412E-665B-097B-5A5A-63835EFFF7A2'~&~	~&~'1'~&~	~&~'N'~&~	~&~'N'~&~	~&~'M'~&~	~&~'S'~&~	~&~'AC'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'2300'~&~	~&~'1DA602B5-4514-E688-A930-EC0885D18546'~&~	~&~'1'~&~	~&~'N'~&~	~&~'N'~&~	~&~'M'~&~	~&~'S'~&~	~&~'AC'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'2310'~&~	~&~'3D2F666F-A286-9520-3C9A-45FD0046E85D'~&~	~&~'1'~&~	~&~'N'~&~	~&~'N'~&~	~&~'M'~&~	~&~'S'~&~	~&~'SU'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'2331'~&~	~&~'4DAFD455-C753-EBF6-34EF-968E8A2A5774'~&~	~&~'1'~&~	~&~'N'~&~	~&~'N'~&~	~&~'M'~&~	~&~'S'~&~	~&~'AC'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'2332'~&~	~&~'84DF561E-C55B-999E-49BA-FADD422EF9C1'~&~	~&~'1'~&~	~&~'N'~&~	~&~'N'~&~	~&~'M'~&~	~&~'S'~&~	~&~'SU'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'2340'~&~	~&~'56A3185B-1EC8-5D60-BC8B-158F866D2F80'~&~	~&~'1'~&~	~&~'N'~&~	~&~'N'~&~	~&~'M'~&~	~&~'S'~&~	~&~'AC'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'2341'~&~	~&~'7D0E020F-C019-6AAB-A209-B808874E726F'~&~	~&~'1'~&~	~&~'N'~&~	~&~'N'~&~	~&~'M'~&~	~&~'S'~&~	~&~'SU'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'2350'~&~	~&~'73F762B1-F87D-EBD0-8FF5-CFE924417DAD'~&~	~&~'1'~&~	~&~'N'~&~	~&~'N'~&~	~&~'M'~&~	~&~'S'~&~	~&~'AC'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'2351'~&~	~&~'D0DD8E0D-580E-92CF-A1BA-3694CF9E1F69'~&~	~&~'1'~&~	~&~'N'~&~	~&~'N'~&~	~&~'M'~&~	~&~'S'~&~	~&~'AC'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'2360'~&~	~&~'BDE99985-AA13-8679-D4A5-D50753535644'~&~	~&~'1'~&~	~&~'N'~&~	~&~'N'~&~	~&~'M'~&~	~&~'S'~&~	~&~'AC'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'2361'~&~	~&~'F3228EE3-2DA7-80C0-FB47-CD7C02D044E5'~&~	~&~'1'~&~	~&~'N'~&~	~&~'N'~&~	~&~'M'~&~	~&~'S'~&~	~&~'AC'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'2362'~&~	~&~'B785E072-F5B0-3E99-F787-CC9A103BF8F6'~&~	~&~'1'~&~	~&~'N'~&~	~&~'N'~&~	~&~'M'~&~	~&~'S'~&~	~&~'AC'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'2364'~&~	~&~'71DC38DB-BB60-0A70-4C67-D0F303B02072'~&~	~&~'1'~&~	~&~'N'~&~	~&~'N'~&~	~&~'M'~&~	~&~'S'~&~	~&~'AC'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'2370'~&~	~&~'CE41E994-8B28-CA6D-0FC7-86A5DE6AF136'~&~	~&~'1'~&~	~&~'N'~&~	~&~'N'~&~	~&~'M'~&~	~&~'S'~&~	~&~'SU'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'2381'~&~	~&~'B8932B6F-6CDB-F376-CA50-83538F5F11E3'~&~	~&~'1'~&~	~&~'N'~&~	~&~'N'~&~	~&~'M'~&~	~&~'S'~&~	~&~'AC'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'2382'~&~	~&~'F6400CD8-7821-E53E-5C3C-B12BE190DD48'~&~	~&~'1'~&~	~&~'N'~&~	~&~'N'~&~	~&~'M'~&~	~&~'S'~&~	~&~'AC'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'2383'~&~	~&~'365CD896-5E14-8F80-35A7-26AE38BD2564'~&~	~&~'1'~&~	~&~'N'~&~	~&~'N'~&~	~&~'M'~&~	~&~'S'~&~	~&~'AC'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'2384'~&~	~&~'73379C58-B0AD-E3E3-7F67-FD808F321482'~&~	~&~'1'~&~	~&~'N'~&~	~&~'N'~&~	~&~'M'~&~	~&~'S'~&~	~&~'AC'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'2387'~&~	~&~'AFCBBF21-5BB0-F6EF-DB4D-F85FC3D2586B'~&~	~&~'1'~&~	~&~'N'~&~	~&~'N'~&~	~&~'M'~&~	~&~'S'~&~	~&~'AC'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'2388'~&~	~&~'CB6D1937-368C-40A7-6BFE-AE34EB1E8FF5'~&~	~&~'1'~&~	~&~'N'~&~	~&~'N'~&~	~&~'M'~&~	~&~'S'~&~	~&~'AC'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'2390'~&~	~&~'0807B53C-3515-6317-B592-946C9D6FF06A'~&~	~&~'1'~&~	~&~'N'~&~	~&~'N'~&~	~&~'M'~&~	~&~'S'~&~	~&~'AC'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'2391'~&~	~&~'88D578AB-DCD9-330E-9E91-2E16008CBF4D'~&~	~&~'1'~&~	~&~'N'~&~	~&~'N'~&~	~&~'M'~&~	~&~'S'~&~	~&~'AC'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'2392'~&~	~&~'8E3AD764-AA6E-0453-B481-771E58F42865'~&~	~&~'1'~&~	~&~'N'~&~	~&~'N'~&~	~&~'M'~&~	~&~'S'~&~	~&~'AC'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'2394'~&~	~&~'59AFBDD5-73D0-F079-D75D-1C98CF575E30'~&~	~&~'1'~&~	~&~'N'~&~	~&~'N'~&~	~&~'M'~&~	~&~'S'~&~	~&~'AC'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'2400'~&~	~&~'D246083A-AD18-FAB9-F834-7C3F9B115E79'~&~	~&~'1'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'M'~&~	~&~'S'~&~	~&~'PA'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'2403'~&~	~&~'14415F02-43B9-C4E1-E5D4-762CAAB943D1'~&~	~&~'1'~&~	~&~'N'~&~	~&~'N'~&~	~&~'X'~&~	~&~'S'~&~	~&~'XX'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'2405'~&~	~&~'9CE25BDB-7AB4-B3E5-84C2-12D0F8D18CD3'~&~	~&~'1'~&~	~&~'N'~&~	~&~'N'~&~	~&~'X'~&~	~&~'S'~&~	~&~'XX'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'2420'~&~	~&~'8AE13C75-0E10-4546-D3EA-38A1599835FD'~&~	~&~'1'~&~	~&~'N'~&~	~&~'N'~&~	~&~'M'~&~	~&~'S'~&~	~&~'SP'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'2450'~&~	~&~'5DBA70BB-8234-0BEF-053C-A5570D820C9F'~&~	~&~'1'~&~	~&~'N'~&~	~&~'N'~&~	~&~'M'~&~	~&~'S'~&~	~&~'TP'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'2480'~&~	~&~'2B816843-7490-B79A-D892-2E9F8E223295'~&~	~&~'1'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'M'~&~	~&~'S'~&~	~&~'CL'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'2488'~&~	~&~'49BEA3DA-7945-DCE4-4F32-CDD3CC8A0798'~&~	~&~'1'~&~	~&~'N'~&~	~&~'N'~&~	~&~'M'~&~	~&~'S'~&~	~&~'CL'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'2500'~&~	~&~'32A634B3-D829-560F-AEBC-27DC4ED7A42E'~&~	~&~'1'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'B'~&~	~&~'S'~&~	~&~'CL'~&~	~&~'Y'~&~	~&~]RECORD
